,valV
Cr_1,-0.011727319172864742
Cr_2,-0.016292552022161184
Cr_3,-0.015835717578750116
Cr_4,-0.018934112454974297
Cr_5,-0.022698611608130508
Cr_6,-0.017831917169584315
Fe_1,-0.0039598391098531645
Fe_2,0.03074617868081627
Fe_3,0.10767059889406606
Fe_4,0.16178037787391233
Fe_5,0.2162936705073004
Fe_6,0.24942711505015286
Cd_1,-8.453234609732057e-05
Cd_2,0.008233219209583715
Cd_3,0.02685375240525802
Cd_4,0.040348009608523513
Cd_5,0.041472591735269015
Cd_6,0.04937165474725695
Zn_1,0.002991503961367438
Zn_2,0.013412909609283824
Zn_3,0.018096605921956974
Zn_4,0.025500211500054985
Zn_5,0.0248893951531995
Zn_6,0.031145718238740724
Cu_1,0.0013037035030051688
Cu_2,0.0099015214035655
Cu_3,0.02299844820983656
Cu_4,0.042969169027553135
Cu_5,0.059997958920167085
Cu_6,0.07622443945662348
Pb_1,0.0028500103061539035
Pb_2,0.004412050776295264
Pb_3,0.009283817157167714
Pb_4,0.013909040615186786
Pb_5,0.02109972597832354
Pb_6,0.025428306473852517
