,condition,A_avg,A_std,n,rep1_idx,rep1_A
0,Cr__1,-0.01832265801727772,,1.0,0.0,-0.01832265801727772
1,Cr__2,-0.02118978591635823,,1.0,1.0,-0.02118978591635823
2,Cr__3,-0.023696379233151675,,1.0,2.0,-0.023696379233151675
3,Cr__4,-0.015349130779504776,,1.0,3.0,-0.015349130779504776
4,Cr__5,-0.02050992127507925,,1.0,4.0,-0.02050992127507925
5,Cr__6,-0.028330926112830637,,1.0,5.0,-0.028330926112830637
6,Fe__1,-0.03868032352998853,,1.0,6.0,-0.03868032352998853
7,Fe__2,-0.07405059453099966,,1.0,7.0,-0.07405059453099966
8,Fe__3,-0.061521046813577424,,1.0,8.0,-0.061521046813577424
9,Fe__4,-0.05597123481333256,,1.0,9.0,-0.05597123481333256
10,Fe__5,-0.037128217210993165,,1.0,10.0,-0.037128217210993165
11,Fe__6,0.01580968175054295,,1.0,11.0,0.01580968175054295
12,Cd__1,-0.0111478756275028,,1.0,12.0,-0.0111478756275028
13,Cd__2,-0.0025255758315324787,,1.0,13.0,-0.0025255758315324787
14,Cd__3,0.018719448037445543,,1.0,14.0,0.018719448037445543
15,Cd__4,0.03463677909225225,,1.0,15.0,0.03463677909225225
16,Cd__5,0.04539458744227886,,1.0,16.0,0.04539458744227886
17,Cd__6,0.059402957744896415,,1.0,17.0,0.059402957744896415
18,Zn__1,0.5636609841883182,,1.0,18.0,0.5636609841883182
19,Zn__2,1.8240000256896016,,1.0,19.0,1.8240000256896016
20,Zn__3,3.677057346105576,,1.0,20.0,3.677057346105576
21,Zn__4,5.531671221256256,,1.0,21.0,5.531671221256256
22,Zn__5,6.574103465080261,,1.0,22.0,6.574103465080261
23,Zn__6,7.431243534088135,,1.0,23.0,7.431243534088135
24,Cu__1,-0.014001887692138552,,1.0,24.0,-0.014001887692138552
25,Cu__2,-0.005983784298878163,,1.0,25.0,-0.005983784298878163
26,Cu__3,-0.013668488562107086,,1.0,26.0,-0.013668488562107086
27,Cu__4,-0.0242145979590714,,1.0,27.0,-0.0242145979590714
28,Cu__5,-0.0072311652218922965,,1.0,28.0,-0.0072311652218922965
29,Cu__6,0.001839306239523211,,1.0,29.0,0.001839306239523211
30,Pb__1,-0.04664824955165386,,1.0,30.0,-0.04664824955165386
31,Pb__2,0.018837372334674,,1.0,31.0,0.018837372334674
32,Pb__3,0.05266732260584831,,1.0,32.0,0.05266732260584831
33,Pb__4,0.09394307143986223,,1.0,33.0,0.09394307143986223
34,Pb__5,0.14513718888163565,,1.0,34.0,0.14513718888163565
35,Pb__6,0.18008326217532158,,1.0,35.0,0.18008326217532158
