,-0.1819687099895933,-0.16174996443519404,-0.14153121888079478,-0.12131247332639553,-0.10109372777199627,-0.08087498221759701,-0.06065623666319775,-0.04043749110879849,-0.02021874555439923,2.7755575615628914e-17,0.020218745554399287,0.040437491108798546,0.060656236663197804,0.08087498221759709,0.10109372777199632,0.12131247332639555,0.14153121888079484,0.16174996443519413,0.18196870998959336,0.2021874555439926
thresh,-0.1112031005491959,0.1112031005491959,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,0,2,5,7,29,680,4195,579,42,5,6,4,3,2,1,3,0
unreg_genes,['catA-I'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['PP_1820' 'PP_3405' 'gcd'],['PP_1112' 'pgi-II'],['pgi-I'],['PP_1110' 'pykA' 'PP_1111'],[]
