,A,KpdE
R2,,0.04384132766543325
xmin,,-3.7377875109
xmid,,-1.5694107339900647
xmax,,3.7381718708
ystart,,-3.4022036112785705
yend,,3.9138433537149977
AB0057_PGcoculture__PGAB__1.0,-1.8397528733000001,0.4437375571
AB0057_PGcoculture__PGAB__2.0,-1.9224392601,0.5585249149
AB0057_PGcoculture__PGAB__3.0,-4.1846651547,-0.110958575
AB0057_PGcoculture__AB __1.0,0.2033058247,0.1375707723
AB0057_PGcoculture__AB __2.0,-0.2519543871,-0.0278803301
AB0057_PGcoculture__AB __3.0,0.2840138598,0.08933343660000001
AB0057_PGcoculture__AB __4.0,-0.2353652974,-0.19902387870000002
AB0057_PGcoculture__ABPG__1.0,-1.2022119728,-0.5473416998
AB0057_PGcoculture__ABPG__2.0,-1.539967785,-0.5011582051
AB0057_PGcoculture__ABPG__3.0,-0.3143246907,0.2845283147
AB0057_PGcoculture__ABPG__4.0,-1.0921949365999999,-0.3337928973
AB5075_AZI__AZI_000__1.0,-0.75054257,-0.0569288998
AB5075_AZI__preculture__1.0,1.2901449993,0.244058675
AB5075_AZI__preculture__2.0,1.411097221,0.2513872579
AB5075_AZI__AZI_040__1.0,10.6828815081,-0.4604602981
AB5075_AZI__AZI_028__1.0,-1.6095417715,-0.0280293517
AB5075_AZI__AZI_003__1.0,0.7337277084,0.16176974
AB5075_AZI__AZI_000__2.0,0.75054257,0.0569288998
AB5075_AZI__AZI_040__2.0,10.6520498655,-0.26832210360000003
AB5075_AZI__AZI_028__2.0,0.7113506119,0.4707558477
AB5075_AZI__AZI_003__2.0,0.0993155294,0.18267427800000002
AB5075_VIR-O_AV-T__AV-T/vector__1.0,0.18596195100000001,0.0250870321
AB5075_VIR-O_AV-T__VIR-O/vector__1.0,0.6720895337,-0.0190628334
AB5075_VIR-O_AV-T__VIR-O/vector__2.0,0.3899226658,-0.11262493870000001
AB5075_VIR-O_AV-T__VIR-O/vector__3.0,-1.0620121996,0.1316877722
AB5075_VIR-O_AV-T__VIR-O/1645__1.0,2.1796928511,0.10006127270000001
AB5075_VIR-O_AV-T__VIR-O/1645__2.0,1.3832492248000001,-0.2356768136
AB5075_VIR-O_AV-T__VIR-O/1645__3.0,-1.4181548265,0.1494731518
AB5075_VIR-O_AV-T__AV-T/vector__2.0,0.2677091999,0.0746104489
AB5075_VIR-O_AV-T__AV-T/vector__3.0,0.9114105223000001,0.30316994740000003
AB5075_VIR-O_LSO__VIR-O__1.0,0.06995202810000001,-0.0651752081
AB5075_VIR-O_LSO__LSO__1.0,-1.4453509787,-0.30496657050000003
AB5075_VIR-O_LSO__VIR-O__2.0,-0.17829342380000002,-0.14714101940000002
AB5075_VIR-O_LSO__LSO__2.0,-1.9730942585000002,-0.0389533414
AB5075_VIR-O_LSO__VIR-O__3.0,0.1083413958,0.2123162275
AB5075_VIR-O_LSO__LSO__3.0,-0.8898917943,0.5312184426000001
AB5075_Zinc__Control__1.0,-1.1958659942,0.2256117437
AB5075_Zinc__Control__2.0,1.7022227047,-0.6292374339
AB5075_Zinc__Control__3.0,-0.5063567105,0.4036256902
AB5075_Zinc__Zinc__1.0,-8.1903105754,-1.0474404965
AB5075_Zinc__Zinc__2.0,-8.1155439516,-1.2328088844
AB5075_biofilm+abx__planktonic__1.0,-1.8556328787,1.2203140174
AB5075_biofilm+abx__planktonic__2.0,-0.5149998392,-0.3769395511
AB5075_biofilm+abx__biofilm__1.0,-2.9887629111000003,1.5866994137
AB5075_biofilm+abx__planktonic__3.0,2.3706327179,-0.8433744662
AB5075_biofilm+abx__biofilm__2.0,0.1480597823,3.7381718708
AB5075_biofilm+abx__biofilm__3.0,0.0823437345,3.1012095864
AB5075_biofilm+abx__cip_biofilm__1.0,-9.8666135979,1.4437399635000001
AB5075_biofilm+abx__cip_biofilm__2.0,-4.4636289439,2.051929008
AB5075_biofilm+abx__tet_biofilm__1.0,-7.6996064698,0.7275649038
AB5075_biofilm+abx__cip_biofilm__3.0,-12.3468763747,0.4889936051
AB5075_biofilm+abx__tet_biofilm__2.0,-8.27934871,0.9490741131
AB5075_biofilm+abx__tet_biofilm__3.0,-11.5475938415,0.7189564864
AB5075_gigAB__kan_gigB__1.0,2.2357512294,-3.1238593282
AB5075_gigAB__kan_gigB__2.0,0.4281462962,-3.3394187922
AB5075_gigAB__kan_gigB__3.0,3.6059805335,-3.2359412035
AB5075_gigAB__gigB__1.0,-1.9070763295000002,-3.4556005707
AB5075_gigAB__gigB__2.0,-2.8831108845,-3.3878484881
AB5075_gigAB__gigB__3.0,-2.5123428690000003,-3.6401286445
AB5075_gigAB__kan_gigA__1.0,3.2865272068999998,-2.7233842913
AB5075_gigAB__kan_gigA__2.0,4.2585093609,-3.2499872997
AB5075_gigAB__kan_gigA__3.0,1.8132680822,-3.5364005941
AB5075_gigAB__gigA__1.0,-1.0028992389,-3.594966649
AB5075_gigAB__gigA__2.0,8.2926567269,-3.7377875109
AB5075_gigAB__gigA__3.0,-2.079676737,-3.5479416865999998
AB5075_gigAB__kan_WT__1.0,1.6717487927999999,-0.9473478682
AB5075_gigAB__kan_WT__2.0,2.2791917036,-0.7981961399
AB5075_gigAB__kan_WT__3.0,0.5280831474000001,-0.8948054551
AB5075_gigAB__WT__1.0,0.3596687167,0.2496052393
AB5075_gigAB__WT__2.0,-0.6890046319,0.048544983900000005
AB5075_gigAB__WT__3.0,0.3293359151,-0.2981502231
AB5075_med__CA-MHB__1.0,-16.4708107884,-1.4349027664
AB5075_med__CA-MHB__2.0,-9.8067812761,-1.596689024
AB5075_med__CA-MHB_pH6__1.0,-13.9474726224,-1.4653464349
AB5075_med__CA-MHB_pH6__2.0,-16.3304487329,-1.7526336484
AB5075_med__RPMI+_pH7__1.0,-16.2807740656,-1.5364950804
AB5075_med__RPMI+_pH7__2.0,-15.5868001093,-1.7844590774
AB5075_med__RPMI+_pH6__1.0,-13.8924995233,-1.4603732334
AB5075_med__RPMI+_pH6__2.0,-18.2654196021,-1.569411072
AB5075_med__RPMI+_-HCO3__1.0,-3.7082994873,-0.8149029956
AB5075_med__RPMI+_-HCO3__2.0,-5.568175486,-0.7586599566000001
AB5075_med__LB__1.0,-0.1941314878,-0.1536569613
AB5075_med__LB__2.0,0.1941314878,0.1536569613
AB5075_med__M9+AA__1.0,-16.907645545,-1.5151028629
AB5075_med__M9+AA__2.0,-16.0362025501,-1.6339575405
AB5075_med__M9-AA__1.0,-14.7056213612,-1.7612113081
AB5075_med__M9-AA__2.0,-15.5059648702,-1.3859710522
AYE_adeB__WT__1.0,0.107312475,0.0568422273
AYE_adeB__WT__2.0,-0.3531683464,0.1452775188
AYE_adeB__WT__3.0,0.24585587150000002,-0.2021197461
AYE_adeB__adeB__1.0,-1.7503776590000002,0.1944647596
AYE_adeB__adeB__2.0,0.6982150407000001,0.5642697718
AYE_adeB__adeB__3.0,1.0051244221,0.7829775054
COL__0ug/ml__1.0,-0.4274011748,0.134507127
COL__0ug/ml__2.0,0.4274011748,-0.134507127
COL__0.25ug/ml__1.0,0.5083433583,0.047037147
COL__0.25ug/ml__2.0,-0.4915980669,0.39822148300000004
COL__1ug/ml__1.0,1.2082736314,-0.543538053
COL__1ug/ml__2.0,2.9457378027,-0.21654614900000002
H2O2__0ug/ml__1.0,0.6886010450000001,-0.1400713169
H2O2__0ug/ml__2.0,-0.6886010450000001,0.1400713169
H2O2__1.25ug/ml__1.0,0.6560167349,0.22709778120000002
H2O2__1.25ug/ml__2.0,-0.5599214875,-0.0060945686
H2O2__2.5ug/ml__1.0,0.817543597,-0.29380515690000003
H2O2__2.5ug/ml__2.0,0.2871872283,-0.8449854494
H2O2__5ug/ml__1.0,4.4762764090000005,0.6813691328
H2O2__5ug/ml__2.0,6.5863101986,0.6169931164
MRP__0ug/ml__1.0,0.3688646642,-0.1241074781
MRP__0ug/ml__2.0,-0.3688646642,0.1241074781
MRP__25ug/ml__1.0,1.4158558414,-0.21661494790000002
MRP__25ug/ml__2.0,0.1761259849,0.0119861628
MRP__100ug/ml__1.0,0.25174615100000003,0.2694544782
MRP__100ug/ml__2.0,-0.1355907537,-0.15223868170000002
MRP__200ug/ml__1.0,0.2713938113,0.1454694545
MRP__200ug/ml__2.0,2.2181446452,0.3430953563
growth__2h__1.0,0.3725614586,0.1957677937
growth__2h__2.0,-0.3725614586,-0.1957677937
growth__4h__1.0,2.2061937395,-0.145055912
growth__4h__2.0,0.5655391794,0.5647565074
growth__6h__1.0,6.102586636,-1.3834500718
growth__6h__2.0,5.2428037528,-0.4467055311
growth__8h__1.0,3.0583524376,-1.6068874087
growth__8h__2.0,3.4819996331,-0.23460660190000002
growth__10h__1.0,0.4422829974,-0.35680312810000003
growth__10h__2.0,-0.49869874200000003,-0.7128398064
mutants__WT__1.0,1.3696406801,0.126965041
mutants__WT__2.0,-1.3696406801,-0.126965041
mutants__R7__1.0,-1.5510087876,-0.728734465
mutants__R7__2.0,-1.9005239367,-0.8948504690000001
mutants__gacA__1.0,-3.2403070236,-0.059682567000000006
mutants__gacA__2.0,-3.5669660799000003,0.012145462000000001
vacJ_LL-37__WT__1.0,-0.33953714620000003,0.1298654324
vacJ_LL-37__WT__2.0,0.33953714620000003,-0.1298654324
vacJ_LL-37__WT+LL-37__1.0,-0.8991686904,-0.0782543888
vacJ_LL-37__WT+LL-37__2.0,-1.9220638687,0.43174594590000004
vacJ_LL-37__vacJ__1.0,-0.592770113,0.2712135888
vacJ_LL-37__vacJ__2.0,-2.1860241412,0.1840664308
vacJ_LL-37__vacJ+LL-37__1.0,-1.8216067008999999,0.2778847139
