,cspB
Cr_1,-0.0015536782611017882
Cr_2,0.0019759975699610048
Cr_3,0.017190074742230336
Cr_4,0.025328198089835555
Cr_5,0.038230237424249885
Cr_6,0.04605798609930325
Fe_1,-0.01771909521174742
Fe_2,-0.043844801893064236
Fe_3,-0.098860041598069
Fe_4,-0.15661565151394985
Fe_5,-0.21862781932836653
Fe_6,-0.2652015513294053
Cd_1,0.0036305038365333007
Cd_2,0.011000502191599305
Cd_3,0.013654593367960738
Cd_4,0.009637881776320745
Cd_5,0.011476162694047541
Cd_6,0.021239491660544937
Zn_1,-0.008281725741257127
Zn_2,-0.013724381752709935
Zn_3,-0.010013890134579456
Zn_4,-0.021812099255685245
Zn_5,-0.032707298239221166
Zn_6,-0.043856779441053366
Cu_1,0.005705495196851762
Cu_2,0.01957061075840628
Cu_3,0.042388557468352586
Cu_4,0.05515802483015782
Cu_5,0.06562557608899561
Cu_6,0.07789586015816256
Pb_1,0.016648539770994238
Pb_2,0.03626662683235888
Pb_3,0.06007474577301203
Pb_4,0.08283276029860458
Pb_5,0.11190509588766913
Pb_6,0.13860305165670744
