,yqgD
Cr_1,0.0026572271075814826
Cr_2,0.006581771230415065
Cr_3,0.011358694648022444
Cr_4,0.012593452210004191
Cr_5,0.014910280690843119
Cr_6,0.01284924244392926
Fe_1,-0.007824235064514653
Fe_2,-0.02159374910224996
Fe_3,-0.03170739811476225
Fe_4,-0.03811159954354382
Fe_5,-0.03946095501392775
Fe_6,-0.04002993377988561
Cd_1,0.00036018706700566186
Cd_2,0.0001246563563100359
Cd_3,-0.0007507591557115202
Cd_4,-0.0035007370009315303
Cd_5,-0.010271278386317046
Cd_6,-0.006387392763160258
Zn_1,-0.008895580495577432
Zn_2,-0.01702507892087609
Zn_3,-0.01874334059741854
Zn_4,-0.015833073085719473
Zn_5,-0.012583248392039042
Zn_6,-0.006510904859139531
Cu_1,0.003493776611707346
Cu_2,0.007151174918529899
Cu_3,0.0104556804222869
Cu_4,0.015385793582744332
Cu_5,0.018889231930255462
Cu_6,0.026594901249964838
Pb_1,-0.0019980923115147566
Pb_2,-0.0018844695685858704
Pb_3,0.008477877900911595
Pb_4,0.0206023986923278
Pb_5,0.026036587002432457
Pb_6,0.027237847990986747
