,lacY
Cr_1,-0.00019735950029048596
Cr_2,-6.837267619454056e-05
Cr_3,0.0012369211123235105
Cr_4,0.007659580546726818
Cr_5,0.003898059019982981
Cr_6,0.0009201105271649972
Fe_1,-0.023148274225081717
Fe_2,-0.0704363876878895
Fe_3,-0.12901382523598864
Fe_4,-0.19316271095288487
Fe_5,-0.25994975430101863
Fe_6,-0.33600653842434336
Cd_1,0.008718952508598622
Cd_2,0.01667896112211529
Cd_3,0.02553089602997409
Cd_4,0.031101867246806407
Cd_5,0.03521546055926837
Cd_6,0.03975767713149718
Zn_1,0.08797835731883773
Zn_2,0.2353889991617873
Zn_3,0.4699790289471018
Zn_4,1.5125134122542416
Zn_5,1.5377087764824262
Zn_6,0.3008137864481734
Cu_1,0.0052757106719548185
Cu_2,0.009930611955378256
Cu_3,0.013380647887292324
Cu_4,0.013287039638491479
Cu_5,0.016550312747994487
Cu_6,0.02485721997632229
Pb_1,0.013126853956071976
Pb_2,0.01870903319918988
Pb_3,0.03333189841661398
Pb_4,0.046446338606915716
Pb_5,0.058721122602085986
Pb_6,0.06727555276241193
