,fliA
Cr_1,0.032509235964674005
Cr_2,0.03992388224018404
Cr_3,0.04877478770770819
Cr_4,0.027411472460339637
Cr_5,0.03825119104684176
Cr_6,0.08106225700560894
Fe_1,-0.04758819319011613
Fe_2,-0.07625563033841998
Fe_3,-0.05822852146198228
Fe_4,-0.033055107607737375
Fe_5,-0.04334183701813736
Fe_6,-0.06579247288406317
Cd_1,-0.013084945681816292
Cd_2,-0.037246812223251775
Cd_3,-0.04431163800424866
Cd_4,-0.029636947347321026
Cd_5,-0.032326956278096675
Cd_6,-0.034593357909963394
Zn_1,-0.18827940964055287
Zn_2,-0.22016856833613588
Zn_3,-0.2013169709467041
Zn_4,-0.16556971626487552
Zn_5,-0.13782557998791128
Zn_6,-0.1267159440186427
Cu_1,-0.008278132704046705
Cu_2,-0.000524830839894924
Cu_3,0.016935851076576556
Cu_4,0.014133748136208957
Cu_5,0.006655528761072487
Cu_6,-0.0013968738612767262
Pb_1,-0.017645979188265798
Pb_2,-0.03965522002143964
Pb_3,-0.04311757193705045
Pb_4,-0.052794340968343685
Pb_5,-0.03453385071433812
Pb_6,-0.004024821745991638
