,A,BluR
R2,,0.10045917200327925
xmin,,-4.4077184711
xmid,,-0.16803881355732733
xmax,,3.0493063027
ystart,,-0.05893927020337897
yend,,9.519536343981338
aat__00m_00s__1,2.8659791872,-0.363200342
aat__00m_30s__1,1.4770487722,-0.47119407630000004
aat__01m_00s__1,2.7005613396,-0.4135930574
aat__02m_00s__1,5.7377785568,-0.47207885850000003
aat__05m_00s__1,6.7883129476,-0.5259888260000001
aat__10m_00s__1,8.6096843749,-0.49734979640000004
aat__00m_00s__2,-1.7715407743,0.13010830580000002
aat__00m_30s__2,-0.1472958643,-0.1235358617
aat__01m_00s__2,3.6179508973,-0.3728435156
aat__02m_00s__2,6.3882117048,-0.42278577040000004
aat__05m_00s__2,7.1229818957,-0.5117656741000001
aat__10m_00s__2,9.5247724372,-0.1236421882
aat__00m_00s__3,-1.0944384129,0.23309203620000002
aat__00m_30s__3,1.1689045266,-0.0409705984
aat__01m_00s__3,2.4368309051,-0.2839527371
aat__02m_00s__3,5.7559000904,0.0397484449
aat__05m_00s__3,7.9505187067000005,-0.20695867980000002
aat__10m_00s__3,8.6380020949,-0.1964049297
abx_mega__dmso-2__1,-7.2047211253,0.4624239772
abx_mega__ery_dmso__1,0.1936626089,0.1755759324
abx_mega__nal_naoh__1,-6.7749911862,0.0689177517
abx_mega__dmso-5__1,-2.2081450131,-0.1318426747
abx_mega__rif_dmso__1,1.3943526292000001,-0.058142535200000005
abx_mega__novo_h2o__1,-0.5039465559,-1.288906863
abx_mega__rach_dmso__1,-3.5931091324,-0.39818060980000003
abx_mega__metro_dmso__1,-1.8397716735,0.2912486475
abx_mega__dmso-6__1,-2.0198550771,-0.1042389885
abx_mega__chl_h2o__1,2.7551523533999998,0.6816490448
abx_mega__cst_h2o__1,-0.7486772102,-0.489238296
abx_mega__tec_h2o__1,-6.9642443506,-0.3557428125
abx_mega__str_h2o__1,-5.5959709116,0.3333135829
abx_mega__ctx_h2o__1,-1.8091055779,-0.5737257414
abx_mega__nal_naoh__2,-1.989045425,0.1573583228
abx_mega__phos_h2o__1,-5.9603143258,-1.0886494701
abx_mega__dmso-5__2,-1.7952364079,-0.3629615097
abx_mega__polmyx_h2o__1,-4.0474761211,-0.3804062513
abx_mega__h2o-8b__1,-2.6296855078,-0.24434446710000002
abx_mega__h2o-6__1,-1.9764259818,0.32883961980000004
abx_mega__thio_dmso__1,-4.2077743898,-1.8838846352
abx_mega__phos_h2o__2,-3.397335591,-0.4960262346
abx_mega__ctx_h2o__2,-8.8743954778,-2.2414848743
abx_mega__lzd_dmso__1,-1.256088882,0.1129229476
abx_mega__naoh-9__1,-4.2997039038,0.0633315728
abx_mega__dox_dmso__1,-3.7090498416,-1.5293279213000002
abx_mega__phos_ethanol__1,-4.3183053628,-0.4016382764
abx_mega__teix_dmso__1,-7.9143098456,-1.2833010856
abx_mega__dmso-10__1,-5.4598744264,-1.0855305268
abx_mega__van_dmso__1,-1.9242651192,-0.5242835326
abx_mega__ramo_h2o__1,-2.1125063809,-1.2385129715
abx_mega__tec_h2o__2,-4.1766834294,-1.1604963363
abx_mega__h2o-7__1,-6.4683120458,-1.4146822237
abx_mega__cro_h2o__1,-6.9453312385,-1.9639156338000001
abx_mega__tric_ethanol__1,-1.0699028705,-0.0445053755
abx_mega__nor_naoh__1,1.0892407915,0.0663729854
abx_mega__teix_dmso__2,-3.5056220284,-0.5227330678000001
abx_mega__nal_naoh__3,-1.9352384049,0.2546819319
