,new_4104900_4105513
LBexp_1,8.3208
LBexp_2,8.5399
LBexp_3,7.9211
LBtran_1,7.668
LBtran_2,7.3338
LBtran_3,7.37
LBstat_1,7.6530000000000005
LBstat_2,7.7592
LBstat_3,7.796
LBGexp_1,8.8969
LBGexp_2,9.8342
LBGexp_3,8.1204
LBGtran_2,7.5589
LBGtran_3,7.9874
LBGstat_1,7.3566
LBGstat_2,7.3591
LBGstat_3,7.7818000000000005
S0_1,8.4349
S0_2,8.6666
S0_3,8.6881
S1_1,10.3675
S1_2,10.4771
S1_3,10.3063
S2_1,9.6914
S2_2,8.9229
S2_3,8.7486
S3_1,8.6979
S3_2,8.7209
S4_1,8.7733
S4_2,8.1116
S4_3,7.6776
S5_1,8.2655
S5_2,8.2571
S5_3,8.6314
S6_1,7.6106
S6_2,7.354
S6_3,7.5542
S6/t_1,7.9626
S6/t_2,7.4527
S6_4,7.8852
S6_5,7.9489
S6_6,7.7893
S7_4,8.5383
S7_5,8.5163
S7_6,8.7444
S8_4,8.4441
S8_5,8.7401
G135_1,8.7361
G135_3,8.1946
G150_1,8.9292
G150_2,10.2048
G150_3,9.5172
G180_1,9.165
G180_2,9.5124
G180_3,8.7084
C30_1,9.6988
C30_2,9.8386
C90_1,8.6051
C90_2,8.1097
BI_1,8.7716
BI_2,8.7287
BC_2,7.8918
BC/t_1,8.0151
BC/t_2,9.0679
BC_1,7.7195
Sw_1,6.983
Sw_2,7.1834
BT_1,7.8721
BT_2,7.6561
B36_1,7.7588
B36_2,8.0802
B60_1,7.6497
B60_2,8.5264
M9exp_1,10.4287
M9exp_2,10.2482
M9exp_3,9.92
M9tran_1,9.433
M9tran_2,9.3527
M9tran_3,9.4958
M9stat_1,8.2463
M9stat_2,8.115
M9stat_3,7.8453
M+G_1,10.0735
M+G_2,9.332699999999999
M+G_3,9.1904
Glu_1,9.8211
Glu_2,9.6489
Glu_3,10.2934
Fru_1,10.1603
Fru_2,9.3675
Fru_3,9.3282
Mal_1,8.356
Mal_2,9.4612
Mal_3,9.1998
G+S_2,8.3246
G+S_3,8.8376
Pyr_1,8.4257
Pyr_2,8.2395
Pyr_3,8.8684
Gly_1,8.5481
Gly_2,8.574300000000001
Gly_3,8.3031
Glucon_1,9.1617
Glucon_2,9.103
Glucon_3,9.997
aero_1,9.7564
aero_2,8.4248
aero_3,8.8166
nit_1,9.1217
nit_2,9.8602
nit_3,9.1402
ferm_1,9.5239
ferm_2,9.2576
ferm_3,9.1153
T-5.40H_1,9.525
T-4.40H_1,9.3705
T-3.40H_1,9.1645
T-2.40H_1,8.7858
T-1.40H_1,8.6422
T-1.10H_1,8.5754
T-0.40H_1,8.3537
T0.0H_1,7.9558
T0.30H_1,8.0815
T1.0H_1,7.9029
T1.30H_1,8.0745
T2.0H_1,8.3535
T2.30H_1,8.5126
T3.0H_1,8.1109
T3.30H_1,8.5163
T4.0H_1,8.2822
T5.0H_1,8.2869
HPh_1,10.7648
HPh_2,10.463
HPh_3,10.6935
LPh_1,10.9041
LPh_2,11.4961
LPh_3,11.0435
LPhT_1,8.3514
LPhT_2,8.3174
LPhT_3,8.5665
SMMPr_1,8.5398
SMMPr_2,8.4125
SMMPr_3,8.3352
HiTm_1,8.5092
HiTm_2,9.0981
HiTm_3,9.3913
LoTm_1,8.6199
LoTm_2,8.5102
LoTm_3,8.4889
HiOs_1,9.764
HiOs_2,9.7185
HiOs_3,9.7348
BMM_1,10.4148
BMM_2,10.2402
BMM_3,10.3663
Heat_1,10.354800000000001
Heat_2,9.8706
Heat_3,9.6894
Cold_1,8.6943
Cold_2,8.3402
Cold_3,8.2154
Etha_1,7.9383
Etha_2,8.0502
Etha_3,7.7276
SMM_1,8.6024
SMM_2,8.2759
SMM_3,8.546
Salt_1,8.0522
Salt_2,7.9065
Salt_3,8.0022
Mt0_1,8.2038
Mt0_3,9.0116
M0t45_1,8.0253
M0t45_2,7.9551
M0t45_3,8.3982
M0t90_1,7.7367
M0t90_2,7.907
M0t90_3,7.7781
M40t45_1,7.8725000000000005
M40t45_2,7.7485
M40t45_3,8.5858
M40t90_1,7.4541
M40t90_2,7.6595
M40t90_3,7.776
dia0_1,7.4401
dia0_2,7.869
dia0_3,8.1491
dia5_1,7.5547
dia5_2,7.6236
dia5_3,7.3676
dia15_1,8.0223
dia15_2,8.1948
dia15_3,8.8741
Diami_1,7.9832
Diami_2,8.0049
Diami_3,8.2715
Paraq_1,8.7489
Paraq_2,8.9065
Paraq_3,8.1265
H2O2_1,9.0674
H2O2_2,9.1512
H2O2_3,9.1208
Oxctl_1,8.6331
Oxctl_2,8.5841
Oxctl_3,8.5271
GM-0.1_1,9.5956
GM-0.2_1,9.4456
GM+5_1,9.3881
GM+15_1,9.6299
GM+25_1,9.773
GM+45_1,9.6678
GM+60_1,9.6015
GM+90_1,9.6083
GM+120_1,9.1667
GM+150_1,9.147
GM-0.1_2,9.8193
GM-0.2_2,10.2267
GM+5_2,9.3267
GM+10_2,9.104800000000001
GM+15_2,9.045
GM+25_2,9.1363
GM+45_2,8.3977
GM+60_2,8.4231
GM+90_2,9.2799
GM+150_2,8.3435
GM-0.1_3,9.194
GM-0.2_3,9.0207
GM+5_3,9.1089
GM+10_3,8.1929
GM+15_3,8.6219
GM+25_3,8.7735
GM+45_3,8.9497
GM+60_3,8.4245
GM+90_3,8.736
GM+120_3,9.0184
GM+150_3,8.7162
MG-0.1_1,9.9787
MG+5_1,9.9471
MG+10_1,10.1889
MG+15_1,9.3391
MG+25_1,9.9483
MG+45_1,9.8044
MG+120_1,8.8933
MG+150_1,9.107
MG-0.1_2,9.3242
MG-0.2_2,9.7561
MG+5_2,9.9418
MG+10_2,10.0508
MG+15_2,10.6493
MG+25_2,9.8329
MG+45_2,9.4342
MG+60_2,10.0032
MG+90_2,9.3995
MG+120_2,9.6527
MG-0.1_3,10.725200000000001
MG-0.2_3,10.2637
MG+5_3,10.0791
MG+10_3,9.9346
MG+15_3,10.5071
MG+25_3,10.4001
MG+45_3,11.0115
MG+60_3,10.493500000000001
MG+90_3,10.1523
MG+120_3,9.3348
MG+150_3,9.1555
