,ygiZ
Cr_1,-0.003620286893149761
Cr_2,-0.01504944081336304
Cr_3,-0.0016642770175432106
Cr_4,0.003488830267758094
Cr_5,0.017458104581241318
Cr_6,0.004962470078753572
Fe_1,-0.039145908383048135
Fe_2,-0.08600209383539563
Fe_3,-0.10699115017014743
Fe_4,-0.1326326576175016
Fe_5,-0.13357381062198034
Fe_6,-0.14918168184983696
Cd_1,0.009964457516216151
Cd_2,0.003783820264297921
Cd_3,-0.0002759437916349143
Cd_4,0.006384899300900243
Cd_5,-0.002929922489272476
Cd_6,0.0009295780560893429
Zn_1,2.198534111603069
Zn_2,2.8570376683064835
Zn_3,2.3121542272165607
Zn_4,1.8798873551871969
Zn_5,1.5544291011497016
Zn_6,1.3699637797196988
Cu_1,0.0031535854421513767
Cu_2,0.009578609603841215
Cu_3,0.011343493294614494
Cu_4,0.008886771699893258
Cu_5,0.004743177299179736
Cu_6,0.0025691033144618395
Pb_1,0.013041681081230293
Pb_2,0.02430892068814941
Pb_3,0.03567014133319851
Pb_4,0.032597829962102566
Pb_5,0.036729993795850166
Pb_6,0.036005713260402014
