,ydgL
Cr_1,0.00742725818512138
Cr_2,0.01510886773520779
Cr_3,0.01985942564311165
Cr_4,0.0024992741298110787
Cr_5,-0.01637356693541919
Cr_6,-0.02244703676127301
Fe_1,-0.005652704118203632
Fe_2,-0.0007593599939010642
Fe_3,0.015149897240997738
Fe_4,0.02798732735200328
Fe_5,0.035655981742666314
Fe_6,0.03705748674930917
Cd_1,0.01698587397282834
Cd_2,0.03509374382964278
Cd_3,0.05187256577140737
Cd_4,0.06304006455476723
Cd_5,0.06979575290281465
Cd_6,0.08215797369112512
Zn_1,-9.750731848126062e-05
Zn_2,-0.0007299893691183622
Zn_3,0.0005199153945395916
Zn_4,-0.001291819035916732
Zn_5,-0.007271645329342055
Zn_6,-0.01406449177277929
Cu_1,0.002291261543972297
Cu_2,0.006392418097031559
Cu_3,0.015898914551981416
Cu_4,0.028447036959579657
Cu_5,0.038066497317768656
Cu_6,0.0492422447197425
Pb_1,7.810169539939332e-05
Pb_2,0.0005326192635372964
Pb_3,0.0023868283020526907
Pb_4,0.01137001729096373
Pb_5,0.016934157265352655
Pb_6,0.026452687931032587
