,mutH
Cr_1,-0.0007697921955068126
Cr_2,0.004718353405772362
Cr_3,0.010584302811147616
Cr_4,0.015098716284513885
Cr_5,0.009770793520129509
Cr_6,0.014476896625150809
Fe_1,-0.018983299844708205
Fe_2,-0.043035768590821775
Fe_3,-0.049825916905177264
Fe_4,-0.07456309031504063
Fe_5,-0.0941468072267866
Fe_6,-0.09355385681150412
Cd_1,0.0015114451413116331
Cd_2,0.009974785053915749
Cd_3,0.022783725110897574
Cd_4,0.030573199528054956
Cd_5,0.031020655486759807
Cd_6,0.04013154982515189
Zn_1,-0.004350023496351411
Zn_2,-0.004718866769445593
Zn_3,-0.004662071161415671
Zn_4,0.0001233215095101371
Zn_5,0.007763845570775322
Zn_6,0.021104981130790592
Cu_1,0.004181190540522051
Cu_2,0.009622628741083451
Cu_3,0.01834909668163491
Cu_4,0.02699382713409796
Cu_5,0.0339934602058261
Cu_6,0.042904191916692216
Pb_1,0.006045960851331324
Pb_2,0.01023608557773166
Pb_3,0.0275675405721162
Pb_4,0.04600268238747264
Pb_5,0.0636487556710052
Pb_6,0.07221657610674269
