,fhuF
Cr_1,0.014111465202052456
Cr_2,0.03351934294196798
Cr_3,0.0576863628430184
Cr_4,0.08128408415424124
Cr_5,0.1063946948507926
Cr_6,0.12745365114535326
Fe_1,-0.014827982048788681
Fe_2,-0.031950470181543164
Fe_3,-0.05706603835820012
Fe_4,-0.08985007091981702
Fe_5,-0.12117712514005467
Fe_6,-0.1534786267957953
Cd_1,-0.0006047840409563994
Cd_2,0.000801242565550224
Cd_3,0.0019268572209229647
Cd_4,0.0026035776682708416
Cd_5,-0.0011918477418269753
Cd_6,0.0022958112664340103
Zn_1,-0.00028231769824204245
Zn_2,0.002595209998885709
Zn_3,0.008022020219124609
Zn_4,0.019474479375424462
Zn_5,0.03086010342185994
Zn_6,0.04067095095369022
Cu_1,0.006160745245549878
Cu_2,0.01406353727699735
Cu_3,0.02305476959681026
Cu_4,0.03475776843826641
Cu_5,0.044390342227695084
Cu_6,0.05508695403644625
Pb_1,0.0025648724497477665
Pb_2,0.005575537250489848
Pb_3,0.010636225616824157
Pb_4,0.01406965721832231
Pb_5,0.01722077334256016
Pb_6,0.0228279552785362
