,yfhL
Cr_1,-0.0028477051188384697
Cr_2,-0.0042450418523738934
Cr_3,-0.008713748425753974
Cr_4,-0.013056179682647736
Cr_5,-0.014479746381348413
Cr_6,-0.018597436163817847
Fe_1,-0.0004280582599674686
Fe_2,0.005902525468975626
Fe_3,0.0218258283606904
Fe_4,0.044133940599231605
Fe_5,0.06844248567881546
Fe_6,0.09073006145257964
Cd_1,-0.0006947688870415642
Cd_2,-0.0016518395536072757
Cd_3,-0.0017237500400904702
Cd_4,-0.0042020541725853325
Cd_5,-0.010693056059202536
Cd_6,-0.013940720448955751
Zn_1,0.0002033877733738502
Zn_2,-0.0045830338468667966
Zn_3,-0.013048714765271157
Zn_4,-0.028996384663951536
Zn_5,-0.04444966454957699
Zn_6,-0.05841158769603105
Cu_1,0.002662272750448
Cu_2,0.004547205253588039
Cu_3,0.006153006331739176
Cu_4,0.003924863292921176
Cu_5,0.0008541037003965301
Cu_6,-0.0011163590679247471
Pb_1,-2.5972153555951145e-05
Pb_2,0.00104021459038186
Pb_3,0.001657252267080076
Pb_4,0.004875601502121135
Pb_5,0.009186994792539037
Pb_6,0.012781007270443515
