,A,Crp,AscG
R2,,0.015192179802263839,0.0024710858991610074
xmin,,-9.852476477,-1.7255691094999999
xmid,,0.49619618947384275,-0.3910863372239904
xmax,,1.6003325529999999,1.7570238265
ystart,,0.09749830894742839,0.05142859698163667
yend,,1.6814412244187107,0.5814155778116759
control__wt_glc__1,-0.407004448,0.012478646000000001,-0.0197542005
control__wt_glc__2,0.407004448,-0.012478646000000001,0.0197542005
fur__wt_dpd__1,-0.8048318784,0.077574131,-0.17227864950000002
fur__wt_dpd__2,-1.0719363522,-0.090682171,-0.34402348850000003
fur__wt_fe__1,-0.5621239596000001,-0.030513673,-0.4218551185
fur__wt_fe__2,-0.8619513723000001,0.05819072,-0.39111736150000004
fur__delfur_dpd__1,-0.9314229302,-0.105981984,-0.0157267035
fur__delfur_dpd__2,-1.0990640195,-0.22346684100000003,-0.2180672905
fur__delfur_fe2__1,-1.2082005932,0.436429913,-0.1364599865
fur__delfur_fe2__2,-1.0488103285,0.367563393,-0.3454176795
acid__wt_ph5__1,-0.39738559430000003,0.345522573,-0.34875983650000003
acid__wt_ph5__2,-0.6224066104,0.343136463,-0.0669199925
acid__delgadx_ph5__2,-0.39767045040000004,0.33938771300000004,-0.8066566475
acid__delgadw_ph5__1,-0.8557093839000001,0.383863793,-0.4564992195
acid__delgadw_ph5__2,-0.8804776514,0.33986178300000003,-0.3839617555
acid__delgade_ph5__1,-0.5896968231,0.43240872300000005,-0.1242003985
acid__delgade_ph5__2,-0.8610336906,0.482436193,-0.10933384950000001
oxidative__wt_pq__1,-0.7152937396,0.17662370300000002,0.0014045405
oxidative__wt_pq__2,-1.1414934934,0.24038529300000003,-0.7301396755
oxidative__deloxyr_pq__1,-1.0415188193,0.513155013,-0.1179512335
oxidative__deloxyr_pq__2,-1.811347033,0.536337303,0.0004866655
oxidative__delsoxr_pq__1,-2.1635438404,0.334672533,-0.4513625815
oxidative__delsoxr_pq__2,-1.7310296398,0.387059873,-0.6436610765
oxidative__delsoxs_pq__1,-0.8438221095,0.513462963,-0.6144109995
oxidative__delsoxs_pq__2,-0.9640700366,0.5104807530000001,-0.3775935995
nac_ntrc__wt_csn__1,-0.49332380610000004,-0.07279683,0.2497078915
nac_ntrc__wt_csn__2,-0.20501026490000002,-0.093243951,0.3021589315
nac_ntrc__wt_cytd__1,-0.6759908061000001,-0.043119613,-0.3074945045
nac_ntrc__wt_cytd__2,-0.9218113264000001,-0.07348926,-0.029137760500000002
nac_ntrc__wt_gln__1,-0.4893778305,0.16383650300000002,-0.4280777385
nac_ntrc__wt_gln__2,-0.5951288698,0.11651884600000001,-0.27907300150000003
nac_ntrc__bw_delnac_csn__1,-1.2375347764,0.16921202300000002,0.1147254495
nac_ntrc__bw_delnac_csn__2,-0.7592606606000001,0.03216219,0.21599312550000002
nac_ntrc__bw_delnac_cytd__1,-2.4781782456,0.29367586300000004,0.4024196135
nac_ntrc__bw_delnac_cytd__2,-2.552604132,0.22863865300000003,0.3951736005
nac_ntrc__bw_delnac_gln__1,-1.8615578952,0.505105143,0.0845836305
nac_ntrc__bw_delnac_gln__2,-2.008489901,0.563775123,-0.07707261850000001
nac_ntrc__bw_delnac_nh4__1,-2.2157035241,0.339165103,0.4561034835
nac_ntrc__bw_delnac_nh4__2,-1.5785451016,0.360235063,0.2494609335
misc__wt_no_te__1,-1.0961355938,0.32216916300000004,-0.4686599315
misc__wt_no_te__2,-1.1502928469,0.315987593,-0.2063350085
misc__bw_delcbl__1,-2.1681597035,0.30577407300000004,0.34416459650000003
misc__bw_delcbl__2,-2.8706209554,0.322569413,0.0914929465
misc__bw_delfabr__1,-2.5596730242,0.194465293,0.1171845085
misc__bw_delfabr__2,-2.2188504808,0.13385438500000002,0.1871501875
misc__bw_delfadr__1,-3.4832893989000002,0.325118883,-0.20884505050000002
misc__bw_delfadr__2,-2.3071328865,0.343466333,-0.1582500185
misc__nitr_031__1,-0.7622905306000001,0.215598863,-0.20607089650000002
omics__wt_glu__1,-0.11983114600000001,0.348125933,-0.2095468765
omics__wt_glu__2,-0.390128026,0.319898823,-0.0160070835
omics__wt_gly__1,-1.1735971313,0.31218181300000003,-0.5473785255
omics__wt_gly__2,-1.6455588254,0.348980073,-0.5284632125000001
omics__wt_thr__1,0.2561674923,0.883560683,0.7137540245
omics__wt_thr__2,0.4286322817,1.1275514229999999,0.2737198715
omics__bw_ac__1,-0.0937075016,0.46435899300000005,0.9426142385
omics__bw_ac__2,-1.0268777761,0.46188222300000004,0.8782566675
omics__bw_fum__1,-2.1554741687,0.44664785300000004,0.7222297245
omics__bw_fum__2,-2.6602812209,0.49525865300000005,0.8290382625
omics__bw_glc__1,-1.1731091114,0.319951353,0.7387508175
omics__bw_glc__2,-1.0704891195,0.360933593,0.6012376725
omics__bw_pyr__1,-1.198914992,0.8061810030000001,1.0205798335
omics__bw_pyr__2,-1.6035907977,0.764467493,1.4833892634999999
ompr__wt_nacl__1,0.16276156700000002,-0.686581477,-0.8006322865000001
ompr__wt_nacl__2,-0.2880402823,-0.620927,-1.2387972855
ompr__bw_delompr_nacl__1,0.2964766934,-1.046248202,-1.2172926945
ompr__bw_delompr_nacl__2,0.41494516610000004,-1.071490687,-1.3955306715
minspan__wt_ade__1,1.4458589722,-0.09169608400000001,-1.2624110895
minspan__wt_glc__2,-0.5214566943,-0.171476714,-0.7773959575
minspan__wt_glc__3,-0.1385735186,-0.216511799,-0.5102374985
minspan__wt_glc__4,-0.5505098712000001,-0.237794143,-0.6959603795
minspan__wt_glc_anaero__1,0.2218129012,0.097308024,-0.2789192955
minspan__wt_glc_anaero__2,-0.24165718560000002,0.0007891440000000001,-0.2976399015
minspan__wt_trp__1,0.5107758662,0.37930993300000004,-0.2675636055
minspan__bw_delcra_glc__2,0.09871522120000001,0.207746483,-0.20407511250000002
minspan__bw_delcra_trp__1,0.18168582700000002,0.245706203,0.2380971975
minspan__bw_delmntr__1,0.1861266392,0.395080543,0.6206508385
minspan__bw_delnac_ade__1,2.4487186384,0.005806082000000001,-0.2087484755
minspan__bw_delnac_glc__1,-1.479106539,0.19238992300000002,-0.0593087355
cra_crp__wt_ac__1,-0.5783535249,0.7848307330000001,0.0220631165
cra_crp__wt_ac__2,-0.6015496146,0.774460393,0.0472691385
cra_crp__wt_fru__1,-1.0100898608,0.31349375300000004,0.19674478450000002
cra_crp__wt_fru__2,-1.2048603219,0.373244063,0.2797441355
cra_crp__delcra_ac__1,-2.5085518108000002,0.205353913,0.1180401445
cra_crp__delcra_ac__2,-2.2826238746,0.159225273,0.3628978795
cra_crp__delcra_fru__1,-1.6749325556999999,0.12650519300000002,-0.3935881365
cra_crp__delcra_fru__2,-1.8756802707,0.163147493,-0.8764844185
cra_crp__delcra_glc__1,-1.6576757546,0.046791002000000005,-0.2969189705
cra_crp__delcra_glc__2,-1.7470895555000001,-0.014761104,-0.5391596075
rpoB__wt_031__1,-0.1324630625,0.271760703,-0.1819505625
rpoB__wt_044__1,-1.2023696175,0.20485867300000002,-0.6124788945
rpoB__wt_lb__1,-0.3490632111,0.24727295300000002,-0.9396834525000001
rpoB__wt_lb__2,-0.7008108723,0.204154523,-1.0475653275
rpoB__rpoBE546V_031__1,-0.24780069030000001,0.45717146300000006,0.1709775325
rpoB__rpoBE546V_044__1,0.6255154702,0.376256283,0.1866530605
rpoB__rpoBE546V_lb__1,-1.1758663756,0.11748048200000001,-0.3284664635
rpoB__rpoBE546V_lb__2,-0.475072661,0.125422963,-0.6165820885000001
rpoB__rpoBE546V_glc__1,-0.2960397503,-0.004082425000000001,0.0160759315
rpoB__rpoBE672K_glc__1,-0.4516597772,-0.66628918,-1.7255691094999999
rpoB__rpoBE672K_glc__2,-0.2839038681,-0.570898456,-1.0766512755
rpoB__rpoBE672K_lb__1,0.6647794294,-0.228845183,-1.1748976115
rpoB__rpoBE672K_lb__2,-0.1319961503,-0.18410035800000002,-0.7934775645000001
crp__wt_fru__1,-0.8995147777,-0.134837475,0.41974618350000004
crp__wt_glyc__1,-1.6825183692999999,-0.06971342200000001,0.1849898255
crp__wt_glyc__2,-1.6656701479,0.000271048,0.4523952365
crp__delar1_glyc__1,-1.6694227913000002,0.768482663,-0.1230262725
crp__delar1_glyc__2,-0.6738354245,0.980974663,-0.3431749315
crp__delar1ar2_glyc__1,-2.0871167726,0.29165508300000004,-0.3982598805
crp__delar1ar2_glyc__2,-1.7172138381000002,0.25672264300000003,-0.33898446050000003
crp__delar1ar2_glyc__3,-1.6794277278,0.37124749300000004,-0.5256838505
crp__delar2_glyc__1,-2.2331343753,1.429825303,0.2347728715
crp__delar2_glyc__2,-2.0203991965,1.300445483,0.2809833675
crp__delar2_glyc__3,-1.8020714525,1.236903523,0.2487012285
crp__delcrp_fru__1,-0.3647234756,-9.852476477,-0.7392992725
crp__delcrp_fru__2,-1.3855624035,-9.107951936,-0.9471249635000001
crp__delcrp_fru__3,-0.8869641713,-9.852476477,-0.7985734165
crp__delcrp_glc__1,-1.7101555221,-9.025871704,-0.9243861735000001
crp__delcrp_glc__2,-1.6815121887000002,-9.566616581,-0.7040151825000001
crp__delcrp_glc__3,-0.9280410296,-9.852476477,-0.4675204315
crp__delcrp_glyc__1,-1.3932846321,-9.852476477,-0.5888651775
crp__delcrp_glyc__2,-1.8449298296,-9.852476477,-0.8051044915000001
crp__delcrp_glyc__3,-1.4343166762,-9.852476477,-0.2675609805
glu__glu_ale3__1,-0.5951269044,1.438555163,0.7844334865
glu__glu_ale4__1,-0.7315801566,0.12370463300000001,-0.3261988315
glu__glu_ale5__1,-1.9346894491,0.23737495300000003,-0.5048023025
glu__glu_ale6__1,1.1292128181,-0.266972174,-0.5832637745
glu__glu_ale8__1,-0.8656014256000001,1.5517659030000002,0.9708152905
glu__glu_ale9__1,-0.0317216819,0.736260553,-0.0012827725000000001
glu__glu_ale10__1,-0.0592079324,1.248499963,0.1334330105
42c__wt_42c__1,-0.43958346340000004,-0.022893763,-0.3783286265
42c__42c_ale1__1,0.5307098082,0.578078713,0.2416484075
42c__42c_ale2__1,-1.0065704284,-0.001157444,0.39304940850000003
42c__42c_ale3__1,-1.1918152036,-0.163650862,0.6871154925
42c__42c_ale4__1,1.8556362257,0.18829674300000002,-0.0526496625
42c__42c_ale5__1,0.5625588509,-0.255090408,0.27457335650000003
42c__42c_ale6__1,2.3013621461,0.584709813,1.2460825825
42c__42c_ale8__1,0.7588538838000001,0.898060053,0.3574095715
42c__42c_ale9__1,0.0310649593,0.234450913,0.7182641895
42c__42c_ale10__1,2.0256208011,0.5824345430000001,0.2621190645
ssw__wt_ac__1,-0.5125893196,0.155824183,0.36148985450000004
ssw__wt_glc__1,0.23838536440000002,0.08995910700000001,-1.1648912755
ssw__wt_glyc__1,1.1808834947,0.264629563,-0.26428304350000004
ssw__wt_xyl__1,1.1410532306,0.615108903,0.1513572735
ssw__glc_ale1__1,-0.4371721156,0.311997713,0.41904650050000003
ssw__glc_ale2__1,0.6088280027,0.5353218630000001,0.9847312655
