,-0.07005428175,-0.05448666358333334,-0.03891904541666667,-0.023351427250000008,-0.007783809083333343,0.007783809083333315,0.023351427249999987,0.03891904541666666,0.05448666358333332,0.07005428174999997,0.08562189991666663,0.10118951808333332,0.11675713624999998,0.13232475441666663,0.14789237258333332,0.16345999074999998,0.17902760891666664,0.19459522708333332,0.21016284524999995,0.22573046341666664
thresh,-0.0467028545,0.0467028545,1,,,,,,,,,,,,,,,,,
unreg,1,8,14,229,2825,2217,178,45,17,16,6,3,6,2,1,3,1,0,0,0
unreg_genes,['PA2412'],['dctA' 'aroP2' 'ccpR' 'katA' 'sodB' 'PA4880' 'PA0918' 'PA3602'],[],[],[],[],[],[],"['foxA' 'femA' 'PA4894' 'PA4707' 'PA0149' 'PA5383' 'opmQ' 'pscB' 'fiuA'
 'pvdT' 'PA4144' 'toxR' 'PA4141' 'PA4706' 'hemO' 'PA2027' 'PA3900']","['fepB' 'PA3410' 'pirA' 'PA4897' 'femI' 'PA3899' 'PA4155' 'PA4709'
 'PA1909' 'pvdE' 'PA4156' 'PA2531' 'fepC' 'PA4142' 'PA1134' 'femR']",['PA3404' 'hasD' 'PA4896' 'phuT' 'PA3409' 'PA1302'],['PA4895' 'phuR' 'hasE'],['PA1300' 'PA2033' 'PA2034' 'PA1301' 'fpvB' 'PA4471'],['hasR' 'PA4570'],['hasAp'],['fumC1' 'PA4467' 'sodM'],['PA4469'],[],[],[]
