,A,PhrR
R2,,0.055181429691559036
xmin,,-3.3048425910000008
xmid,,-0.2454405401942179
xmax,,1.6669712174999995
ystart,,4.159850753414039
yend,,15.082106838364833
Rich_TF_over_stress__BHIN_Growth_Late__1,1.6599055427083076,-1.5087349260000007
Rich_TF_over_stress__BHIN_Growth_Late__2,0.1309234640904615,-1.1861704490000005
Rich_TF_over_stress__BHIN_Growth_Mid__1,-0.5825975559505246,-0.1801646540000003
Rich_TF_over_stress__BHIN_Growth_Mid__2,1.6624413703037584,-1.5201960910000007
Rich_TF_over_stress__BHIN_Growth_Stat__1,5.373024583773471,-1.6464258000000007
Rich_TF_over_stress__BHIN_Growth_Stat__2,5.157374034526903,-1.4308169660000003
Rich_TF_over_stress__LBv2_Growth_Late__1,1.1170113221485074,-0.8181024370000003
Rich_TF_over_stress__LBv2_Growth_Late__2,3.667918722694919,-0.4060662700000002
Rich_TF_over_stress__LBv2_Growth_Mid__1,-0.2604651219480887,0.0329381839999998
Rich_TF_over_stress__LBv2_Growth_Mid__2,0.2604651219481095,-0.0329381840000007
Rich_TF_over_stress__LBv2_Growth_Stat__1,13.19179557809777,0.0414835469999994
Rich_TF_over_stress__LBv2_Growth_Stat__2,24.65650078685932,0.5237107659999998
Rich_TF_over_stress__MHB_Rich_Mid__1,0.3108708590004904,-0.0209308040000006
Rich_TF_over_stress__MHB_Rich_Mid__2,-0.1830323531608223,0.171759623999999
Rich_TF_over_stress__NBO_Rich_Mid__1,-0.683631488479998,-0.1491236970000002
Rich_TF_over_stress__NBO_Rich_Mid__2,0.9190205818600856,-0.3833834760000005
Carbons__M9Na_Arabinose_Mid__1,1.117400543404595,0.9619598165000004
Carbons__M9Na_Arabinose_Mid__2,3.93113176752092,1.5005389764999997
Carbons__M9Na_Galactose_Mid__1,13.07189973884004,0.2471721154999997
Carbons__M9Na_Galactose_Mid__2,9.930738619063687,0.2068416094999996
Carbons__M9Na_GlcNAcGrowth_Late__1,14.88048401953888,-0.4694006914999997
Carbons__M9Na_GlcNAcGrowth_Late__2,16.451950296705533,-0.4031031655000001
Carbons__M9Na_GlcNAcGrowth_Mid__1,14.26712479173042,0.0616166995
Carbons__M9Na_GlcNAcGrowth_Mid__2,9.881087430548524,-0.0853394764999997
Carbons__M9Na_GlcNAcGrowth_Stat__1,16.755866570524162,-1.7779624075000005
Carbons__M9Na_GlcNAcGrowth_Stat__2,16.828566431887197,-2.0403175865
Carbons__M9Na_GlcNAc_Mid__1,7.968549210767142,-0.2161828095000002
Carbons__M9Na_GlcNAc_Mid__2,21.812681390366546,-0.1397053255000004
Carbons__M9Na_Gluconate_Mid__1,-2.880032094596549,-0.8405807845000002
Carbons__M9Na_Gluconate_Mid__2,-4.441756571947284,-0.4875908295000002
Carbons__M9Na_Glucosamine_Mid__1,15.508132694989962,-1.1398619295000003
Carbons__M9Na_Glucosamine_Mid__2,20.48590350936845,-0.8042485854999999
Carbons__M9Na_Glycerol_Mid__1,12.450158029136931,-0.0399659364999998
Carbons__M9Na_Glycerol_Mid__2,14.164031686299408,-0.2024567724999997
Carbons__M9Na_Maltose_Mid__1,-3.2420168408955403,0.6150649325000002
Carbons__M9Na_Maltose_Mid__2,0.7166786910036997,-0.4300478874999998
Carbons__M9Na_Mannitol_Mid__1,-1.00249163478436,1.0133275315
Carbons__M9Na_Mannitol_Mid__2,6.173794474500684,0.8450832945000002
Carbons__M9Na_Trehalose_Mid__1,12.083665535006388,-0.1255542375000002
Carbons__M9Na_Trehalose_Mid__2,1.1042061289521636,0.3036165444999996
Carbons__M9Na_ethanol_Mid__1,39.75417385770172,0.0642044625000002
Carbons__M9Na_ethanol_Mid__2,38.22572497841952,0.5462384724999998
Carbons__M9Na_fructose_Mid__1,14.920955602468393,0.5695180234999997
Carbons__M9Na_fructose_Mid__2,15.499172879453806,0.9202685665
Carbons__M9Na_fumarate_Mid__1,5.262887084218864,-0.3804124755
Carbons__M9Na_fumarate_Mid__2,14.34482282390222,0.1273354944999996
Carbons__M9Na_glucoseGrowth_Late__1,9.096174264940508,-0.2733240615000003
