,yqeI
Cr_1,-0.0043975670366882
Cr_2,-0.011610323952708269
Cr_3,-0.012380370819163341
Cr_4,-0.014837022592082862
Cr_5,-0.012026584605084323
Cr_6,-0.012701143086979208
Fe_1,-0.010581316687681334
Fe_2,-0.020937712528029687
Fe_3,-0.024137398049085417
Fe_4,-0.028080901107118004
Fe_5,-0.029960005653634294
Fe_6,-0.023690620081867297
Cd_1,-0.0007038168439414094
Cd_2,0.0009703896050841731
Cd_3,0.0029614515665373612
Cd_4,0.004810119647724646
Cd_5,0.004124220666449008
Cd_6,0.008819327865896478
Zn_1,-0.00691357521185665
Zn_2,-0.004627922287971083
Zn_3,0.009867738318403351
Zn_4,0.02578462017253414
Zn_5,0.04043502766080891
Zn_6,0.05279742133562275
Cu_1,0.005310577187501138
Cu_2,0.012212684599940227
Cu_3,0.017542680151755308
Cu_4,0.017270739962790785
Cu_5,0.02160462485643894
Cu_6,0.02631169574820144
Pb_1,0.00956589459392186
Pb_2,0.016503268891638074
Pb_3,0.02413340481540688
Pb_4,0.03312809865219389
Pb_5,0.03905285892482578
Pb_6,0.04406284805956124
