,yfbS
Cr_1,-0.0060072089188893075
Cr_2,-0.005025463816445306
Cr_3,0.0016758140506175092
Cr_4,7.535360833420531e-05
Cr_5,-0.00026204628745040505
Cr_6,0.0016928403488636892
Fe_1,-0.019653546528392758
Fe_2,-0.042025059247373577
Fe_3,-0.042186062768770925
Fe_4,-0.028765736186601002
Fe_5,-0.003745453749694215
Fe_6,0.02232461580554174
Cd_1,0.006584427403790062
Cd_2,0.00964387184295581
Cd_3,0.013743937379453177
Cd_4,0.019019142419351785
Cd_5,0.01973447701113007
Cd_6,0.028819911535457193
Zn_1,-0.021362118147701302
Zn_2,-0.029850857445514137
Zn_3,-0.04208981949298413
Zn_4,-0.02477795904414399
Zn_5,-0.008314609450595766
Zn_6,-0.01363705659445372
Cu_1,0.01319881047455698
Cu_2,0.02753963654737549
Cu_3,0.03752226330781869
Cu_4,0.047132511423305344
Cu_5,0.06329398102021787
Cu_6,0.0782664833191625
Pb_1,-0.0022584786356047077
Pb_2,0.002009907646274357
Pb_3,0.006180340730097782
Pb_4,0.01751462846262272
Pb_5,0.032253279047892214
Pb_6,0.04069942901370889
