,nohB
Cr_1,-0.003625926302176333
Cr_2,-0.005443337050755929
Cr_3,-0.004931108714881214
Cr_4,-0.008082363517072099
Cr_5,-0.01151889219747242
Cr_6,-0.012484550170245964
Fe_1,-0.006242132846216822
Fe_2,-0.01942796454488468
Fe_3,-0.03955404412666698
Fe_4,-0.06851721452076168
Fe_5,-0.0917691908050285
Fe_6,-0.10654852531185792
Cd_1,-0.0007141342020819503
Cd_2,-0.0001262924677875145
Cd_3,0.003388343566472641
Cd_4,0.004351948774762871
Cd_5,-0.0007298571620492579
Cd_6,0.0012978934655502126
Zn_1,-0.007186763500968441
Zn_2,-0.0121148779532856
Zn_3,-0.011689548950655406
Zn_4,-0.008142753114008704
Zn_5,-0.000552879301574259
Zn_6,0.006061847696805711
Cu_1,0.0073005317806677465
Cu_2,0.01694196286835037
Cu_3,0.02986317618082378
Cu_4,0.04149573744192976
Cu_5,0.0552029555264482
Cu_6,0.06592084752203871
Pb_1,0.00588070429673927
Pb_2,0.005886819800373946
Pb_3,0.01255194934954084
Pb_4,0.018078030529511197
Pb_5,0.02390695396618189
Pb_6,0.03541066542318772
