,A,YgbI
R2,,0.1519309172388994
xmin,,-3.0709337134
xmid,,0.6702152992700384
xmax,,3.9044118795
ystart,,0.442707071313976
yend,,15.504961518549013
aat__00m_00s__1,0.4642119588,-0.1969843538
aat__00m_30s__1,-0.6520852999,-0.187526677
aat__01m_00s__1,-0.23598878650000002,0.0031282628
aat__02m_00s__1,-0.049013408,-0.4294224837
aat__05m_00s__1,-0.3399817855,-0.4007302911
aat__10m_00s__1,-0.39609086800000004,-0.36766313100000003
aat__00m_00s__2,-0.4123167786,0.2416690313
aat__00m_30s__2,-0.9129110178000001,-0.13571818160000002
aat__01m_00s__2,-0.6525492729,-0.0653032494
aat__02m_00s__2,-0.3823413232,-0.22462488160000002
aat__05m_00s__2,-0.7841406267000001,-0.1464958104
aat__10m_00s__2,-0.034671105300000005,-0.2406574918
aat__00m_00s__3,-0.0518951801,-0.0446846775
aat__00m_30s__3,0.0272708498,0.2549936373
aat__01m_00s__3,-0.8360623073000001,-0.1201289246
aat__02m_00s__3,-0.4092241238,-0.1907391115
aat__05m_00s__3,-0.15037317860000002,-0.25738401180000003
aat__10m_00s__3,0.40418938860000003,0.1793543267
abx_mega__dmso-2__1,2.0777150963,-0.4782384343
abx_mega__ery_dmso__1,2.838206564,-0.9238088773
abx_mega__nal_naoh__1,-0.0099058144,-2.4351467335
abx_mega__dmso-5__1,0.4028538172,-0.8581767423000001
abx_mega__rif_dmso__1,3.1461144282,0.34973125120000004
abx_mega__novo_h2o__1,2.6457763995,-0.9045829156
abx_mega__rach_dmso__1,-0.7428339580000001,0.1962842434
abx_mega__metro_dmso__1,2.1452001812,-0.2048846681
abx_mega__dmso-6__1,0.7047624335,-0.8915605564
abx_mega__chl_h2o__1,1.8836778305,-0.9258345949000001
abx_mega__cst_h2o__1,-0.2323996234,0.22230070540000002
abx_mega__tec_h2o__1,0.6895809392000001,-1.1255326673
abx_mega__str_h2o__1,-0.38038086870000004,-1.3840339285
abx_mega__ctx_h2o__1,0.0389625233,0.0195117235
abx_mega__nal_naoh__2,-0.0962365141,-0.6736060095
abx_mega__phos_h2o__1,-0.5672508172,-0.1825606179
abx_mega__dmso-5__2,0.4484445479,-0.48718021990000004
abx_mega__polmyx_h2o__1,-0.4310582274,0.5921551056000001
abx_mega__h2o-8b__1,-0.6526354360000001,-0.003279428
abx_mega__h2o-6__1,0.2889891209,-0.48241309470000004
abx_mega__thio_dmso__1,1.8271917881,-0.8154977538
abx_mega__phos_h2o__2,-0.4171783531,0.19376545950000001
abx_mega__ctx_h2o__2,-0.1307379859,-0.47749525060000003
abx_mega__lzd_dmso__1,0.8327002819,-1.0522244899
abx_mega__naoh-9__1,-0.2566805353,0.7418297543
abx_mega__dox_dmso__1,2.1738087307,-0.43450541870000003
abx_mega__phos_ethanol__1,0.4206312683,0.6706622404
abx_mega__teix_dmso__1,0.3575593899,-0.7168842132000001
abx_mega__dmso-10__1,0.9376696234,0.29787622880000003
abx_mega__van_dmso__1,2.788291043,0.6980852822
abx_mega__ramo_h2o__1,0.1548925106,-0.3038491768
abx_mega__tec_h2o__2,-0.3269755708,-0.2462299964
abx_mega__h2o-7__1,-0.4768975903,-0.1976562494
abx_mega__cro_h2o__1,-0.7401433832000001,-0.2941187905
abx_mega__tric_ethanol__1,0.9786401892000001,0.47335845530000004
abx_mega__nor_naoh__1,0.1706343645,-0.5570774768
abx_mega__teix_dmso__2,0.9819664571000001,-0.4679826379
abx_mega__nal_naoh__3,0.0261206727,-0.6617935162
abx_mega__novo_h2o__2,2.980157046,-0.429512624
abx_mega__dmso-10__2,0.6434225185,0.1528266326
abx_mega__phos_h2o__3,-0.0227886851,-0.5564187302
abx_mega__dmso-6__2,2.1044995977,-0.1586056454
abx_mega__rfp_ethanol__1,2.6049323576,0.004999426
