,araJ
Cr_1,-0.006226146863441356
Cr_2,-0.003011134769325945
Cr_3,0.006539130985058281
Cr_4,0.018050521302730643
Cr_5,0.03168013993725971
Cr_6,0.035796336468240195
Fe_1,-0.050565231220217784
Fe_2,-0.10404921580670287
Fe_3,-0.13406965465261506
Fe_4,-0.14317428019060185
Fe_5,-0.1164367729755486
Fe_6,-0.11458060187030013
Cd_1,0.005584807951890498
Cd_2,0.014227466543171785
Cd_3,0.028294365709277257
Cd_4,0.04013921512004616
Cd_5,0.04492733071848015
Cd_6,0.053778958586818255
Zn_1,-0.02480352647313237
Zn_2,-0.05087197892482279
Zn_3,-0.06930334301486442
Zn_4,-0.0826952240150148
Zn_5,-0.09635438483337087
Zn_6,-0.10909692221596226
Cu_1,-0.0016019662583458296
Cu_2,0.003948896765310854
Cu_3,0.012913837578648052
Cu_4,0.024245580099085454
Cu_5,0.039144799697395115
Cu_6,0.05354844779830351
Pb_1,0.0010722572547765602
Pb_2,0.00830537655534781
Pb_3,0.02278075125823173
Pb_4,0.037652525445687215
Pb_5,0.05337382404858836
Pb_6,0.0684134601012813
