,yfhM
Cr_1,0.0017432231841634392
Cr_2,0.00527936722609788
Cr_3,0.009932788278685337
Cr_4,0.01890366179320645
Cr_5,0.02644319335611715
Cr_6,0.030687989373480537
Fe_1,-0.008819406011986563
Fe_2,-0.02683787425430653
Fe_3,-0.04884492064315495
Fe_4,-0.07456349739703923
Fe_5,-0.0939403249857756
Fe_6,-0.10792634179803502
Cd_1,-0.00017655302422904008
Cd_2,0.001049094164867444
Cd_3,0.0033836563472812303
Cd_4,0.00574017161818821
Cd_5,0.0029158694825229467
Cd_6,0.005361071925782469
Zn_1,-0.007831762527324294
Zn_2,-0.01417602166940963
Zn_3,-0.012717975207336451
Zn_4,-0.012782357073294606
Zn_5,-0.019883927264216943
Zn_6,-0.030332976702517476
Cu_1,0.002826308739949613
Cu_2,0.004072617565545253
Cu_3,0.010555913860122028
Cu_4,0.019513188479156538
Cu_5,0.030408059438737232
Cu_6,0.04392641730126209
Pb_1,0.00812216565733933
Pb_2,0.016580268499949462
Pb_3,0.028680771898377318
Pb_4,0.04563437769655836
Pb_5,0.058777845266032615
Pb_6,0.0738180319640591
