,A,CdaR
R2,,0.7795779816620336
xmin,,-1.3145408615
xmid,,1.4863139447362865
xmax,,6.9196173505
ystart,,1.224089200823049
yend,,29.87363776724431
control__wt_glc__1,0.2142659392,0.3045944065
control__wt_glc__2,-0.2142659392,-0.3045944065
fur__wt_dpd__1,2.9171223022,0.5908711375
fur__wt_dpd__2,2.9720343694,0.49569067650000004
fur__wt_fe__1,0.08272555890000001,-0.0579014065
fur__wt_fe__2,0.2643526584,-0.3302893235
fur__delfur_dpd__1,2.1597861203,0.2558336035
fur__delfur_dpd__2,2.3059658682,0.3149122485
fur__delfur_fe2__1,0.8555939827,0.1105783305
fur__delfur_fe2__2,0.4964718044,0.1903706025
acid__wt_ph5__1,1.3598777443,0.6447287225
acid__wt_ph5__2,1.4478756477,0.7418150675
acid__delgadx_ph5__2,1.4600365548,0.5385734095
acid__delgadw_ph5__1,1.8818220897,0.4951174585
acid__delgadw_ph5__2,1.6506221218000001,0.6219152505000001
acid__delgade_ph5__1,1.8709935991000002,0.6563434065
acid__delgade_ph5__2,2.0989612565,0.5913806375
oxidative__wt_pq__1,3.5171761506,0.5829735515000001
oxidative__wt_pq__2,3.1099609222,0.2850900095
oxidative__deloxyr_pq__1,2.615533202,0.23358559250000002
oxidative__deloxyr_pq__2,2.3753938177,0.4746338445
oxidative__delsoxr_pq__1,2.1888097794,0.1714034945
oxidative__delsoxr_pq__2,2.0723879963,0.3026686155
oxidative__delsoxs_pq__1,3.1418653743,0.6398835095000001
oxidative__delsoxs_pq__2,3.3989002778,0.7353312415000001
nac_ntrc__wt_csn__1,1.5670722175,0.4484424415
nac_ntrc__wt_csn__2,1.7528187517,0.3568325425
nac_ntrc__wt_cytd__1,0.6182354175,-0.0703791155
nac_ntrc__wt_cytd__2,0.8079606308,-0.1149944595
nac_ntrc__wt_gln__1,0.8313198282,0.0971965075
nac_ntrc__wt_gln__2,0.8755138448,-0.14771507350000002
nac_ntrc__bw_delnac_csn__1,4.0557114962,1.6313904225
nac_ntrc__bw_delnac_csn__2,3.745058958,1.6424750655
nac_ntrc__bw_delnac_cytd__1,2.0819173497,0.4726776385
nac_ntrc__bw_delnac_cytd__2,2.176849223,0.3444938325
nac_ntrc__bw_delnac_gln__1,2.0205096205,0.6622135935
nac_ntrc__bw_delnac_gln__2,1.885832942,0.3310898825
nac_ntrc__bw_delnac_nh4__1,1.6014282788,0.39624339950000004
nac_ntrc__bw_delnac_nh4__2,1.4867140194,0.2040383745
misc__wt_no_te__1,1.5602132171,0.0647134315
misc__wt_no_te__2,1.8617600922,0.06891359350000001
misc__bw_delcbl__1,1.6948879648,0.4139868275
misc__bw_delcbl__2,1.0750539402000001,0.4105292285
misc__bw_delfabr__1,1.1166482782,0.34999838250000004
misc__bw_delfabr__2,1.2819563921000001,0.8351474945
misc__bw_delfadr__1,1.3393963403,0.4499660755
misc__bw_delfadr__2,0.9263199188000001,0.4557872095
misc__nitr_031__1,2.0064068589,0.48067020250000003
omics__wt_glu__1,0.2980639674,-0.7072289105
omics__wt_glu__2,0.0329166849,-0.008085209500000001
omics__wt_gly__1,0.5126032501000001,-0.3701679665
omics__wt_gly__2,0.23634128610000002,0.2586369655
omics__wt_thr__1,4.1016858117,1.2064237745
omics__wt_thr__2,3.0470797439,0.9221722775000001
omics__bw_ac__1,2.008516062,2.4279436845
omics__bw_ac__2,1.3896449472,2.3277107395
omics__bw_fum__1,2.0524167562,2.1694974325
omics__bw_fum__2,2.1398412244,2.3201058825
omics__bw_glc__1,0.6980145464,0.7314179955
