,-0.183216213835085,-0.16285885674229778,-0.14250149964951056,-0.12214414255672335,-0.10178678546393613,-0.08142942837114892,-0.0610720712783617,-0.040714714185574485,-0.02035735709278727,-5.551115123125783e-17,0.02035735709278716,0.040714714185574374,0.06107207127836159,0.08142942837114878,0.10178678546393602,0.12214414255672326,0.14250149964951045,0.16285885674229764,0.18321621383508488,0.20357357092787212
thresh,-0.05089339273196805,0.05089339273196805,2,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,0,2,14,594,2878,364,51,17,10,6,3,1,1,0,0
Fnr,1,0,0,1,0,0,2,7,36,189,47,15,8,5,3,1,1,0,0,0
unreg_genes,[],[],[],[],[],[],['cydX' 'mntS'],[],[],[],[],[],"['srlR' 'fsaA' 'tqsA' 'ycfP' 'yhbT' 'ygcN' 'aegA' 'ghoT' 'gldA' 'ybiY'
 'yecH' 'mocA' 'uspF' 'mdtM' 'hybO' 'wrbA' 'yidF']",['yehC' 'yhbU' 'ghoS' 'yfbS' 'yhcC' 'yliI' 'yaaJ' 'yjjP' 'ycbJ' 'yqgA'],['cnu' 'yjjI' 'ydjX' 'hypA' 'yfcC' 'blr'],['ysaA' 'abrB' 'iprA'],['yqiD'],['ttdR'],[],[]
Fnr_genes,['grcA'],[],[],['ydfZ'],[],[],['ndh' 'fnr'],['ompW' 'nirD' 'cydA' 'pflB' 'cydB' 'nirC' 'nrdG'],"['ubiC' 'nikE' 'nikC' 'hmp' 'ygbA' 'fixA' 'cyoB' 'napG' 'fdnH' 'hyfA'
 'napA' 'ynfG' 'yeiL' 'nrdD' 'frdD' 'dmsB' 'soxS' 'prfA' 'rplT' 'hyfE'
 'bcsZ' 'ssuC' 'fdnI' 'napB' 'ccmE' 'napH' 'emrY' 'ynfH' 'fixX' 'ynfF'
 'dppC' 'dppA' 'hyfC' 'hemA' 'nikD' 'tdcF']","['gadW' 'frdC' 'fdnG' 'ychO' 'emrK' 'ccmD' 'caiC' 'acnA' 'caiE' 'glnK'
 'dmsC' 'glnD' 'caiA' 'acrF' 'dppB' 'nuoI' 'ompX' 'rpsI' 'nirB' 'prmC'
 'entF' 'gdhA' 'caiD' 'narI' 'hyfB' 'nrfG' 'hyfH' 'rplP' 'rplM' 'caiT'
 'bcsB' 'ybdN' 'hyfD' 'scpA' 'amtB' 'citG' 'hyfF' 'aer' 'sdhA' 'fes'
 'narH' 'ybdZ' 'dppD' 'garP' 'uraA' 'dmsD' 'feoC' 'gcvT' 'sdhB' 'fixC'
 'fixB' 'thrA' 'ccmG' 'aroP' 'caiB' 'nuoK' 'trmD' 'ysgA' 'ydhT' 'citX'
 'acrE' 'ydeJ' 'aceE' 'cysG' 'rplC' 'xdhA' 'cheZ' 'xdhB' 'rplD' 'gadA'
 'puuP' 'rplV' 'nuoL' 'nuoN' 'tdcB' 'glpQ' 'rpsJ' 'ccmC' 'rplW' 'narJ'
 'moeB' 'ssuA' 'upp' 'puuA' 'tdcD' 'nac' 'aldA' 'pdhR' 'gltB' 'rpsC'
 'ssuB' 'tap' 'ydfO' 'cheR' 'moeA' 'dppF' 'glpT' 'lpd' 'nuoH' 'rpsP'
 'nuoM' 'citF' 'gcvH' 'citE' 'hyfI' 'garK' 'xdhC' 'nuoJ' 'rimM' 'tdcE'
 'pykA' 'sodA' 'poxB' 'rpsQ' 'narK' 'moaE' 'mltA' 'argK' 'ccmH' 'rpsS'
 'nuoG' 'iraM' 'garR' 'purM' 'rplS' 'tar' 'dcuS' 'moaD' 'dpiB' 'aceF'
 'sdhD' 'gadX' 'hyfR' 'nuoB' 'aspC' 'nuoE' 'tpx' 'gcvP' 'cadC' 'sucB'
 'tdcC' 'yecR' 'rpmC' 'focA' 'focB' 'nfeR' 'rplB' 'nuoF' 'pstC' 'fumC'
 'nrfE' 'cheB' 'gltD' 'hyfJ' 'tdcG' 'ung' 'ccmF' 'malQ' 'tdcA' 'uxaA'
 'pstB' 'pstA' 'cydC' 'fumA' 'cyoC' 'norW' 'gapC' 'ssuE' 'pitA' 'zwf'
 'ubiA' 'sucC' 'garL' 'cyoE' 'pstS' 'nuoC' 'citC' 'gltF' 'moaB' 'dcuR'
 'scpB' 'ydhU' 'cyoD' 'sdhC' 'moaC' 'ytfE' 'yffS' 'glpB' 'phoU']","['sucA' 'ycaC' 'dcuA' 'cydD' 'glpC' 'narL' 'nrfC' 'nrfD' 'fhlA' 'sucD'
 'norV' 'nikB' 'frdB' 'ssuD' 'purN' 'yibN' 'fepE' 'cyoA' 'scpC' 'katG'
 'soxR' 'cheY' 'nikR' 'nuoA' 'hyfG' 'uxaC' 'malP' 'yfcZ' 'arcA' 'ydhX'
 'ccmB' 'ydhW' 'ccp' 'ortT' 'dpiA' 'adhE' 'narX' 'msrB' 'nrfF' 'garD'
 'hypE' 'gnd' 'viaA' 'pepT' 'napC' 'napD' 'nrfB']","['pdeF' 'hlyE' 'ymjE' 'ccmA' 'hypD' 'fumB' 'napF' 'caiF' 'fdhF' 'iraD'
 'moaA' 'narG' 'nikA' 'ansB' 'ackA']",['dmsA' 'nrfA' 'hypC' 'feoB' 'glpA' 'ydhV' 'dcuB' 'frdA'],['aspA' 'ynfK' 'ynfE' 'hypB' 'ravA'],['dcuC' 'hcp' 'hcr'],['feoA'],['ydhY'],[],[],[]
