,araF
Cr_1,-0.002921518064463121
Cr_2,-0.0010267471020846027
Cr_3,0.0027976096774480178
Cr_4,0.0059777726655218175
Cr_5,0.007275263814076764
Cr_6,0.008103904116784372
Fe_1,-0.007736562057543627
Fe_2,-0.0013322439620012494
Fe_3,0.02449941217515783
Fe_4,0.0468958167250965
Fe_5,0.08261026472143725
Fe_6,0.18682897619135466
Cd_1,0.0011321008334757815
Cd_2,0.006198009245892011
Cd_3,0.01455971436723139
Cd_4,0.021080317411251732
Cd_5,0.02425009667416157
Cd_6,0.03177126181717695
Zn_1,-0.00644308679409144
Zn_2,-0.002926030233293982
Zn_3,0.010563905170314077
Zn_4,0.032190479698726016
Zn_5,0.06554466047791188
Zn_6,0.11044912686896118
Cu_1,0.0036011614764340353
Cu_2,0.011238241054044164
Cu_3,0.019171785136710418
Cu_4,0.01802576357552874
Cu_5,0.017487300721288863
Cu_6,0.019062637014903714
Pb_1,-0.006737439337865163
Pb_2,-0.010525243017369734
Pb_3,-0.011462649258296613
Pb_4,-0.015780676023961937
Pb_5,-0.01844395763540919
Pb_6,-0.016070234563563934
