,A,rcsB
R2,,0.02053476783080921
xmin,,-8.931931499000001
xmid,,0.5074175701601279
xmax,,1.9262978510000002
ystart,,2.2145185747354654
yend,,15.447658983421661
control__wt_glc__1,-0.26282547970000003,-0.008349429
control__wt_glc__2,0.26282547970000003,0.008349429
fur__wt_dpd__1,3.1208625595,0.16426901500000002
fur__wt_dpd__2,3.4438647845,0.258153597
fur__wt_fe__1,-0.1079647849,-0.042768621
fur__wt_fe__2,0.6606167037,0.023468409000000003
fur__delfur_dpd__1,4.8847165918,0.042059161000000005
fur__delfur_dpd__2,5.5129437587,0.147229135
fur__delfur_fe2__1,3.4146514709,0.13577835900000002
fur__delfur_fe2__2,3.6424269905999997,0.09420763700000001
acid__wt_ph5__1,0.2536154538,0.12053480800000001
acid__wt_ph5__2,0.1872538661,0.125488184
acid__delgadx_ph5__2,0.28044753440000003,0.25919108700000004
acid__delgadw_ph5__1,0.42927756710000003,0.15171188600000002
acid__delgadw_ph5__2,0.1096584153,0.06164682900000001
acid__delgade_ph5__1,0.6825881432,0.108337662
acid__delgade_ph5__2,0.2619443499,0.072209356
oxidative__wt_pq__1,1.8463189566,0.23190697000000002
oxidative__wt_pq__2,2.1083414988,0.236120992
oxidative__deloxyr_pq__1,-0.12544684820000002,0.630127003
oxidative__deloxyr_pq__2,0.1638960133,0.646838733
oxidative__delsoxr_pq__1,7.1490489727,0.14160092
oxidative__delsoxr_pq__2,7.6366533226,0.10364316300000001
oxidative__delsoxs_pq__1,1.9548412085,0.33070318400000004
oxidative__delsoxs_pq__2,2.2506369916,0.268074327
nac_ntrc__wt_csn__1,5.5578752730000005,0.100205557
nac_ntrc__wt_csn__2,5.1929395676,0.038323557
nac_ntrc__wt_cytd__1,1.1335402107,0.11874911
nac_ntrc__wt_cytd__2,1.4037815205,0.12854416700000001
nac_ntrc__wt_gln__1,1.6819652102,0.168085757
nac_ntrc__wt_gln__2,1.0687827589,0.08297951
nac_ntrc__bw_delnac_csn__1,3.5541168572,0.162635197
nac_ntrc__bw_delnac_csn__2,1.0772214545,-0.036419338
nac_ntrc__bw_delnac_cytd__1,-0.16244085860000002,0.211951476
nac_ntrc__bw_delnac_cytd__2,0.4093086731,0.13820242800000002
nac_ntrc__bw_delnac_gln__1,-1.3072052788000001,0.40291679900000005
nac_ntrc__bw_delnac_gln__2,-0.0046488188,0.338969683
nac_ntrc__bw_delnac_nh4__1,-0.5337697882,0.14955079000000002
nac_ntrc__bw_delnac_nh4__2,-0.5664519489000001,0.09878370600000001
misc__wt_no_te__1,1.7370988081,0.126950543
misc__wt_no_te__2,1.1602444261,0.078327955
misc__bw_delcbl__1,0.1790671906,0.024149814000000002
misc__bw_delcbl__2,0.2822667974,0.10651987600000001
misc__bw_delfabr__1,0.7565700228000001,-0.076234008
misc__bw_delfabr__2,0.5812974377,-0.067101622
misc__bw_delfadr__1,0.7973238383,0.01578738
misc__bw_delfadr__2,0.21159179720000001,-0.024825562000000002
misc__nitr_031__1,1.7723967277,0.19850430800000002
omics__wt_glu__1,-0.3589509018,0.940534277
omics__wt_glu__2,-0.5644748746,0.946766764
omics__wt_gly__1,0.4672955382,0.476395614
omics__wt_gly__2,0.9629373094,0.524635783
omics__wt_thr__1,7.0504063646,0.6793390370000001
omics__wt_thr__2,5.6961838409,0.8439817220000001
omics__bw_ac__1,-1.5141659722,0.11975411200000001
omics__bw_ac__2,-1.535856554,-0.01304259
omics__bw_fum__1,-1.1182573549,-0.022121233
omics__bw_fum__2,-0.5240271058,-0.05618730500000001
omics__bw_glc__1,-0.4647132013,0.30711650700000004
omics__bw_glc__2,-0.7798825246000001,0.23777131
omics__bw_pyr__1,-0.3057141108,0.307997034
omics__bw_pyr__2,1.6661895102000002,0.275971519
ompr__wt_nacl__1,7.0782230949,-0.07090629100000001
ompr__wt_nacl__2,7.1501317495,-0.057111211
ompr__bw_delompr_nacl__1,17.5355145889,-0.5003220070000001
ompr__bw_delompr_nacl__2,17.6596528378,-0.475191856
minspan__wt_ade__1,5.7085447276,0.636194186
minspan__wt_glc__2,1.5680087206,0.23831896300000002
minspan__wt_glc__3,1.2139265305,0.302596696
minspan__wt_glc__4,0.9308246754,0.24112209999999998
minspan__wt_glc_anaero__1,-0.6446121514,0.354595319
minspan__wt_glc_anaero__2,-1.2307923821,0.24381532600000003
minspan__wt_trp__1,0.15664361000000002,0.130308322
minspan__bw_delcra_glc__2,0.0503412331,-0.06311263
minspan__bw_delcra_trp__1,0.5367915379,0.133435196
minspan__bw_delmntr__1,0.1011325644,-0.088462066
minspan__bw_delnac_ade__1,-0.11907045020000001,0.801007542
minspan__bw_delnac_glc__1,1.5314050006,0.39407921900000004
cra_crp__wt_ac__1,-1.1011482168,0.47578300700000004
cra_crp__wt_ac__2,-0.5770382953000001,0.531641946
cra_crp__wt_fru__1,-0.1284090061,0.5970210960000001
cra_crp__wt_fru__2,-0.7885235086,0.760850719
cra_crp__delcra_ac__1,0.2321219883,-0.288056262
cra_crp__delcra_ac__2,0.0317808974,-0.333104891
cra_crp__delcra_fru__1,2.098566327,0.030276397000000004
cra_crp__delcra_fru__2,2.0469071999,-0.011744985000000001
cra_crp__delcra_glc__1,0.1510333536,-0.005461662
cra_crp__delcra_glc__2,0.4049760035,0.03107586
rpoB__wt_031__1,-0.9677941548000001,0.00850632
rpoB__wt_044__1,0.4846391224,0.121081062
rpoB__wt_lb__1,-1.3181918598,0.143933889
rpoB__wt_lb__2,-0.6360164218000001,0.010913744000000001
rpoB__rpoBE546V_031__1,0.9098144171,0.22785987400000002
rpoB__rpoBE546V_044__1,1.5176905619,0.285143348
rpoB__rpoBE546V_lb__1,-0.9783276736000001,-0.056968457
rpoB__rpoBE546V_lb__2,-0.1195934824,-0.12766796
rpoB__rpoBE546V_glc__1,0.5042143797,-0.035501603
rpoB__rpoBE672K_glc__1,1.899398664,-0.273362307
rpoB__rpoBE672K_glc__2,1.2730855847,-0.338086579
rpoB__rpoBE672K_lb__1,0.9205008152,-0.638854961
rpoB__rpoBE672K_lb__2,1.1889452291,-0.733260739
crp__wt_fru__1,-0.6290414921,-0.097269569
crp__wt_glyc__1,-0.7498271031,-0.14039817100000002
crp__wt_glyc__2,-1.0172438994,-0.22646961100000002
crp__delar1_glyc__1,1.9266953905,0.236997052
crp__delar1_glyc__2,1.9786247806000001,0.22326224400000003
crp__delar1ar2_glyc__1,3.7246823918,0.25556795800000004
crp__delar1ar2_glyc__2,3.9020566968,0.21727863600000002
crp__delar1ar2_glyc__3,3.0149305667,0.228705561
crp__delar2_glyc__1,-1.299847024,-0.235567623
crp__delar2_glyc__2,-0.9144278554,-0.06949463
crp__delar2_glyc__3,-1.6209399704,-0.03537821
crp__delcrp_fru__1,19.7881282292,0.006549569000000001
crp__delcrp_fru__2,19.6464769514,-0.002231182
crp__delcrp_fru__3,19.5974904937,0.072468399
crp__delcrp_glc__1,18.3735565003,-0.041410263
crp__delcrp_glc__2,19.102162996,0.035776085
crp__delcrp_glc__3,19.4631506421,0.026237818000000003
crp__delcrp_glyc__1,16.6955533194,0.11833454900000001
crp__delcrp_glyc__2,17.2589577173,0.119919732
crp__delcrp_glyc__3,17.5494814141,0.19561546
glu__glu_ale3__1,-0.559768901,-0.189767171
glu__glu_ale4__1,-0.5828122765,-0.47285240300000003
glu__glu_ale5__1,1.7651828592,-0.370753123
glu__glu_ale6__1,1.0833826904,-0.568732337
glu__glu_ale8__1,-1.2870504536,-0.0030164
glu__glu_ale9__1,-0.7689574212,-0.128570389
glu__glu_ale10__1,-0.31338968780000004,-0.23952594100000002
42c__wt_42c__1,-0.3800479108,-0.049772468
42c__42c_ale1__1,-1.2914540121,-0.41264938
42c__42c_ale2__1,-1.1810522092,-0.459838075
42c__42c_ale3__1,-0.4592930018,-0.28980298600000004
42c__42c_ale4__1,-0.5308981226,-0.25088004
42c__42c_ale5__1,-0.676950437,-0.16614488200000002
42c__42c_ale6__1,-1.6220935223000001,-0.8017140580000001
42c__42c_ale8__1,-0.7207024051,-0.236550633
42c__42c_ale9__1,-0.7589062341,-0.47574914500000004
42c__42c_ale10__1,-0.9684008774,-0.429093253
ssw__wt_ac__1,-0.9975601466,-0.45022876300000003
ssw__wt_glc__1,-0.40634711960000003,0.239917344
ssw__wt_glyc__1,-0.27404372660000004,-0.15467734400000002
ssw__wt_xyl__1,-1.084496847,0.110010199
ssw__glc_ale1__1,-0.4615389945,-0.164193587
ssw__glc_ale2__1,-0.43680397470000004,0.063675517
ssw__glc_ale3__1,-1.0665240823,-0.063925137
ssw__glyc_ale1__1,-1.2329043566,-0.430986499
ssw__glyc_ale2__1,-1.121392936,-0.050641425000000004
ssw__xyl_ale1__1,5.2307577557,-0.6550095650000001
ssw__xyl_ale2__1,0.0339637307,-0.353180857
ssw__xyl_ale3__1,3.0009027419,-0.33781426400000003
ssw__glc_ac_ac2__1,0.1156592667,-0.34727343800000005
ssw__glc_ac_glc1__1,1.9310635017000002,-0.6073014790000001
ssw__glc_glyc_glc__1,-0.3282835494,-0.35522369400000003
ssw__glc_glyc_glyc__1,1.9079368735000002,-0.543292003
ssw__glc_xyl_glc__1,0.10207819850000001,-0.591930409
ssw__glc_xyl_xyl__1,0.0308170371,-0.48425168100000004
ica__wt_glc__1,2.2980280641,-0.05051075
ica__wt_glc__2,2.3196418618,-0.102474301
ica__wt_glc__3,0.3329273513,-0.12957521
ica__wt_glc__4,0.132413424,0.134788251
ica__arg_sbt__1,3.4087664368,-0.220012688
ica__arg_sbt__2,-0.15684147140000002,-0.025558222000000002
ica__cytd_rib__1,-0.0281024738,-0.140445176
ica__cytd_rib__2,2.3798643275,-0.136855268
ica__gth__1,1.0943035403999999,-0.40240627500000004
ica__gth__2,1.5853224417,-0.592585963
ica__leu_glcr__1,0.018227083,0.44312430700000005
ica__leu_glcr__2,0.2794414381,0.426235654
ica__met_glc__1,1.0051405623,-0.19533429400000002
ica__met_glc__2,1.2309269966,-0.22606954
ica__no3_anaero__1,-0.9691065639,0.107122306
ica__no3_anaero__2,-0.7964280869,0.17953339100000001
ica__phe_acgam__1,0.6150794340000001,0.01257411
ica__phe_acgam__2,1.3754473111,-0.053387359
ica__thm_gal__1,0.15576573200000002,-0.046416037
ica__thm_gal__2,0.9703327504,-0.10526816
ica__tyr_glcn__1,1.1941439733,-0.160785817
ica__tyr_glcn__2,1.1174049048,-0.098564473
ica__ura_pyr__1,-0.4409919329,0.150135936
ica__ura_pyr__2,-0.83137859,0.15860981400000002
ica__wt_glc__5,0.8124503417000001,0.11486067600000001
ica__wt_glc__6,0.2898936113,0.132257085
ica__bw_delpurR_cytd__1,1.0278761128,-0.08583211
ica__bw_delpurR_cytd__2,2.9242457065,0.315922751
ica__ade_glc__1,2.5253384077,0.292914448
