locus,gene_weight,gene_name,gene_product,COG,operon,regulator,PlaR,link
b3575,0.32145514740000003,yiaK,2%2C3-diketo-L-gulonate reductase,Energy production and conversion,yiaKLMNO-lyxK-sgbHUE,"RpoD,PlaR,YiaJ,RpoE,IHF,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12279
b3576,0.3152179208,yiaL,DUF386 domain-containing protein YiaL,Carbohydrate transport and metabolism,yiaKLMNO-lyxK-sgbHUE,"RpoD,PlaR,omrA,omrB,RpoE,IHF,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12280
b3577,0.29258630900000004,yiaM,2%2C3-diketo-L-gulonate:Na(+) symporter - membrane subunit,Carbohydrate transport and metabolism,yiaKLMNO-lyxK-sgbHUE,"RpoD,PlaR,RpoE,IHF,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12281
b3579,0.26695263820000004,yiaO,2%2C3-diketo-L-gulonate:Na(+) symporter - periplasmic binding protein,Carbohydrate transport and metabolism,yiaKLMNO-lyxK-sgbHUE,"RpoD,PlaR,RpoE,IHF,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12283
b3578,0.2630425341,yiaN,2%2C3-diketo-L-gulonate:Na(+) symporter - membrane subunit,Inorganic ion transport and metabolism,yiaKLMNO-lyxK-sgbHUE,"RpoD,PlaR,RpoE,IHF,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12282
b3581,0.2312820824,sgbH,3-keto-L-gulonate-6-phosphate decarboxylase SgbH,Carbohydrate transport and metabolism,yiaKLMNO-lyxK-sgbHUE,"RpoD,PlaR,RpoE,Crp,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12285
b3582,0.22473449450000002,sgbU,putative L-xylulose 5-phosphate 3-epimerase,Carbohydrate transport and metabolism,yiaKLMNO-lyxK-sgbHUE,"RpoD,PlaR,RpoE,Crp,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12286
b3580,0.1900010823,lyxK,L-xylulose kinase,Carbohydrate transport and metabolism,yiaKLMNO-lyxK-sgbHUE,"RpoD,PlaR,RpoE,Crp,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12284
b3583,0.1587326757,sgbE,L-ribulose-5-phosphate 4-epimerase SgbE,Carbohydrate transport and metabolism,yiaKLMNO-lyxK-sgbHUE,"RpoD,PlaR,RpoE,Crp,ppGpp,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12287
b3574,-0.24844520280000001,plaR,DNA-binding transcriptional repressor YiaJ,Transcription,yiaJ,"RpoD,PlaR,YiaJ,IHF,Crp,Crp,IHF,PlaR,RpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12278
