,A,PlaR
R2,,0.37873805970683005
xmin,,0.0
xmid,,
xmax,,8.1683728372
ystart,,16.31857301100284
yend,,-1.5981767148406298
control__wt_glc__1,-0.21474574000000002,7.2389191496
control__wt_glc__2,0.21474574000000002,7.3811433962
fur__wt_dpd__1,0.877425866,7.1175217468
fur__wt_dpd__2,1.0174169516,6.8668912622
fur__wt_fe__1,-0.19173935320000002,7.0195585541
fur__wt_fe__2,-0.3264140753,7.0433780479
fur__delfur_dpd__1,0.08752981700000001,6.936599267
fur__delfur_dpd__2,0.1852854997,6.8723729343
fur__delfur_fe2__1,0.6910266162,7.3127673138
fur__delfur_fe2__2,0.49483315240000003,7.2256837228
acid__wt_ph5__1,-0.0310059344,7.171323767
acid__wt_ph5__2,-0.1753295377,7.2275074714
acid__delgadx_ph5__1,-0.6614078388,7.1996841846
acid__delgadx_ph5__2,-0.9818426365,7.1721110266
acid__delgadw_ph5__1,-0.6679298154000001,7.1584013643
acid__delgadw_ph5__2,-0.0115405735,7.1891933158
acid__delgade_ph5__1,-0.2070684338,7.0618248521
acid__delgade_ph5__2,-0.2083620166,7.2905251242
oxidative__wt_pq__1,0.7014523681,6.8864942867
oxidative__wt_pq__2,0.6673089714,6.9749839595
oxidative__deloxyr_pq__1,-0.28660198330000003,7.4556461804
oxidative__deloxyr_pq__2,0.0183856215,7.5271189385
oxidative__delsoxr_pq__1,-0.3715356463,7.1094057044
oxidative__delsoxr_pq__2,0.6624043168,7.133816009
oxidative__delsoxs_pq__1,-0.8100413014000001,7.1610265058
oxidative__delsoxs_pq__2,-0.0404238686,7.0194128252
nac_ntrc__wt_csn__1,0.9927388531,7.6070944935
nac_ntrc__wt_csn__2,-0.5980427785,7.4005135007
nac_ntrc__wt_cytd__1,0.38558102380000003,7.0956934748
nac_ntrc__wt_cytd__2,0.5737322609000001,7.033363451
nac_ntrc__wt_gln__1,-0.5707015098,7.3077800657
nac_ntrc__wt_gln__2,0.1309529633,7.4179953406
nac_ntrc__bw_delnac_csn__1,2.8273946569,7.7639857642
nac_ntrc__bw_delnac_csn__2,0.725169799,7.6532521942
nac_ntrc__bw_delnac_cytd__1,0.3877345314,7.2284587249
nac_ntrc__bw_delnac_cytd__2,0.5531619203,7.201354258
nac_ntrc__bw_delnac_gln__1,0.3379946968,7.2825151499
nac_ntrc__bw_delnac_gln__2,-0.21004653980000002,7.2188816478
nac_ntrc__bw_delnac_nh4__1,-0.1568120305,7.2419597135
nac_ntrc__bw_delnac_nh4__2,-1.029348303,7.108502446
misc__wt_no_te__1,0.6659328545000001,7.1577776891
misc__wt_no_te__2,-0.0962881971,7.261944571
misc__bw_delcbl__1,0.3340598201,7.2292912346
misc__bw_delcbl__2,-0.0421940576,7.3743450547
misc__bw_delfabr__1,0.10983798830000001,7.2536895366
misc__bw_delfabr__2,0.3061870655,7.3330710556
misc__bw_delfadr__1,0.4979687956,7.5358023497
misc__bw_delfadr__2,0.2887830605,7.5141335237
misc__nitr_031__1,0.1636173146,7.4813224145
omics__wt_glu__1,0.2894735671,7.2583335274
omics__wt_glu__2,-0.4924883974,7.3232031313
omics__wt_gly__1,0.45633798700000006,6.7935824925
omics__wt_gly__2,0.8746054821,6.8519026711
omics__wt_thr__1,5.7775512439,7.139265352
omics__wt_thr__2,4.4112659386,6.979780295
omics__bw_ac__1,3.6042040641,6.9845206576
omics__bw_ac__2,3.9183332437000002,6.8245013558
omics__bw_fum__1,1.6369770063,6.9753864887
omics__bw_fum__2,1.6613232027,7.0500021091
omics__bw_glc__1,0.8002210956,7.3618275183
omics__bw_glc__2,0.2593614287,7.273874603
omics__bw_pyr__1,2.1662002962,7.3710013102
omics__bw_pyr__2,1.8587367662,7.4624287377
ompr__wt_nacl__1,1.4213277364999999,5.8548395242
ompr__wt_nacl__2,1.3346060025,5.4422817995
ompr__bw_delompr_nacl__1,1.7453404896,5.7259741392
ompr__bw_delompr_nacl__2,1.3744111288,5.6051627143000005
minspan__wt_ade__1,-1.3928483834,6.4866067942
minspan__wt_glc__1,-0.2626261119,6.0928219007
minspan__wt_glc__2,0.1084851331,6.5102826609
minspan__wt_glc__3,-0.41909073880000003,6.3454626125
minspan__wt_glc__4,-0.5096324126,5.9018728148
minspan__wt_glc_anaero__1,-0.6058649923,6.6577512355
minspan__wt_glc_anaero__2,-0.48626195590000004,6.7018975047
minspan__wt_trp__1,0.2325996035,6.2090512791
minspan__bw_delcra_glc__1,0.6081028652,6.0839855931
minspan__bw_delcra_glc__2,-0.3307485344,6.0126281444
minspan__bw_delcra_trp__1,2.0631662992,6.0495942091
minspan__bw_delmntr__1,1.1227965955,6.2621135732
minspan__bw_delnac_ade__1,-0.315369499,6.1688600898
minspan__bw_delnac_glc__1,0.9270971838000001,6.4884257941
cra_crp__wt_ac__1,4.1650274907,6.4385097842
cra_crp__wt_ac__2,3.4902485565,6.3449757827
cra_crp__wt_fru__1,2.177966387,7.008984818
cra_crp__wt_fru__2,2.2096602505,7.1060536899
cra_crp__delcra_ac__1,3.5792247876000003,7.2891683618
cra_crp__delcra_ac__2,2.6530356462,7.0767500332
cra_crp__delcra_fru__1,-0.3925261424,7.3584053224
cra_crp__delcra_fru__2,0.2713483557,7.2996760517
cra_crp__delcra_glc__1,-0.10337124310000001,7.2089384787
cra_crp__delcra_glc__2,0.31238495720000004,7.1539525337
rpoB__wt_031__1,1.8575152761,6.2549444168
rpoB__wt_044__1,0.0145963931,6.8978385184
rpoB__wt_lb__1,3.0761549988,6.0389993416
rpoB__wt_lb__2,2.9789345220000003,5.9860461557
rpoB__rpoBE546V_031__1,1.2161046595,6.4948986372
rpoB__rpoBE546V_044__1,1.6048297698,6.4704891272000005
rpoB__rpoBE546V_lb__1,2.8942396364,6.0387873687999996
rpoB__rpoBE546V_lb__2,3.3046519271,6.1234965827
rpoB__rpoBE546V_glc__1,-1.200014368,6.792137693
rpoB__rpoBE672K_glc__1,-0.5333775888,6.5690255119
rpoB__rpoBE672K_glc__2,-1.37188465,6.5628630573999995
rpoB__rpoBE672K_lb__1,0.6295115344000001,6.1934225143
rpoB__rpoBE672K_lb__2,1.0994575838,6.2262504527
crp__wt_fru__1,1.4450074523,6.6398550902
crp__wt_glyc__1,2.0099833622,6.444609915
crp__wt_glyc__2,1.7989807546,6.4643251399
crp__delar1_glyc__1,2.6289913072,6.4305942926
crp__delar1_glyc__2,1.6372120854,6.541810035
crp__delar1ar2_glyc__1,1.0691820224,6.5477527601
crp__delar1ar2_glyc__2,0.3909457409,6.483837617
crp__delar1ar2_glyc__3,1.38102134,6.5771120269
crp__delar2_glyc__1,9.4567257121,5.7308797917
crp__delar2_glyc__2,10.2776348824,5.9870880125
crp__delar2_glyc__3,10.2302716711,6.232393191
crp__delcrp_fru__1,-0.7493890431,7.5598212715
crp__delcrp_fru__2,-0.0917540109,7.3570458539
crp__delcrp_fru__3,-0.41534389790000004,7.4823282504
crp__delcrp_glc__1,-0.7785045734,7.622514711
crp__delcrp_glc__2,-0.9370445646000001,7.5540957155
crp__delcrp_glc__3,-0.6816764612,7.5890616904
crp__delcrp_glyc__1,-0.8462914013,7.5665321458
crp__delcrp_glyc__2,-0.6916347209,7.6354711388
crp__delcrp_glyc__3,0.0909099059,7.4233238243
glu__glu_ale3__1,1.082218423,6.0057383083
glu__glu_ale4__1,0.5383450943,6.5178566295
glu__glu_ale5__1,0.6406940708000001,6.5622504625
glu__glu_ale6__1,0.0252570092,6.4378168153
glu__glu_ale8__1,0.6809145688,6.5228985140999995
glu__glu_ale9__1,0.42967187560000003,6.2691831289
glu__glu_ale10__1,-0.345485138,6.1583294477
42c__wt_42c__1,-0.0753196122,7.2822377968
42c__42c_ale1__1,-0.1869401333,6.6823883999
42c__42c_ale2__1,1.240332738,6.9702934899
42c__42c_ale3__1,1.0599195349,7.5099517474
42c__42c_ale4__1,1.0066648545,7.3661687674
42c__42c_ale5__1,1.4751469437,6.9685758014
42c__42c_ale6__1,-0.8337815353,7.007630776
42c__42c_ale8__1,0.47172921900000003,7.3542150731
42c__42c_ale9__1,0.9540145293000001,7.4566460618
42c__42c_ale10__1,0.2712039958,6.8993968009
ssw__wt_ac__1,1.8468646367,6.5079237353
ssw__wt_glc__1,-1.7563123862999999,6.5804407252
ssw__wt_glyc__1,1.650528347,5.9295268398
ssw__wt_xyl__1,-0.7015878028,5.371074076
ssw__glc_ale1__1,-1.6010470239,6.1177217116
ssw__glc_ale2__1,-0.014589396400000001,6.0216835674
ssw__glc_ale3__1,-1.6550356810000002,6.3167975273
ssw__glyc_ale1__1,1.0810480627,6.9014755374
ssw__glyc_ale2__1,0.5446411604,6.1492821114
ssw__xyl_ale1__1,2.3672192278,6.6749346623
ssw__xyl_ale2__1,2.3560090798,6.3417001199
ssw__xyl_ale3__1,1.9183018468,7.389133209
ssw__glc_ac_ac2__1,2.776120105,6.4852851864
ssw__glc_ac_glc1__1,-0.6171670433,6.8766677696
ssw__glc_ac_glc2__1,-1.0633667328,5.8851002525
ssw__glc_glyc_glc__1,1.5390492153,5.7311966889
ssw__glc_glyc_glyc__1,1.3096097709,6.1440885248
ssw__glc_xyl_glc__1,0.2394015625,6.4424280423999996
ssw__glc_xyl_xyl__1,0.59539313,6.2678969597
pgi__glu4_delpgi__1,0.489229291,6.5063326179
pgi__pgi_ale1__1,-0.16199571440000002,7.1172572942
pgi__pgi_ale2__1,1.6804247352,6.9951149598
