,A,NtrC,RpoN
ecoli_00100,-2.5791737529,-0.2110427685,-0.5141145255
ecoli_00101,0.9828995531,-0.0589953355,-0.2027603775
ecoli_00102,1.2340897768,-0.0306049135,-0.22850633750000002
ecoli_00103,0.0730960657,-1.6649322175,-0.6724268015
ecoli_00104,-0.6252434628,-1.4809584065,-0.5883223085
ecoli_00105,-0.7628871546,-0.3250443155,-0.2614936275
ecoli_00106,0.6222198928,-0.6119121665,-0.4111413085
ecoli_00107,0.3979870962,-0.5592038885,-0.31615505250000003
ecoli_00108,-2.9228666088,-0.5303713995,0.6530569715
ecoli_00109,-5.0924536251,-0.43894030650000004,0.6094381865
ecoli_00110,-0.8227990831,-0.7439360155,0.41063416150000004
ecoli_00111,-0.5483051459,-0.7689202095000001,0.39263840650000004
ecoli_00112,-0.4382868277,-0.8432862455,0.3384137365
ecoli_00113,-2.1761828466,-0.4887759915,0.23901305750000001
ecoli_00114,-1.6300876541,-0.7579041665,0.3881425055
ecoli_00115,-2.0213620775,-0.6376105735,0.5417163865
ecoli_00116,-2.0567352102,-0.2609810955,0.48734105450000004
ecoli_00117,-1.3537749599,-0.2192330835,0.6076043145000001
ecoli_00118,-1.0855741657,-0.2518783275,0.4631423375
ecoli_00119,-2.9407325599,-0.8290001095,0.6373608285
ecoli_00120,-2.3544778422,-0.9082314925,0.6669930295000001
ecoli_00121,-3.2280323363,-0.9650134365,0.5979555295
ecoli_00122,-1.4032969868,-0.8602257135,0.4546922765
ecoli_00123,-1.7287214716000001,-0.9548261575,0.47694144850000003
ecoli_00124,-1.7219591238,-1.0496985455,0.4892179915
ecoli_00125,-6.2588233914,-1.5916900025,-0.1601779305
ecoli_00126,-0.47848807200000004,-0.5818395405,-0.2800279565
ecoli_00127,-0.4651068237,-0.4332083675,-0.6870798615
ecoli_00128,0.1886564722,2.7528500000000002e-05,-0.5723060855000001
ecoli_00129,-5.5310803822,-1.6435674565,0.1635734905
ecoli_00130,-2.6261829402,-0.8641334475,0.0031536635000000003
ecoli_00131,-3.6254593453,-1.1934246325,-0.2871971685
ecoli_00132,-0.4503454774,-0.4924464915,0.0244120205
ecoli_00133,-2.7415964481,-1.0464060355,0.3491200385
ecoli_00134,-1.253578883,-1.0837548765,-0.3153191495
ecoli_00135,-1.1771571551,-0.5191260215,0.09912298550000001
ecoli_00136,-4.8289612975,-0.5096285155,-0.1073433455
ecoli_00137,-2.8542240022,-0.8832038325,-0.2023175995
ecoli_00138,-3.2145848573,-0.5320815265000001,0.8135905605
ecoli_00139,-5.9704705221,-0.6995238575,0.32016739250000004
ecoli_00140,-0.6218368634,-0.15691161750000002,-0.0553719955
ecoli_00141,-8.1074812343,-0.7327512955000001,0.21542995750000002
ecoli_00142,-3.7640028586,-1.8295548605,-0.2178078165
ecoli_00143,-1.2488797801,-0.8193041815000001,-0.2212727485
ecoli_00144,-1.4763297769000001,-0.062033437500000004,-0.2125297985
ecoli_00145,-4.5958596348,-0.3873148295,0.4108722805
ecoli_00146,-2.7413293554,-1.5941472935,-0.7788251875000001
ecoli_00147,-4.2643300051,-1.3149935145,-0.0637925315
ecoli_00148,-0.5713304044,-0.3067341395,0.2370279345
ecoli_00149,-2.6230113252000002,-0.7266657625,-0.3120889155
ecoli_00150,-0.6329982115,-0.3533501385,0.2020547685
ecoli_00151,-5.4482204539,-1.5525453985,-0.1082888095
ecoli_00152,-4.2665099628,-0.8624242375000001,-0.1497820355
ecoli_00153,-3.915766635,-0.10362368050000001,-0.3262490615
ecoli_00154,0.3667153152,-0.4949791975,-0.0901773505
ecoli_00155,-3.8999814555,-0.3927684555,-0.28990390050000003
ecoli_00157,-2.5042228794,-1.0540999095,-0.2741644015
ecoli_00158,-2.1702974741,-1.3081330935,-0.45250245850000004
ecoli_00159,-0.7177798452,-1.1727561105,-1.0410889935
ecoli_00160,-1.632448025,-1.2587677035,-0.8552477355
ecoli_00169,-0.16820118350000002,-1.0288914735,-0.5082379055
ecoli_00170,-0.2379249983,-0.9416034705,-0.4994340875
ecoli_00171,-1.8694261522,-1.2980526275,-0.1040741495
ecoli_00172,-2.4320531327,-1.6928023475,-0.2792215905
ecoli_00173,0.1388127516,-1.5349266995000002,-0.2671002145
ecoli_00174,0.1221793194,-1.9500805105,-0.3823479205
ecoli_00175,1.2243753875,-1.1782060125,0.1386887865
ecoli_00176,0.988150151,-1.2108747475000001,0.12476168450000001
ecoli_00177,-2.1584167319,-1.0765006485,0.3953586515
ecoli_00178,-2.3632337939,-1.2077988325,0.5102487215
ecoli_00179,-0.4984626506,-2.3217179255,-0.2586659055
ecoli_00180,-0.7014430037,-2.3204743805,-0.3374765535
ecoli_00181,-1.2134997499,-1.5529284895000002,-0.8079442385000001
ecoli_00182,-1.5220760988,-1.5606984645000002,-0.8131288585
ecoli_00183,-2.0504313362,-0.5814741805,0.023476880500000002
ecoli_00184,-2.9535363928000002,-0.7310563255,0.012221922500000001
ecoli_00185,-2.1404235997,-1.8022377105,-0.5329956575
ecoli_00186,-2.1562560215,-1.7421548855,-0.5109843565000001
ecoli_00187,-1.4576661331,-1.4826370455,-0.1857659965
ecoli_00188,-1.028598464,-1.3763329745,-0.0851485565
ecoli_00189,-1.4789814435,-1.6094516235,-0.3903549005
ecoli_00190,-1.2356617357,-1.7399843025,-0.3410315705
ecoli_00191,-1.3974832395,-1.9512778935,-0.3768134025
ecoli_00192,-1.2017214957,-2.1287103875,-0.4399327825
ecoli_00193,-1.8985929810000002,-1.5173093635,-0.5177360115
ecoli_00194,-1.6343293629,-1.6751314965000002,-0.49115702850000004
ecoli_00195,-2.0977875916,-1.6508305564999999,-0.7443637615
ecoli_00196,-5.2163501178,-2.0273868685,-0.7433956735
ecoli_00197,-5.073930616,-1.8791966845,-0.7138325825
ecoli_00198,-1.3945064765000001,-1.3519457975,-0.8051262665000001
ecoli_00199,-1.2223676509,-0.9965007585000001,-0.2177005135
ecoli_00200,-0.6057738189,-1.2421250715,-0.1777278635
ecoli_00201,1.8330878695,0.2832668215,0.1175472515
ecoli_00202,0.9350838356000001,-0.4532090945,0.1546335705
ecoli_00203,4.0654753688,1.5657899485,0.0250697845
ecoli_00204,0.5961527,-0.6680544355,-0.1486100975
ecoli_00205,-0.7054803276,-1.3799284305000001,0.08753290150000001
ecoli_00206,-1.2477294765,-1.6361449035,0.23139318550000001
ecoli_00207,-1.709908011,-0.1960486485,0.21411362450000002
ecoli_00208,-2.4462934489,-0.9790222265,0.2065327435
ecoli_00209,-1.830036425,-0.3348788945,-0.1566763185
ecoli_00210,-1.9604872381,-0.49514226650000004,-0.1216764105
ecoli_00211,-0.3008900258,-1.2456083295,-0.2880566235
ecoli_00212,0.1022972362,-1.3366248105,-0.3517970845
ecoli_00213,1.41968031,-0.0447021025,0.08682374550000001
ecoli_00214,-1.1571560916,-1.3242929175,0.11715476650000001
ecoli_00215,-2.0558043554,-0.6822533575,-0.36648127750000004
ecoli_00216,-1.7446226341000002,-0.7889451225,-0.4210866755
ecoli_00217,-1.3912080889,-1.0512743295,-0.08041245350000001
ecoli_00218,-3.697150834,-1.4347729345,0.1485691505
ecoli_00219,-1.6530500677000002,-0.14451927950000001,-0.2860461955
ecoli_00220,-1.5288553003,-0.20162230150000002,-0.2915660545
ecoli_00221,-1.4043424074,-1.4702849345,-0.19775634250000002
ecoli_00222,-0.791825859,-1.5013579485,-0.4303054455
ecoli_00223,-3.0018125889,-1.6439704635,0.0436795175
ecoli_00224,-2.1670086178,-1.6699376865,0.0510243685
ecoli_00225,0.9567413640000001,-0.0961685255,0.0094733505
ecoli_00226,-2.5140437845,-1.1799778765,0.024496082500000002
ecoli_00227,-2.5051390815,-0.9777779675,-0.5196136545
ecoli_00228,-2.2095268621,-0.9353370225000001,-0.6788874785
ecoli_00229,-1.9035674763000001,-1.2486509545,-0.3205594465
ecoli_00230,-1.5805820761,-1.3038047335,-0.42812930250000003
ecoli_00231,-2.2054005994,-1.7175144015,-0.4658414105
ecoli_00232,-2.1675255988,-1.7120581785,-0.4076242355
ecoli_00233,-3.1100105087,-1.5617680455,-0.3878105415
ecoli_00234,-2.6709959227,-1.4817199635,-0.3348743525
ecoli_00235,-4.9296016382,-2.1540446635,-0.1907283005
ecoli_00236,-4.6569884946,-1.8761335375,0.10126346950000001
ecoli_00237,-1.5671279880000002,-2.0867915705,-0.8559759545000001
ecoli_00238,-1.4194881943,-2.1203831385,-0.7988730515
ecoli_00239,0.0994785311,-1.9185099985,-0.8056928055
ecoli_00240,0.0619365568,-1.8123063115,-0.8484199965
ecoli_00241,-1.4772036028,-1.4586756445,-0.3722573105
ecoli_00242,-0.42018513700000004,-1.5631995905,-0.5214724065
ecoli_00243,-1.0762843257,-1.4896369415000001,-0.4881702405
ecoli_00244,-0.0932208345,-1.6170608035,-1.0848582725
ecoli_00245,0.31127130470000003,-1.4091588365,-1.0038269125
ecoli_00246,-3.5303708964,-1.2963189565,0.6129173255
ecoli_00247,-3.1454600863,-1.3281695625,0.6364002815
ecoli_00248,-2.0633817819,-1.3421571215,0.013956801500000001
ecoli_00249,-2.7355914720000003,-1.1608750075,-0.3592717405
ecoli_00250,-1.9751782982,-1.3292056155,-0.2363246525
ecoli_00251,-1.2560765757,-1.1784117785000001,-0.6221584905
ecoli_00252,-1.677892655,-0.8780974225,-0.6037325335
ecoli_00253,-4.8916498443,-0.2122107695,-0.3419427795
ecoli_00254,-5.6852061216,-0.6337032435000001,-0.20152948750000002
ecoli_00255,-3.620132911,-1.7645798195,-0.3747926055
ecoli_00256,-3.9682359058000003,-1.8468945845,-0.35274892150000003
ecoli_00257,-2.7473191157,-2.0319757345,-0.45010071150000003
ecoli_00258,-2.7206632038,-1.8663941805,-0.3057581085
ecoli_00259,-2.7928685357000003,-1.8169926835,-0.4779141955
ecoli_00260,-4.3714350831,-1.7375450835000001,-0.48248354050000003
ecoli_00261,-3.3959137518,-1.6797790345,-0.5465418105000001
ecoli_00262,-4.2020804415,-1.2398568005000001,-0.6007871505
ecoli_00263,-0.6534069936,-0.6294158785,-0.3912163105
ecoli_00264,-0.6569690326000001,-0.8256030965000001,-0.5284220465
ecoli_00265,-2.9962305915,-2.2215960525,0.08356590650000001
ecoli_00266,-3.1884436696,-2.1685421475,0.053814073500000004
ecoli_00267,-4.2566312872,-0.8200750975000001,-0.3340089295
ecoli_00268,-4.7962811359,-1.1044635435,-0.2956222475
ecoli_00269,-6.1775864729,-1.3480076285,-0.0378373955
ecoli_00270,-6.7450099671,-1.3400240475,-0.0412327315
ecoli_00271,-1.8525725222,-0.9323353685,-0.7487878285
ecoli_00272,-1.8033342864000002,-1.1796826025,-0.7009630315000001
ecoli_00273,-1.292820707,-1.6270618895,-0.18203062050000002
ecoli_00274,-1.8740729764,-1.7971527675,-0.2151145645
ecoli_00275,-1.637258887,-1.5181078695,-0.0737356045
ecoli_00276,-1.8158717662,-1.3436456505,-0.0430306665
ecoli_00277,-4.1039852855,-2.3352106275,-0.0768021715
ecoli_00278,-4.443207727,-2.3688356055,-0.2355697055
ecoli_00279,-6.1797036982,-1.0431659165,0.1359028115
ecoli_00280,-7.2002430029,-0.5560525515,0.44392921550000003
ecoli_00281,0.5384538269,-0.7197470815,-0.6235655355
ecoli_00282,-0.9918078681,-1.2010477695,-0.4320346105
ecoli_00283,-3.1638195108,-1.7723303515,-0.2007496575
ecoli_00284,-3.5838543847,-1.9101751495000001,-0.1041754705
ecoli_00285,-1.092559697,-1.3777559135000002,-0.6218984005
ecoli_00286,-1.3884773699,-1.3653660065,-0.5839646795
ecoli_00287,-1.3507290065,-1.5279821755,-0.45300003250000004
ecoli_00288,-0.8504668823,-1.5795546135,-0.5385766335000001
ecoli_00289,-3.7889972452,-1.9886009815,-0.3668799975
ecoli_00290,-3.7630997864999998,-2.1909195095,-0.3155679335
ecoli_00291,-2.4861174845000003,-1.6665392185,-0.1009341795
ecoli_00292,-1.8686350296,-1.6980426675,-0.2546691535
ecoli_00293,-2.5383319602,-1.8765688165,-0.40340550750000004
ecoli_00294,-2.192959439,-1.6700450695,-0.3678198875
ecoli_00295,-3.45481433,-2.4753954315,-0.8875475355
ecoli_00296,-3.5038958808,-2.5830672255,-0.7537812915000001
ecoli_00297,-2.3142566929,-1.8224400115,-0.32932624050000003
ecoli_00298,-2.476055913,-1.8526699205,-0.1580608585
ecoli_00299,-1.4720751072,-1.3319922395,-0.6353274335
ecoli_00300,-0.9356157635000001,-1.2692121185,-0.7252746255
ecoli_00301,-2.0744302665,-1.6710258525000001,-0.5979053565
ecoli_00302,-3.5868757851,-1.8579096394999999,-0.36403217250000003
ecoli_00303,-0.9982687228,-0.7548873605,-0.1925102585
ecoli_00304,-1.1853651888,-0.7667089215,-0.4212613405
ecoli_00305,-4.7030008155,-1.1963083165,0.0905275655
ecoli_00306,-3.9531300748,-0.9735447385,-0.028343522500000003
ecoli_00307,-4.1208411522,-1.2348248715,-0.0886333495
ecoli_00308,-4.3179179567,-1.2108073135,0.0306147075
ecoli_00309,-5.0699827322,-1.4416075545,-0.0059721975
ecoli_00310,-5.198742967,-1.5038081895,0.0742940055
ecoli_00311,-3.9804840463,-1.8103971955,-0.1555023795
ecoli_00312,-4.4232562035,-1.5506008525000001,0.0782791145
ecoli_00313,-2.0786393164,-1.0945297635,-0.2155050915
ecoli_00314,-2.4781927553,-1.2269381265,-0.2042967585
ecoli_00315,1.0460663503,-0.6184342495,-0.1498709755
ecoli_00316,2.111930969,-0.49830188350000004,-0.1392940585
ecoli_00317,-2.6582156184,-1.4931491365,0.0115364335
ecoli_00318,-2.8191710168,-1.4805177715,0.0398572935
ecoli_00319,-0.700479955,-0.9321465255,-0.5764822375
ecoli_00320,-0.7685042861,-0.9785062495,-0.4922614065
ecoli_00321,-4.8082357645,-1.7210769775,-0.32117187350000004
ecoli_00322,-5.3987646036,-1.7596366885,-0.2823155285
ecoli_00323,-1.2860694537000001,-1.2252658815,-0.6475323565000001
ecoli_00324,-1.0870564701,-1.1856625335,-0.5660511595000001
ecoli_00325,-1.3466457361,-1.2294362755,-0.6317375725000001
ecoli_00326,-1.2669820781,-1.5030015445,-0.2562616105
ecoli_00327,-4.6540543524,-1.9968296105,-0.2800959135
ecoli_00328,-4.5377018769,-2.2732417775,-0.20979638350000002
ecoli_00329,-5.1892004068,-1.8858113585,-0.1113272695
ecoli_00330,-4.7486767195,-1.9866160415,-0.1168814145
ecoli_00331,-5.8646511841999995,-2.0557147545,-0.3211070615
ecoli_00332,-5.0241815191,-1.9054234735,-0.4334807255
ecoli_00333,-5.9640144442,-2.3098707995,-0.32854685850000004
ecoli_00334,-3.8559253527,-1.6837129625,-0.4067040685
ecoli_00335,-0.8704042136,-1.2870051734999999,-0.7690475815000001
ecoli_00336,-1.1325874643,-1.4327811595,-0.7896709075
ecoli_00337,-4.5375673035,-1.8822808925,-0.5079082875
ecoli_00338,-4.6825075378,-2.1079568555,-0.5136062095
ecoli_00339,-0.6912783054,-1.1534574585,-1.0488298425
ecoli_00340,-0.7617284624,-1.3038087535,-0.7677674225000001
ecoli_00341,-0.6941380007,-1.0291049325,-1.0040422965
ecoli_00342,-0.7382347628,-1.1209731685,-0.9743311685
ecoli_00343,-1.4328666006000002,-0.6752323345,-0.7348181785
ecoli_00344,-2.0583866268,-0.8402004915,-0.7374540895
ecoli_00345,-4.0554910083,-1.5017417385,-0.5476945355
ecoli_00346,-4.7797067139,-1.5892592315,-0.5966921155
ecoli_00347,-1.7899724396,-0.6343253765,-0.5030088485
ecoli_00348,-2.0103774615,-0.6909319035,-0.47050639050000004
ecoli_00349,-1.8772924843,-1.0206124465,-0.6809120685000001
ecoli_00350,-2.4440536717,-1.1342508765,-0.7789388945
ecoli_00351,-2.735344732,-1.8355475275000002,-0.5732511435000001
ecoli_00352,-2.9894968349,-0.9875092935,-0.7276872855000001
ecoli_00353,-2.1795121772,-1.0854278915,-0.5727720955
ecoli_00354,-2.1902441943,-0.8588224135,-0.6420311575000001
ecoli_00355,-3.2781115206,-1.6573236725,-0.2539979485
ecoli_00356,-3.4114743258,-1.6015226215,-0.2463934045
ecoli_00357,-3.7727356317,-2.1133830875,-0.2773780415
ecoli_00358,-3.440604981,-2.1766227345,-0.2895602155
ecoli_00359,-2.9024152043,-1.6337313445000001,-0.15440206550000002
ecoli_00360,-3.4308717219,-1.8065546184999999,-0.1285630515
ecoli_00361,-2.8294624397,-2.1128919365,-0.3563040015
ecoli_00362,-3.6319996342,-1.8632336175000002,-0.2940268075
ecoli_00363,-3.0229351733,-2.0784604725,-0.19254825350000002
ecoli_00364,-2.3162353693,-1.9623952935000002,-0.0069729905
ecoli_00365,-9.1990150551,-3.1875251265,-1.4277807655
ecoli_00366,-8.7283977996,-2.3940139555,-0.7138445255
ecoli_00367,-9.9620280668,-4.5018166825,-1.6206768645
ecoli_00368,-9.8263310186,-4.5033990935,-1.5540019985
ecoli_00369,-2.3014870765,-2.4472008125,-0.6042016265
ecoli_00370,-2.9371633342,-1.9273454165000001,-0.32353194750000003
ecoli_00371,-9.7902433571,-2.9136616355,-1.1787768155
ecoli_00372,-9.2381764829,-3.0105438395,-1.2187590125
ecoli_00373,-9.2825311198,-5.0016790975,-1.8631709255
ecoli_00374,-9.9183581345,-4.4959568965,-1.6599600125
ecoli_00375,-3.6021514238,-1.9533122205,0.2735606665
ecoli_00376,-2.6883808612999998,-1.8286357705,0.2572504015
ecoli_00377,-13.582451029,-3.6536961275,-0.5835285005
ecoli_00378,-13.7088348477,-3.7655384285,-0.5953394565
ecoli_00379,-9.8555662956,-3.6251847265,-0.5203182055
ecoli_00380,-9.2910377154,-3.4506714885,-0.5073662345000001
ecoli_00381,-1.1457093904,-1.7330241755,0.0852633545
ecoli_00382,0.1932123754,-1.4758157235,0.1457137845
ecoli_00383,-15.2339831318,-3.1223044115,-0.2890664925
ecoli_00384,-15.6225943486,-3.2012313195,-0.18241129250000002
ecoli_00385,-8.6701836432,-3.8464575225,-0.5600824835
ecoli_00386,-8.9736112009,-3.9804027745,-0.6767745725000001
ecoli_00387,-1.4335851745000001,-1.1385893275,0.43428186150000003
ecoli_00388,-1.4753242186,-1.2872353695,0.4325959225
ecoli_00389,-15.8371078145,-2.9677054535,-0.5331122905
ecoli_00390,-16.3499750827,-2.7984017245,-0.6723085365
ecoli_00391,-8.3533113919,-3.4760837005000003,-0.8066460445
ecoli_00392,-8.3266672646,-3.4532807245,-0.7385115715
ecoli_00393,-1.7380668177,-0.7131711845,-0.4863226565
ecoli_00394,-1.4947185584,-0.6992657495,-0.5547234925
ecoli_00395,-2.0949837033,-1.1999454785,-0.4694425855
ecoli_00396,-1.6358183311,-1.3876854215,-0.44796744450000003
ecoli_00397,-3.9050117345,-1.1640068635,-0.0295299795
ecoli_00398,-4.0607388405,-1.1857821605,0.0063114185
ecoli_00399,-3.9743758099,-2.3804622725,-0.0866435655
ecoli_00400,-2.90644943,-1.2437683655,-0.10088509450000001
ecoli_00401,-2.4735595023,-1.9278163375,-0.5291750435
ecoli_00402,-3.2516666256,-1.8639040115,-0.8200618455
ecoli_00403,-4.789458076,-1.2720879065,-0.5761194285
ecoli_00404,-5.9920887125,-1.9719491765,-0.4985162905
ecoli_00405,-2.8144847166,-1.2575581755,-0.3221970535
ecoli_00406,-3.0597955435,-1.2714269135,-0.2184577975
ecoli_00407,-2.3258516031,-1.6192342045,-0.7110767065
ecoli_00408,-2.8717438484,-1.6115375415000002,-0.6720003175
ecoli_00409,-5.5661329654,-2.0692579985,-0.6911875015000001
ecoli_00410,-4.0012244161,-2.0029513995,-0.5796304535
ecoli_00411,-2.3605714777,-0.7360083845000001,-0.6668791315
ecoli_00412,-1.7893089968,-0.6416609605,-0.5694105275
ecoli_00413,-1.0404464271,-0.9136657525,-0.7970919045
ecoli_00414,-1.0105194738,-0.9436402655,-0.8461084205
ecoli_00415,-4.7804440925,-1.6786742184999999,-0.19908843750000002
ecoli_00416,-4.9523158379000005,-1.6037383715,-0.4070465515
ecoli_00417,-3.2284545915,-0.8252574385,-0.5594960895000001
ecoli_00418,-2.6288409911,-0.7256198135,-0.5038592885000001
ecoli_00419,-2.256224149,-0.9100156835000001,-0.6562123495000001
ecoli_00420,-2.6873226613,-0.9275813595,-0.6598558995
ecoli_00421,-6.3824442167,-1.5496114015,-0.0738277085
ecoli_00422,-6.3633011978,-1.6095175255,-0.12185689350000001
ecoli_00423,-2.9903297540000002,-1.2511606605,-0.4791588485
ecoli_00424,-2.3470537343,-1.0140954735,-0.4254981295
ecoli_00425,-2.04451553,-0.5269920935,-0.7666888895
ecoli_00426,-1.8276336146,-0.42670196250000003,-0.7144685355
ecoli_00427,-1.8313871556999999,-1.4029869295,-0.8098953175
ecoli_00428,-2.0857336882,-1.3927400945000001,-0.7267048265
ecoli_00429,-1.8586830716,-1.0420478135,-0.8316562655
ecoli_00430,-2.0200969026,-1.0472863115,-0.7900438585
ecoli_00431,-4.1032298836,-1.4380736675,-0.15745627850000002
ecoli_00432,-3.5137685994,-1.0912850275000001,-0.1742302655
ecoli_00433,-4.1532725003,-1.6739495844999999,-0.3817692005
ecoli_00434,-4.0051073204,-1.6039963515,-0.4245381205
ecoli_00435,-2.8636680049,-0.9949603645,-0.40481923750000004
ecoli_00436,-2.6064340417,-1.0951214535,-0.3913237745
ecoli_00437,-2.2984879609,-1.5369532695,-0.8734479885
ecoli_00438,-2.1269807294,-1.4419532615000001,-0.8586481575
