,rcsA
Cr_1,-0.002193787786361416
Cr_2,-0.004377120274452611
Cr_3,-0.003752594432978656
Cr_4,-0.002534659540657885
Cr_5,-0.0045340080035746215
Cr_6,-0.012304179579726838
Fe_1,0.0039233800187139225
Fe_2,-0.002187895831661869
Fe_3,-0.030281640918610443
Fe_4,-0.08734928001339373
Fe_5,-0.1535965307785642
Fe_6,-0.22043379105986016
Cd_1,0.00936765015056864
Cd_2,0.019344498875183892
Cd_3,0.024763281671910685
Cd_4,0.03003927659052674
Cd_5,0.02925658414461776
Cd_6,0.030957366754121095
Zn_1,0.004245367087562097
Zn_2,0.0005356599779674569
Zn_3,-0.01789446106065962
Zn_4,-0.050858462415911014
Zn_5,-0.0933687138987754
Zn_6,-0.1395200464705432
Cu_1,0.004836620379824446
Cu_2,0.007499638953533416
Cu_3,0.008204018939031844
Cu_4,0.006205913367885228
Cu_5,0.0007828814469017642
Cu_6,-0.00601422030080284
Pb_1,0.023643457398226573
Pb_2,0.045855164814204666
Pb_3,0.06554760573657895
Pb_4,0.08091746852806274
Pb_5,0.08975788352189379
Pb_6,0.09429269821977172
