,Value,list
TF,[SigK + GerE] / [SigK + GerR],
reg_genes,102,"['ytcB' 'cotD' 'cotM' 'oxdD' 'S1316' 'cotB' 'cgeB' 'yjzB' 'S425' 'gerPD'
 'ftsY' 'gerPA' 'surC' 'S497' 'spsJ' 'spsL' 'spsK' 'spsF' 'sigK' 'cwlH'
 'ywrJ' 'yfnE' 'S610' 'yxeE' 'spsC' 'ytxO' 'S393' 'spsE' 'spsI' 'cotSA'
 'cotH' 'S666' 'cotU' 'cotP' 'yurS' 'ytcA' 'yodU' 'spsB' 'cgeE' 'cotQ'
 'ylbD' 'yfnG' 'spsG' 'yeeK' 'S379' 'cotC' 'S251' 'gerPC' 'yfnF' 'lipC'
 'cotE' 'S347' 'yfnD' 'yhjQ' 'ydgB' 'cgeD' 'yfnH' 'spsA' 'ysnD' 'ylbE'
 'yhjR' 'S422' 'S1387' 'S195' 'S1386' 'ykzQ' 'ymaG' 'S698' 'ytcC' 'yppG'
 'sigKC' 'cotS' 'gerPB' 'S839' 'gerT' 'spsD' 'gerPF' 'gerPE' 'S751' 'cgeC'
 'S1179' 'S984' 'S349' 'S380' 'yisY' 'S1191' 'cotA' 'ydgA' 'tgl']"
comp_genes,17,['S530' 'S424' 'ykzV' 'yjcZ']
both_genes,13,"['sspG' 'cotY' 'cotV' 'cotT' 'S420' 'spoVIF' 'cotW' 'cotZ' 'sscA' 'S421'
 'cotG' 'cgeA' 'cotX']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,49,
comp_ops,12,
both_ops,10,
