,-0.0824616311111111,-0.061846223333333325,-0.04123081555555555,-0.020615407777777775,0.0,0.020615407777777775,0.04123081555555555,0.06184622333333334,0.0824616311111111,0.10307703888888886,0.12369244666666665,0.14430785444444444,0.1649232622222222,0.18553866999999996,0.20615407777777778,0.22676948555555554,0.2473848933333333,0.26800030111111106,0.2886157088888888,0.30923111666666664
thresh,-0.092769335,0.092769335,5,,,,,,,,,,,,,,,,,
unreg,0,3,17,367,3483,279,6,3,0,1,0,0,0,0,0,0,1,0,0,0
SigK,0,0,2,9,33,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
SigK and GerE,0,0,3,8,40,8,1,1,1,2,1,0,0,2,0,0,0,0,0,0
SigK and GerR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SigK, GerE, and GerR",0,0,1,0,2,1,0,0,1,1,2,0,0,0,0,1,1,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],['ykzV'],[],[],[],[],[],[],['yjcZ'],[],[],[]
SigK_genes,[],[],['ykvQ' 'pghL'],['ykvP' 'cwlC' 'yjqC' 'asd' 'cotR' 'gerE' 'yrkC' 'yrzN' 'dapG'],"['ytlC' 'yitD' 'ytdA' 'sprB' 'spoIISB' 'ldt' 'yotH' 'ytlD' 'yotG' 'ytlA'
 'dapA' 'yotI' 'lytH' 'yotD' 'yitB' 'yabG' 'yotE' 'spoIISA' 'yodH' 'yotJ'
 'yotK' 'yfhP' 'yitC' 'ypqA' 'yisZ' 'yaaO' 'spoVK' 'yaaN' 'yobW' 'yitA'
 'yotM' 'yotC' 'yosX']",['yotB' 'yqfQ' 'csfB' 'xpaC' 'cwlJ' 'cotI' 'spoVFA'],['cotF' 'spoVFB' 'yodI'],['yhcO'],[],[],[],[],[],[],[],[],[],[],[],[]
SigK and GerE_genes,[],[],['ykzQ' 'lipC' 'cwlH'],['cotD' 'cgeD' 'cotQ' 'cgeE' 'yjzB' 'tgl' 'yfnF' 'spsI'],"['ylbE' 'cotM' 'cotS' 'yfnG' 'ytxO' 'yfnH' 'cotC' 'cotA' 'cotP' 'sigK'
 'ydgA' 'gerPD' 'yfnD' 'sigKC' 'ylbD' 'cotSA' 'yeeK' 'ytcB' 'yhjQ' 'ytcC'
 'yodU' 'gerPE' 'gerPC' 'spsC' 'spsF' 'ydgB' 'oxdD' 'ftsY' 'gerPA' 'gerPB'
 'spsD' 'spsE' 'yhjR' 'yisY' 'spsG' 'yppG' 'ytcA' 'spsB' 'spsK' 'gerT']",['spsJ' 'spsL' 'yfnE' 'ysnD' 'spsA' 'gerPF' 'cotE' 'ymaG'],['cgeC'],['yxeE'],['yurS'],['cotT' 'sscA'],['sspG'],[],[],['cotV' 'cotW'],[],[],[],[],[],[]
SigK and GerR_genes,[],[],[],[],[],[],[],[],[],[],[],[],['spoVIF'],[],[],[],[],[],[],[]
"SigK, GerE, and GerR_genes",[],[],['cotU'],[],['ywrJ' 'cotH'],['cotB'],[],[],['cgeB'],['cotZ'],['cotY' 'cgeA'],[],[],[],[],['cotX'],['cotG'],[],[],[]
