,A,SigK,GerE,GerR
R2,,0.5090975999038583,0.4397727289074962,0.4289568489536726
xmin,,6.9517,8.1137,7.6059
xmid,,,9.237098825579828,
xmax,,15.7367,16.3502,16.0818
ystart,,-9.70677927890255,-9.39131424237592,-9.866526215643278
yend,,9.185320486325558,9.902235219985677,7.888670345263154
LBexp_1,-9.5125110342,7.8045,10.75,8.6873
LBexp_2,-9.4401190403,7.5472,11.1934,8.4376
LBexp_3,-10.6409994626,7.7913,10.9042,8.2954
LBtran_1,-11.4174457004,7.2827,11.221,7.8313
LBtran_2,-11.6362385256,7.1441,10.7953,7.6638
LBtran_3,-11.6068134016,7.4822,10.071,7.9475
LBstat_1,-11.9805779034,7.5542,9.4016,7.8329
LBstat_2,-10.7397823878,7.6245,9.3815,7.8687000000000005
LBstat_3,-10.9237653246,7.6289,9.5405,8.1504
LBGexp_1,-9.1929157287,7.7687,8.9438,8.7586
LBGexp_2,-8.3451143808,7.4084,8.606,9.0753
LBGexp_3,-9.2874685615,7.5294,9.1117,8.9201
LBGtran_2,-10.6410675845,7.5824,9.809,8.8334
LBGtran_3,-10.0302278734,7.7074,10.2664,9.1323
LBGstat_1,-8.2601538671,7.3331,8.1345,9.0979
LBGstat_2,-8.4102236069,7.3484,8.3784,9.3603
LBGstat_3,-8.9362321165,7.7797,8.5611,8.4801
S0_1,4.2398397794000005,7.4132,11.0843,8.4602
S0_2,7.2952931664000005,7.6196,11.1635,8.557
S0_3,7.4794978872,7.93,11.5945,8.7654
S1_1,1.2299050146,8.3552,11.257,8.1598
S1_2,3.1643012066,8.3641,11.6388,8.1184
S1_3,4.1548509641,8.1353,11.3145,8.054
S2_1,-0.4955895216,8.5471,9.8101,10.7111
S2_2,0.9989083187000001,7.8577,9.7388,11.4977
S2_3,0.5150024459,7.8177,9.4879,11.4986
S3_1,-1.3968493111,12.0091,10.4482,15.5867
S3_2,3.1325753917,12.5368,10.3967,15.6715
S4_1,5.0455338876,15.1769,10.631,15.6719
S4_2,5.3471981434,15.1607,10.7613,15.7851
S4_3,4.9519526671000005,15.2242,10.3262,15.6847
S5_1,6.3901395157,15.5351,14.2027,15.4469
S5_2,9.0894533092,15.683,14.8171,16.0818
S5_3,8.381320492,15.7311,14.7715,16.0793
S6_1,8.4089492603,15.5885,16.1002,15.0754
S6_2,11.3661997933,15.5167,16.3032,14.6694
S6_3,10.445231339,15.3973,15.667300000000001,14.9976
S6/t_1,7.8066017429,15.7367,15.874,14.8421
S6/t_2,11.1689851495,14.4518,16.0905,13.6547
S6_4,8.3228775399,15.1857,15.9843,14.3156
S6_5,8.8136132221,15.6683,16.3502,14.868
S6_6,9.682811648,15.5095,16.22,14.8198
S7_4,6.1077108325,15.1559,16.1585,14.9964
S7_5,6.6705241292,14.8581,16.2548,14.9143
S7_6,7.3547896683000005,14.9461,16.0878,14.8877
S8_4,5.1354353384,14.6569,15.9045,14.4881
S8_5,5.6263977877,14.7966,16.3359,13.4121
G135_1,-5.6719802693,7.8144,9.4711,9.8099
G135_3,-6.2984281921,7.6058,8.6937,8.699
G150_1,-7.0335804909,7.621,10.3373,9.1204
G150_2,-7.8477471274,7.8256,9.9608,9.971
G150_3,-6.1589746488,7.8102,10.564,9.4382
G180_1,-6.2465142971,7.6659,8.8698,9.526
G180_2,-6.1001061338,7.4942,9.0279,9.9128
G180_3,-4.7634650366999995,7.3527000000000005,9.2184,9.0638
C30_1,-5.8781987498,8.7646,10.0249,9.7385
C30_2,-6.0140901329,9.0207,10.1408,9.8881
C90_1,-6.9036568398,8.3619,9.6033,9.0175
C90_2,-6.1337203632,7.6226,9.6556,8.7063
BI_1,-9.8692047857,8.1915,9.7019,8.6334
BI_2,-9.904987296,8.0992,9.7918,8.8618
BC_2,0.6082004926,10.2943,10.0984,11.0753
BC/t_1,-6.4829429872,9.2351,9.0648,10.6165
BC/t_2,-2.1154590068,10.4681,10.1424,11.2639
BC_1,-6.0008377919,9.2728,8.8203,10.4594
Sw_1,-9.7289064466,7.1172,8.1137,7.625
Sw_2,-10.1335187674,7.2591,8.2708,7.9757
BT_1,-0.7075131839000001,14.1164,15.8926,13.3519
BT_2,0.6402626596000001,13.7526,14.9517,12.5968
B36_1,-2.3686364724,14.611,15.0839,13.1436
B36_2,-2.056761385,14.4254,15.1666,13.2348
B60_1,5.0626580931,13.2646,12.7991,12.8134
B60_2,5.0780935378,13.107,13.2256,13.1541
M9exp_1,5.6661638439,8.6178,11.2214,8.9023
M9exp_2,5.4054216467,8.3599,11.0239,8.6511
M9exp_3,-11.0715854906,7.6103000000000005,9.9892,8.2368
M9tran_1,-9.3738393963,8.1205,10.5173,8.2571
M9tran_2,-10.2159752146,8.3123,10.1823,8.2201
M9tran_3,-0.9993881911,8.1061,10.9339,8.4995
M9stat_1,-4.4647365814,10.1831,9.7101,14.0885
M9stat_2,-11.1182769608,8.3991,9.1152,12.1981
M9stat_3,-11.0435273046,8.1221,8.9582,12.1206
M+G_1,-8.7273342392,8.6072,9.7323,9.2163
M+G_2,-7.0292961762,8.1435,10.1793,8.6348
M+G_3,-6.3459579016,8.0244,9.8839,8.4848
Glu_1,-10.1285914861,8.1603,10.8072,9.0294
Glu_2,-11.6871816492,8.1629,11.0671,9.0089
Glu_3,-3.6039672175,8.1314,11.1833,8.7971
Fru_1,-11.6015183545,7.4673,11.2656,8.4657
Fru_2,-6.8683547041,8.7592,11.4893,9.0181
Fru_3,-6.8694163833,7.9952000000000005,10.6846,8.4409
Mal_1,-6.5299602972,7.6423,10.1676,8.08
Mal_2,-4.1432543718,8.1427,11.0595,8.585
Mal_3,-2.9587508582,7.5436,10.9484,8.4413
G+S_2,7.1656225693,12.8934,13.7445,13.3342
G+S_3,7.9307999772,13.6066,14.5396,13.6963
Pyr_1,7.1053678451,12.263,11.5781,13.8705
Pyr_2,7.7806651557,12.9936,14.6934,13.3678
Pyr_3,8.0347874444,12.905,14.2603,13.1888
Gly_1,2.65104134,8.2573,10.3039,8.6514
Gly_2,2.848226328,8.7582,11.3328,9.0104
Gly_3,-1.9183724237000002,8.1787,10.1921,8.5153
Glucon_1,7.8441806032,10.0709,11.6548,10.721
Glucon_2,8.2171854336,10.3022,12.2791,10.5585
Glucon_3,-9.4819430155,8.2713,9.4943,8.5557
aero_1,9.0823052419,9.8817,11.8648,9.5244
aero_2,-3.3371572128,8.1947,9.7459,8.352
aero_3,2.4955758399,9.4269,11.0999,9.324300000000001
nit_1,9.843923492,13.2239,13.0274,12.114
nit_2,2.9526872449,11.4665,10.4855,10.6203
nit_3,1.8894167489,12.7737,10.5432,11.8469
ferm_1,10.2270220748,13.2202,12.679,11.9872
ferm_2,0.0032012359,10.8721,10.2263,10.0209
ferm_3,-0.8423845321000001,12.628,10.5686,12.1163
T-5.40H_1,-10.0352016448,11.0814,10.4539,11.0833
T-4.40H_1,-10.0586587681,10.4217,10.4735,10.1403
T-3.40H_1,-10.3209923086,9.4678,10.3176,9.2114
T-2.40H_1,-10.1323778751,8.9872,10.1785,8.6886
T-1.40H_1,-9.792314857400001,8.484,9.9881,8.3163
T-1.10H_1,-10.3446452867,8.6652,10.2893,8.3253
T-0.40H_1,-11.394821654,8.7838,10.027,8.1032
T0.0H_1,-10.5721488527,8.1495,10.0363,7.9453
T0.30H_1,-11.3375885741,8.0044,9.4157,8.4116
T1.0H_1,-9.9287633351,7.9921,10.1536,8.2093
T1.30H_1,-9.1928195787,8.1263,9.5016,8.5625
T2.0H_1,-7.9432266222,8.2586,9.5867,9.266
T2.30H_1,-9.7293134356,8.6171,10.1832,11.9922
T3.0H_1,-8.8313841077,8.8112,9.731300000000001,12.7543
T3.30H_1,-7.6314712733,9.6875,10.0525,13.5347
T4.0H_1,-5.4794154117,10.6293,10.1523,13.8186
T5.0H_1,-3.8164237257,11.1793,9.6999,13.681000000000001
HPh_1,-10.0192135032,8.595,10.4373,9.2733
HPh_2,-10.6064814183,8.1915,10.0667,9.2191
HPh_3,-10.3776258831,8.5719,9.8259,9.2992
LPh_1,-9.6690796492,8.4029,10.3624,9.3125
LPh_2,-10.7962600338,8.4174,10.8582,9.8886
LPh_3,-9.5671850695,8.2809,10.5997,9.6335
LPhT_1,-12.0606034859,8.9756,9.6188,9.6008
LPhT_2,-12.599388645,8.9766,9.6234,9.5126
LPhT_3,-12.4892458375,9.0225,10.1655,9.8088
SMMPr_1,7.0689470282,11.5511,11.2621,10.9714
SMMPr_2,6.7629107226,11.2995,11.1723,10.7206
SMMPr_3,8.7436917035,10.9516,11.8908,10.2241
HiTm_1,-10.1542375912,7.5107,11.0644,8.1602
HiTm_2,-11.0167018989,7.3351,10.9888,8.1081
HiTm_3,-9.6453227434,7.5176,10.9333,8.2028
LoTm_1,7.0990331245,10.579,10.0019,14.792
LoTm_2,4.2727791207,10.5707,9.2777,15.0922
LoTm_3,8.3782107614,11.3319,9.7712,15.1049
HiOs_1,-3.1899974828,9.2508,10.2869,11.1524
HiOs_2,-0.8164440204000001,9.5191,10.4206,11.2561
HiOs_3,-4.4691651255,8.9513,10.7329,10.5327
BMM_1,-11.2012816042,7.785,10.2914,8.7436
BMM_2,-10.9499301491,7.707,10.3026,8.5877
BMM_3,-11.03725971,7.8661,10.0498,8.9807
