,ybiS
Cr_1,0.0020116903783281496
Cr_2,0.004591606219445567
Cr_3,0.008338202874391512
Cr_4,0.011294151267313644
Cr_5,0.01413391791084579
Cr_6,0.01650219761328665
Fe_1,-0.003556584670096854
Fe_2,-0.011722620581064356
Fe_3,-0.02519124777198942
Fe_4,-0.04273142214102065
Fe_5,-0.057144067356564764
Fe_6,-0.06808414367888163
Cd_1,0.005492511714148463
Cd_2,0.012443956987870965
Cd_3,0.01946967798867496
Cd_4,0.02330796144583055
Cd_5,0.02170236870486152
Cd_6,0.02337863836044356
Zn_1,0.00479174988416574
Zn_2,0.0039211294504022986
Zn_3,0.0076778945862966234
Zn_4,0.01195698681326658
Zn_5,0.01493289360896816
Zn_6,0.011485632589663492
Cu_1,0.005061922874714507
Cu_2,0.011612395016840648
Cu_3,0.01690093136903686
Cu_4,0.02231611941062481
Cu_5,0.02481660672604076
Cu_6,0.02790241857228849
Pb_1,0.009545236217556041
Pb_2,0.023411120000868074
Pb_3,0.036839431259741685
Pb_4,0.05179727716298786
Pb_5,0.0697515374922672
Pb_6,0.08339885565923431
