,A,GntR
R2,,0.007541735122321591
xmin,,-2.014114572
xmid,,-0.6359084645608485
xmax,,1.014186029
ystart,,1.040482682380227
yend,,2.3609445043563513
control__wt_glc__1,-0.15801557900000002,-0.030348797
control__wt_glc__2,0.15801557900000002,0.030348797
fur__wt_dpd__1,0.36049713910000003,-0.21351946100000002
fur__wt_dpd__2,0.0752594117,-0.347090296
fur__wt_fe__1,-0.0878438945,-0.46270862300000004
fur__wt_fe__2,-0.6115519017000001,-0.369643989
fur__delfur_dpd__1,0.14452455250000001,-0.21473143300000003
fur__delfur_dpd__2,0.1874080873,-0.5769480530000001
fur__delfur_fe2__1,0.2306972299,-0.283359629
fur__delfur_fe2__2,0.133581069,-0.347118747
acid__wt_ph5__1,-0.1702463809,-0.520305899
acid__wt_ph5__2,-0.1283061838,-0.48253051700000005
acid__delgadx_ph5__2,-0.7955296836,-0.59225976
acid__delgadw_ph5__1,-0.0171748559,-0.58236561
acid__delgadw_ph5__2,-0.5073330628,-0.508449226
acid__delgade_ph5__1,-0.1195011765,-0.36743238500000003
acid__delgade_ph5__2,-0.5762553469,-0.406783355
oxidative__wt_pq__1,0.20638089,-0.47929541400000003
oxidative__wt_pq__2,0.4589989846,-0.364850638
oxidative__deloxyr_pq__1,-0.2785585484,-0.29208272500000004
oxidative__deloxyr_pq__2,0.4458729469,-0.370730699
oxidative__delsoxr_pq__1,0.9689887605,-0.61663906
oxidative__delsoxr_pq__2,0.5220983456,-0.589248458
oxidative__delsoxs_pq__1,0.8183581999999999,-0.047177572
oxidative__delsoxs_pq__2,0.3394524286,-0.203020794
nac_ntrc__wt_csn__1,-0.7945492501,-0.145557833
nac_ntrc__wt_csn__2,-0.593242832,-0.156213141
nac_ntrc__wt_cytd__1,-1.0421518612,-0.059016715000000004
nac_ntrc__wt_cytd__2,-0.8200444303000001,-0.142588556
nac_ntrc__wt_gln__1,-1.2801116726,0.209749909
nac_ntrc__wt_gln__2,-0.9660898557,0.116346208
nac_ntrc__bw_delnac_csn__1,0.5759604915000001,-0.504893766
nac_ntrc__bw_delnac_csn__2,0.3490885673,-0.152836783
nac_ntrc__bw_delnac_cytd__1,-0.2014637436,-0.643676393
nac_ntrc__bw_delnac_cytd__2,-0.47538041810000004,-0.685633664
nac_ntrc__bw_delnac_gln__1,-1.3441646001,-0.48153160500000003
nac_ntrc__bw_delnac_gln__2,-0.7140645591,-0.5978791830000001
nac_ntrc__bw_delnac_nh4__1,0.7979083877,-0.6084837040000001
nac_ntrc__bw_delnac_nh4__2,0.9299602438000001,-0.9322539390000001
misc__wt_no_te__1,0.0504704889,-0.56058381
misc__wt_no_te__2,0.16758961800000002,-0.544440601
misc__bw_delcbl__1,0.1433495915,-0.8701726970000001
misc__bw_delcbl__2,0.1446130471,-0.7915707030000001
misc__bw_delfabr__1,0.1765862555,-0.695147093
misc__bw_delfabr__2,0.0535288841,-0.919943613
misc__bw_delfadr__1,-0.0750177365,-0.562539256
misc__bw_delfadr__2,-0.7060067842000001,-0.7012895680000001
misc__nitr_031__1,-0.08347634,-0.39822854100000005
omics__wt_glu__1,-1.4350717232,0.58554341
omics__wt_glu__2,-1.2178003001,0.600859573
omics__wt_gly__1,-1.1473189765,0.213452039
omics__wt_gly__2,-0.7847965708,0.11941267400000001
omics__wt_thr__1,1.9398042342,0.993994664
omics__wt_thr__2,1.1907405841,1.014186029
omics__bw_ac__1,2.8254769570000002,0.069195316
omics__bw_ac__2,2.2650292257,0.20817369600000002
omics__bw_fum__1,1.2732071471,-0.257141461
omics__bw_fum__2,0.9116753647,-0.27144814700000003
omics__bw_glc__1,-0.2363325318,-0.410538669
omics__bw_glc__2,-0.370364736,-0.30912414600000004
omics__bw_pyr__1,1.8026800296,-0.083337357
omics__bw_pyr__2,0.8412056223000001,0.063583927
ompr__wt_nacl__1,-0.4298999685,-0.14386895100000002
ompr__wt_nacl__2,0.0211498686,-0.034908084
ompr__bw_delompr_nacl__1,-0.5896555493,-0.42100089500000004
ompr__bw_delompr_nacl__2,-0.7362243203000001,-0.34744460600000004
minspan__wt_ade__1,0.9082161653,-0.7697380770000001
minspan__wt_glc__2,-0.2221621004,-0.8823607510000001
minspan__wt_glc__3,-0.48618657660000003,-0.915991159
minspan__wt_glc__4,0.2353435104,-0.6323687520000001
minspan__wt_glc_anaero__1,-0.0030732411,-0.364178697
minspan__wt_glc_anaero__2,-0.9549234787,-0.08022456600000001
minspan__wt_trp__1,2.8497030735,-0.47129014300000005
minspan__bw_delcra_glc__2,1.8572230755999999,-0.438403859
minspan__bw_delcra_trp__1,3.2389807781,-0.5839842550000001
minspan__bw_delmntr__1,2.0181630489,-0.36522658300000005
minspan__bw_delnac_ade__1,0.013569571800000001,-0.686472728
minspan__bw_delnac_glc__1,-0.22507389600000002,-1.054837322
cra_crp__wt_ac__1,2.3187156834,0.613699685
cra_crp__wt_ac__2,1.2344037018,0.457944351
cra_crp__wt_fru__1,0.8055051333000001,0.46337060900000004
cra_crp__wt_fru__2,0.7711957619,0.839898731
cra_crp__delcra_ac__1,3.1009732103,-0.16509859999999998
cra_crp__delcra_ac__2,2.3498936314,-0.16846765700000002
cra_crp__delcra_fru__1,-0.1322762156,-0.55877245
cra_crp__delcra_fru__2,-0.5434928729,-0.582679504
cra_crp__delcra_glc__1,-0.028403732600000002,-0.648357733
cra_crp__delcra_glc__2,0.0359278435,-0.719148774
rpoB__wt_031__1,2.335426659,-0.030981246
rpoB__wt_044__1,0.0773053829,-0.449013176
rpoB__wt_lb__1,4.0890124694,-0.603304504
rpoB__wt_lb__2,5.0550220435,-0.47068774900000004
rpoB__rpoBE546V_031__1,1.4665584302,-0.470330191
rpoB__rpoBE546V_044__1,1.990280062,-0.016594538000000002
rpoB__rpoBE546V_lb__1,4.8321897222,-0.398401123
rpoB__rpoBE546V_lb__2,4.7160827531,-0.330299657
rpoB__rpoBE546V_glc__1,1.0378108737,-0.314074896
rpoB__rpoBE672K_glc__1,-0.3335474874,-0.964089999
rpoB__rpoBE672K_glc__2,0.2208508479,-0.932020814
rpoB__rpoBE672K_lb__1,4.3860962633,-0.6487972660000001
rpoB__rpoBE672K_lb__2,4.4019267601,-0.7060561870000001
crp__wt_fru__1,1.0765360301,-0.441932394
crp__wt_glyc__1,1.7063793763000001,-0.681758077
crp__wt_glyc__2,1.8959806805000001,-0.647610309
crp__delar1_glyc__1,-0.129884836,0.185988481
crp__delar1_glyc__2,0.5801093475,0.15093388900000002
crp__delar1ar2_glyc__1,-0.8521898169000001,-0.336591898
crp__delar1ar2_glyc__2,-0.13875713550000002,-0.40824742700000005
crp__delar1ar2_glyc__3,-0.0746375509,-0.516444816
crp__delar2_glyc__1,2.5774496275,-0.280376133
crp__delar2_glyc__2,2.6427263006,-0.23843833
crp__delar2_glyc__3,2.7131604878,-0.11889551400000001
crp__delcrp_fru__1,-1.5055930699,-0.26455195400000003
crp__delcrp_fru__2,-0.8252883018,-0.36296624600000005
crp__delcrp_fru__3,-1.455404941,-0.328158059
crp__delcrp_glc__1,-1.2291616929,-0.47742419100000005
crp__delcrp_glc__2,-0.9696910065000001,-0.47803926700000005
crp__delcrp_glc__3,-1.9135137461,-0.46525303900000003
crp__delcrp_glyc__1,-0.7043091751,-0.653924932
crp__delcrp_glyc__2,-0.9844335186000001,-0.5901065440000001
crp__delcrp_glyc__3,-0.7678430535,-0.49595637200000003
glu__glu_ale3__1,1.2725671039,0.021575633
glu__glu_ale4__1,0.9265428073,-0.49247475900000004
