,A,CodY
R2,,0.36180282117704243
xmin,,7.3386117466
xmid,,
xmax,,9.6590894251
ystart,,32.09754395934422
yend,,-2.4480332902249415
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,5.272882206,9.5389541862
USA300_LAC_U01-Set001_CAMHB_Control_1,0.027094109,9.2301516456
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,0.48783483,9.1242050495
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,-0.9001014930000001,9.2430775392
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,5.701070077,9.3035521507
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,4.353914809,9.4441804831
USA300_LAC_U01-Set001_CAMHB_Control_2,-0.027094109,9.2883765706
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,-0.20904001600000002,9.1310286727
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,-1.084296092,9.2247302024
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,5.868516519,9.2975067254
USA300_TCH1516_U01-Set000_CAMHB_Control_1,-0.284177826,8.8466897831
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,1.871009417,8.8301312671
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,1.153841548,8.7680508779
USA300_LAC_U01-Set001_R10LB_PreCulture_1,22.01751298,9.0156264749
USA300_LAC_U01-Set001_R10LB_PreCulture_2,18.99194683,9.1655548349
USA300_LAC_U01-Set001_R10LB_Control_1,27.113921,8.0501872686
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,28.01302184,8.0443206853
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,25.88843761,8.4365440191
USA300_LAC_U01-Set001_R10LB_Control_2,28.52010823,8.0833317895
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,30.24693965,7.8123738321000005
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,27.11789037,8.2526410603
USA300_TCH1516_U01-Set000_R10LB_Control_1,28.46778634,8.2839320926
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,26.075106,7.8875267092
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,21.84370056,8.3240932873
USA300_TCH1516_U01-Set000_R10LB_Control_2,27.41502267,8.5894800198
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,27.82394674,7.8919990723
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,25.20236169,8.0856569187
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,-1.037218492,9.1352235633
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,0.14450595700000002,9.140279396
USA300_TCH1516_U01-Set000_CAMHB_Control_2,0.284177826,8.7118226345
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,1.366111964,8.7575485223
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,1.942982969,8.699234154500001
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,3.777992061,8.9351887979
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,4.008814376,9.0131698422
USA300_LAC_U01-Set004_CAMHB_Control_1,-1.800528134,9.0254625175
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,-2.73221946,9.0791883683
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,-2.609934285,9.0139552451
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,5.9728713970000005,9.0590486315
USA300_LAC_U01-Set004_CAMHB_Control_2,-1.868534702,8.9329664588
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,-2.8406263110000003,9.1236318068
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,-1.3904104990000001,8.9508767818
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,5.822059647,8.8566793128
USA300_LAC_U01-Set004_R10LB_Control_1,23.59767788,8.3789695571
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,21.90264445,8.256468140399999
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,17.60315327,8.4610192642
USA300_LAC_U01-Set004_R10LB_Control_2,23.49648093,8.3593899467
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,22.86518686,8.0711174532
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,18.27733274,8.5358826985
USA300_TCH1516_U01-Set003_CAMHB_Control_2,3.14161686,9.4864536621
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,2.2590175820000002,9.4054849969
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,1.889771797,8.945072486
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,3.8606010150000003,8.9904533851
USA300_TCH1516_U01-Set003_CAMHB_Control_3,3.875890072,9.3737714649
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,3.89316752,9.5767364248
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,4.500496862,8.7995680077
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,4.712067475,8.9657687928
USA300_LAC_ICA-Set001_R10LB_Control_1,29.36187201,7.7533082515
USA300_LAC_ICA-Set001_R10LB_Control_2,29.86299989,7.6191465495
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,26.31043965,7.3386117466
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,25.96139086,7.5736110645
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,20.91604805,8.5844333725
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,21.25232163,8.6001413667
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,26.98913934,8.4843310667
USA300_LAC_ICA-Set001_R10LB_5.5pH_2,26.38578689,8.6666551996
USA300_TCH1516_BK-Set001_THB_Control_1,2.246320224,8.4466935423
USA300_TCH1516_BK-Set001_THB_Control_2,-2.615231862,8.7107850666
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,-0.32894547,9.4276155504
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,1.5793057140000002,9.2377981745
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,0.7500951770000001,9.4691215555
