,gadX
Cr_1,0.0011082440185718762
Cr_2,0.0013699007910893224
Cr_3,0.003302910595270614
Cr_4,0.0034391772494780713
Cr_5,0.005265498355390929
Cr_6,0.0075631110896535875
Fe_1,-0.003547429757817899
Fe_2,-0.005782391950428395
Fe_3,-0.009529956197667836
Fe_4,-0.014844506224571615
Fe_5,-0.020063936068036803
Fe_6,-0.031770907500274524
Cd_1,0.007295693304766675
Cd_2,0.0246718705205134
Cd_3,0.051343200488304534
Cd_4,0.10093829963738143
Cd_5,0.17977044537416806
Cd_6,0.2904727121475029
Zn_1,-0.014572142630141947
Zn_2,-0.024974990958747736
Zn_3,-0.033354293736521524
Zn_4,-0.04192702578145036
Zn_5,-0.054430370316657324
Zn_6,-0.06595616435660227
Cu_1,0.007858207812280365
Cu_2,0.02412690816852668
Cu_3,0.039659294148938325
Cu_4,0.05235621385759602
Cu_5,0.0590534880878919
Cu_6,0.0606373217336524
Pb_1,0.009511855371119178
Pb_2,0.015801900955102314
Pb_3,0.015332029130866868
Pb_4,0.016306170308356575
Pb_5,0.01713886372002065
Pb_6,0.02055925767803677
