,gntT
Cr_1,0.001991125380835494
Cr_2,0.0018928621867111202
Cr_3,0.0016477867538570912
Cr_4,0.002983263918397032
Cr_5,0.002756990138722264
Cr_6,0.0009497389196118703
Fe_1,-0.011118152445008469
Fe_2,-0.028771884044674494
Fe_3,-0.051002879223004005
Fe_4,-0.07535489023964505
Fe_5,-0.09308169223483308
Fe_6,-0.10514790261209132
Cd_1,0.005733840777977757
Cd_2,0.013433878435806236
Cd_3,0.019789790409089108
Cd_4,0.02435190105730264
Cd_5,0.021994588370140247
Cd_6,0.024180195660263814
Zn_1,-0.004586009252343713
Zn_2,-0.0062758438489538566
Zn_3,0.0013449948726679988
Zn_4,0.010472519180533615
Zn_5,0.0162630508517094
Zn_6,0.019056273973157862
Cu_1,0.007691487856608067
Cu_2,0.01563158328131026
Cu_3,0.020139915594438118
Cu_4,0.022164518795479576
Cu_5,0.029655269880517462
Cu_6,0.04128810286738662
Pb_1,0.002440909576721527
Pb_2,0.01021941310185825
Pb_3,0.01422673116609068
Pb_4,0.022235687661063243
Pb_5,0.040475821150455
Pb_6,0.05755194606762005
