locus,gene_weight,gene_name,gene_product,cog,operon,regulator,IHF,Fnr,ryhB,Fis,NarL,ArcA,link
b2279,0.28943158080000003,nuoK,NADH:quinone oxidoreductase subunit K,Energy production and conversion,nuoABCEFGHIJKLMN,"RpoD,NarL,ArcA,IHF,Fis,Fnr,ryhB",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12091
b2280,0.2699483095,nuoJ,NADH:quinone oxidoreductase subunit J,Energy production and conversion,nuoABCEFGHIJKLMN,"RpoD,NarL,ArcA,IHF,Fis,Fnr,ryhB",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12090
b2281,0.258877326,nuoI,NADH:quinone oxidoreductase subunit I,Energy production and conversion,nuoABCEFGHIJKLMN,"RpoD,NarL,ArcA,IHF,Fis,Fnr,ryhB",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12089
b2278,0.2545494894,nuoL,NADH:quinone oxidoreductase subunit L,Energy production and conversion,nuoABCEFGHIJKLMN,"RpoD,NarL,ArcA,IHF,Fis,Fnr,ryhB",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12092
b2282,0.2488763364,nuoH,NADH:quinone oxidoreductase subunit H,Energy production and conversion,nuoABCEFGHIJKLMN,"RpoD,NarL,ArcA,IHF,Fnr,Fis,ryhB",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12088
b2277,0.24665393570000002,nuoM,NADH:quinone oxidoreductase subunit M,Energy production and conversion,nuoABCEFGHIJKLMN,"RpoD,ryhB,NarL,ArcA,IHF,Fis,Fnr",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11773
b2276,0.2240755099,nuoN,NADH:quinone oxidoreductase subunit N,Energy production and conversion,nuoABCEFGHIJKLMN,"RpoD,NarL,OmpR,ArcA,IHF,Fis,Fnr,ryhB",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12093
b2283,0.1967672909,nuoG,NADH:quinone oxidoreductase subunit G,Energy production and conversion,nuoABCEFGHIJKLMN,"RpoD,YidZ,NarL,ArcA,IHF,Fis,Fnr,ryhB",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12087
b2284,0.1485734099,nuoF,NADH:quinone oxidoreductase subunit F,Energy production and conversion,nuoABCEFGHIJKLMN,"RpoD,NarL,ArcA,IHF,Fis,Fnr,ryhB",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11774
b2285,0.1407085181,nuoE,NADH:quinone oxidoreductase subunit E,Energy production and conversion,nuoABCEFGHIJKLMN,"RpoD,NarL,ArcA,IHF,Fis,Fnr,ryhB",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12086
b2286,0.1269441502,nuoC,NADH:quinone oxidoreductase subunit CD,Energy production and conversion,nuoABCEFGHIJKLMN,"RpoD,NarL,ArcA,IHF,Fis,Fnr,ryhB",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12084
b2287,0.0995744653,nuoB,NADH:quinone oxidoreductase subunit B,Energy production and conversion,nuoABCEFGHIJKLMN,"RpoD,NarL,ArcA,IHF,Fis,Fnr,ryhB",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12083
b1656,0.09415407,sodB,superoxide dismutase (Fe),Energy production and conversion,sodB,"RpoD,ryhB,fnrS,IHF,Crp,NsrR",True,False,True,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10954
