,A,ihfB,Fnr,Fis,ArcA,NarL
R2,,0.06406408349613968,0.04709031612202408,0.040136192099211376,0.035643059261396104,0.030961440506179994
xmin,,-3.9178110457,-7.8525940196,-4.8936592304,-3.6017898952,-3.0560450505
xmid,,0.7145310211298244,-1.6332889985593528,-2.445296589767819,-0.6125915303809563,
xmax,,3.3245249795,4.4171410107,4.361795663,3.7109145168,2.4694155805999998
ystart,,0.3455779598641522,1.7089287631622025,-1.488199649207288,0.850397374279512,-2.097857201313227
yend,,-10.71775906247559,-5.1159152559049925,3.1857105630341813,-3.241159207434191,2.158773233062126
aat__00m_00s__1,-0.1769669376,-0.1131958483,-0.0825740115,0.1452799267,0.1536251284,0.0834143878
aat__00m_30s__1,0.46099286440000004,0.0772468121,0.16485310350000001,0.032152022100000004,-0.1085541986,0.0504933555
aat__01m_00s__1,0.5234498074,0.0671979825,0.7752711503,-0.11344229280000001,-0.269085791,0.031696480900000004
aat__02m_00s__1,0.624855891,-0.031233225400000002,0.9066270852,-0.6030691047,0.0131235692,-0.0029696078000000002
aat__05m_00s__1,0.8751177599000001,0.0201842575,0.95171602,-0.7040569003,0.26443002660000003,-0.3118176763
aat__10m_00s__1,2.6312085635,-0.1696861744,1.0192587317,-0.3000441569,-0.1415413156,-1.1250431231
aat__00m_00s__2,0.295955703,0.030994294500000002,0.1234264677,-0.1565872788,-0.1227035083,0.0253800388
aat__00m_30s__2,0.7970697987,0.0539088152,0.4334180231,0.0544366627,-0.4182880135,-0.0159687598
aat__01m_00s__2,0.9984972715,0.1097352022,0.7979562918,-0.2428967066,-0.1456535487,0.11729304230000001
aat__02m_00s__2,0.6735167264,0.2340397233,0.8964971719,-0.7952871017,0.0864050615,-0.0645860458
aat__05m_00s__2,1.2520715981000001,0.2579735379,0.9047534472000001,-1.2037749275,0.326354303,-0.4360385312
aat__10m_00s__2,1.8057021124000001,0.5504911606,0.9185125141,-0.8523048087,0.2809830862,-0.7155510694
aat__00m_00s__3,-0.1189887654,0.0822015539,-0.040852456200000005,0.011307352100000001,-0.0309216201,-0.10879442660000001
aat__00m_30s__3,-0.7616771068,0.4189166854,0.2208704434,0.29622605760000004,-0.0305290823,0.004012204
aat__01m_00s__3,0.4046854024,0.2529822276,0.7920547098,0.0283022157,-0.30555163100000005,0.1317350897
aat__02m_00s__3,-0.6479381625,0.39341672120000004,0.8818752216,-0.43191519440000004,0.0006214416,0.0470774695
aat__05m_00s__3,-0.7321459153000001,0.2673414086,0.9825066807,-1.1986122972,0.6068628834,-0.5255995358000001
aat__10m_00s__3,2.006169731,0.42329341260000003,0.9444446514,-1.2380068344,0.5516321501,-0.9168248342
abx_mega__dmso-2__1,0.07980798730000001,2.297485246,0.0403637158,-0.1179993382,0.49107579710000004,1.9154446272
abx_mega__ery_dmso__1,-3.2881889423,-1.5657193052,0.5459244040000001,0.7771395971,-0.9538123343,-0.7280519322
abx_mega__nal_naoh__1,1.3860384604,1.171465281,-0.6791990309,0.1724641512,0.3631602573,1.1947183288
abx_mega__dmso-5__1,-1.0118385286,0.294111116,0.0078028844000000005,-0.4379147116,-0.17749356630000002,0.1780909309
abx_mega__rif_dmso__1,0.35844528200000003,0.9331627303000001,-1.3129271236,1.7759768752,-0.2571254471,1.2955909793
abx_mega__novo_h2o__1,2.389456506,-1.5948301920999999,0.20689053170000002,0.1268043401,-0.5795873771,-1.6319055235
abx_mega__rach_dmso__1,4.8912531254000005,-0.6969566792,-0.045048951000000004,0.08683377910000001,-0.6394832572,0.4734941154
abx_mega__metro_dmso__1,-0.9129271929,-0.24371025970000001,0.4656249649,0.147434414,-0.5994008193,-0.1664938681
abx_mega__dmso-6__1,-0.6525811939,0.3294536628,-0.3784852643,-0.7709696535,-0.8093510237,0.5350788069
abx_mega__chl_h2o__1,-4.5647757025,-1.0253066066,0.3019332691,1.8644089753,-1.223874242,-1.1516025581
abx_mega__cst_h2o__1,1.8979970160000001,-1.1929652783,0.0320312785,-0.3006031253,-0.20132201460000002,0.2589008747
abx_mega__tec_h2o__1,-0.09125929120000001,0.8805616572,-2.6112045671,0.5347225265000001,-0.38609345780000004,0.6985329095
abx_mega__str_h2o__1,-0.3254328573,1.9132335694,0.2482154852,-0.315531422,1.2331627263,1.5091314717
abx_mega__ctx_h2o__1,4.8023636043,-1.1279696429000001,0.0230880885,-0.27706315800000003,-0.4496263185,0.0599282165
abx_mega__nal_naoh__2,0.0480204359,-0.9605612867000001,0.3075812793,-1.0515561892,-0.5000365137,-0.3923176547
abx_mega__phos_h2o__1,2.8972324883000002,-0.7856317823000001,-0.7038356709,0.45988812300000004,-0.9224545732,-0.4271510985
abx_mega__dmso-5__2,-1.0008899372,0.10447339950000001,-0.2244639849,-0.1227531806,-0.31040230480000003,0.2821523801
abx_mega__polmyx_h2o__1,2.9237409679,-1.1566112913,0.32801548280000004,-0.7439088252,-0.1547312355,0.07094828710000001
abx_mega__h2o-8b__1,2.6312629197,-0.5151260577,-0.0363903054,-0.3382359766,-0.7734435138,0.19399510790000002
abx_mega__h2o-6__1,0.13781442730000001,-0.3442757495,0.1539794799,-0.46712865400000003,-0.2452190206,0.0642121101
abx_mega__thio_dmso__1,2.8720884226,-2.3813583609,-0.315089026,1.2231535145,-0.6604458461,-0.07041621590000001
abx_mega__phos_h2o__2,3.4847681077,-1.0600417401,-0.19593564700000002,-0.8780742082,-0.36638296740000004,0.2387249998
abx_mega__ctx_h2o__2,6.5507156213,-2.7828060503,0.1826918599,-0.3190684022,-0.6634625427,0.4765491027
abx_mega__lzd_dmso__1,-2.2887132001,-0.938501404,0.6125076868,0.9380870463000001,-0.7503258015000001,-0.9480551533
abx_mega__naoh-9__1,2.6213119185,-1.1086632386,0.518483773,-0.5544290879,-0.1047583445,0.3874315129
abx_mega__dox_dmso__1,1.9405712792,-1.5186830960000002,0.6077452839,0.499138858,-1.0523870943,-0.30677911280000003
abx_mega__phos_ethanol__1,0.18544271580000002,-1.0835463994,0.7489705412000001,0.1323222643,-0.3908090648,0.45546757130000004
abx_mega__teix_dmso__1,5.4835481905,-0.2108301915,-1.2905505804000001,0.2073111051,-0.6588512144,0.8811496315
abx_mega__dmso-10__1,0.9675658268,-1.1932094615,0.4743514224,-0.25733282500000004,-0.796986874,0.5259159415
abx_mega__van_dmso__1,-9.8140227836,0.5828825608,0.8302627999000001,-0.43288717800000004,0.6215221205,-1.1704676525
abx_mega__ramo_h2o__1,5.4549620169,-0.9701385051,-0.8002749045,-0.1847626776,-0.7357496835,-0.1456506972
abx_mega__tec_h2o__2,2.4474771048,-0.8524414069,-1.6551107114999999,0.9230981104,-0.8809856715000001,-0.0240085228
abx_mega__h2o-7__1,4.3302041951,-1.405760481,0.21844817860000001,0.418788309,-0.332200824,0.5443759374
abx_mega__cro_h2o__1,5.9362795737,-2.0779262437,0.0879280571,0.2659133738,-0.7032624132,0.9783104235000001
abx_mega__tric_ethanol__1,2.9180783334,-0.1903310601,0.8900785727,-1.8737666673,0.5471721956,0.7166860521
