,A,PyrR
R2,,0.3999697025578266
xmin,,5.7675519625
xmid,,
xmax,,10.9453757519
ystart,,-22.22558898321051
yend,,2.93927000379216
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,-10.39581232,7.1558889885
USA300_LAC_U01-Set001_CAMHB_Control_1,0.518656655,10.0224089269
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,-11.9617182,9.0071907468
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,-13.18088002,8.9975820072
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,-11.22159195,8.7464031119
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,-10.14283899,7.038293812
USA300_LAC_U01-Set001_CAMHB_Control_2,-0.518656655,10.04346064
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,-12.52567767,9.0145941633
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,-13.15545803,8.8538173657
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,-11.05855858,8.7715156447
USA300_TCH1516_U01-Set000_CAMHB_Control_1,3.185680442,10.5658519064
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,-3.610498082,8.8999554937
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,-1.378246096,9.9788835212
USA300_LAC_U01-Set001_R10LB_PreCulture_1,-19.45973993,8.4166924289
USA300_LAC_U01-Set001_R10LB_PreCulture_2,-17.1915979,8.7243561924
USA300_LAC_U01-Set001_R10LB_Control_1,-23.46931024,6.7349061170999995
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,-22.79674202,7.132744098
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,-20.04815128,7.169655779
USA300_LAC_U01-Set001_R10LB_Control_2,-22.43761254,7.0606934945
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,-22.18322178,7.0972070901
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,-20.76111486,7.2749648763
USA300_TCH1516_U01-Set000_R10LB_Control_1,-15.28757105,6.9848060973
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,-14.66921687,6.5543826013
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,-14.90093019,6.7701464541
USA300_TCH1516_U01-Set000_R10LB_Control_2,-13.75644654,7.978812206
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,-15.04538612,6.7508987837
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,-15.01917521,6.9132931158
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,-8.446073975000001,8.7895911689
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,-5.597104283,9.320421685
USA300_TCH1516_U01-Set000_CAMHB_Control_2,-3.185680442,9.3229247708
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,-5.567153092,8.8988651186
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,-5.673937417,8.875543457500001
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,-7.3127026520000005,7.9408426212
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,-7.27153022,8.2168370719
USA300_LAC_U01-Set004_CAMHB_Control_1,-4.431688281,9.6847381766
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,-18.13702139,8.9859728788
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,-19.24990956,8.6850985665
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,-15.32097085,8.659135296
USA300_LAC_U01-Set004_CAMHB_Control_2,-10.02670391,9.2156178556
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,-15.60372554,9.3648673469
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,-18.06105368,8.858151555100001
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,-15.58106931,8.6490443749
USA300_LAC_U01-Set004_R10LB_Control_1,-22.98073868,7.5565916727
