,sieB
Cr_1,-0.004682348205241319
Cr_2,-0.006635482109335236
Cr_3,-0.007781096217422302
Cr_4,-0.022723228569668116
Cr_5,-0.04480936888308003
Cr_6,-0.06908777197860358
Fe_1,-0.015749813448813616
Fe_2,-0.041522891368201725
Fe_3,-0.05495584266715954
Fe_4,-0.06799050848187085
Fe_5,-0.08118103598623977
Fe_6,-0.09854401681229627
Cd_1,-0.0016338599943337552
Cd_2,-0.0014159101974319268
Cd_3,0.0011311408396961907
Cd_4,0.0007515254791657543
Cd_5,-0.0049387516913718295
Cd_6,-0.00730540304951815
Zn_1,-0.009044044287333712
Zn_2,-0.015321972012037844
Zn_3,-0.03698900815236269
Zn_4,-0.08079845888787526
Zn_5,-0.12485464587207087
Zn_6,-0.16284382154298638
Cu_1,0.0019760824644094225
Cu_2,0.0022275800396941675
Cu_3,0.0011367954483954591
Cu_4,0.0020435665176343548
Cu_5,0.004372127714424825
Cu_6,0.011348637784098009
Pb_1,-0.001517504813487053
Pb_2,0.0017218620402871636
Pb_3,-0.0016888674719693494
Pb_4,-0.006411892476454953
Pb_5,-0.003068931692473168
Pb_6,0.0017242885131732747
