,yjiJ
Cr_1,0.004071098620159115
Cr_2,0.008932646987642187
Cr_3,0.014716030222708837
Cr_4,0.02032518515689217
Cr_5,0.023041875659062343
Cr_6,0.02212680115199391
Fe_1,-0.0037488741930989844
Fe_2,-0.023354468964130844
Fe_3,-0.05762490045904577
Fe_4,-0.09541003428455416
Fe_5,-0.1281113220060483
Fe_6,-0.1567635252367089
Cd_1,0.0039408282485404325
Cd_2,0.007960265171737833
Cd_3,0.01059562765514646
Cd_4,0.014012416525694486
Cd_5,0.015416849305874775
Cd_6,0.020997266340904937
Zn_1,0.0011920192697132258
Zn_2,-0.0047982244413302885
Zn_3,-0.002189603058455564
Zn_4,-0.002688286863352949
Zn_5,-0.006025040733207485
Zn_6,-0.011659844828942036
Cu_1,0.013055943295929294
Cu_2,0.03186750723811526
Cu_3,0.05107384844385037
Cu_4,0.06754949812862046
Cu_5,0.08295670144060649
Cu_6,0.09355243204317387
Pb_1,0.00910348230057597
Pb_2,0.022317592087454062
Pb_3,0.034583497655486566
Pb_4,0.05122111356442281
Pb_5,0.0653668912436067
Pb_6,0.08417164190550115
