,araC
Cr_1,0.0018810467284198172
Cr_2,0.003706724492155475
Cr_3,0.00536411164940381
Cr_4,0.0027089274976391693
Cr_5,-0.00035421567336032465
Cr_6,-0.0007021073093193284
Fe_1,-0.0126205998343536
Fe_2,-0.039177068731414896
Fe_3,-0.03925436109083748
Fe_4,-0.05813107198749176
Fe_5,-0.07398569350839511
Fe_6,-0.08879812507688657
Cd_1,-0.0034000170890337443
Cd_2,-0.005745245106430897
Cd_3,-0.0026877831906678656
Cd_4,-0.001158566825676535
Cd_5,-0.005284449053164297
Cd_6,-0.006367089075093276
Zn_1,-0.04104989948662505
Zn_2,-0.03941876331984877
Zn_3,-0.013673059188425441
Zn_4,0.029008339529301826
Zn_5,0.06731145083898106
Zn_6,0.10105878239672003
Cu_1,0.007201512218661542
Cu_2,0.014472704724840912
Cu_3,0.024627435699718692
Cu_4,0.035910572163920344
Cu_5,0.04070472632782247
Cu_6,0.0524562019998073
Pb_1,0.002979595643487381
Pb_2,0.009311816825686586
Pb_3,0.028904710758551867
Pb_4,0.05750227856980384
Pb_5,0.08456626849451479
Pb_6,0.11154292530211338
