,fhlA
Cr_1,0.001975014402668732
Cr_2,0.0014667126459864028
Cr_3,0.011684830872011104
Cr_4,0.017421457369839518
Cr_5,0.02541273081628337
Cr_6,0.03462482176764512
Fe_1,-0.0002047143477960772
Fe_2,-0.030884133490075287
Fe_3,-0.07412280162493626
Fe_4,-0.12442992102717892
Fe_5,-0.17420583764423958
Fe_6,-0.21925583181344013
Cd_1,0.0037463336542754243
Cd_2,0.010544742213749162
Cd_3,0.016544536479694918
Cd_4,0.024354563679166788
Cd_5,0.02505897466451337
Cd_6,0.029469943915494432
Zn_1,0.009402699638869402
Zn_2,0.01593052968613616
Zn_3,0.0022741265401781093
Zn_4,-0.006835609106910469
Zn_5,0.008203471336729377
Zn_6,0.012523047415385978
Cu_1,0.003793576187939917
Cu_2,0.008073872732422877
Cu_3,0.0119399115498645
Cu_4,0.009664785840883951
Cu_5,0.006147687742641332
Cu_6,0.004140332058402203
Pb_1,0.002426561862280958
Pb_2,0.004228312666392007
Pb_3,0.006566931348231553
Pb_4,0.012383910055754569
Pb_5,0.031108229575429407
Pb_6,0.044580483725789065
