,yihX
Cr_1,0.00015024386848472388
Cr_2,0.002845791724202309
Cr_3,0.008445386643308562
Cr_4,0.01380511868998468
Cr_5,0.019878632951315138
Cr_6,0.025485645209012944
Fe_1,-0.004080395497660635
Fe_2,-0.027268397151637182
Fe_3,-0.04562520387801602
Fe_4,-0.0626671124792414
Fe_5,-0.09459035264489987
Fe_6,-0.11505638246942256
Cd_1,-0.00011791358218408979
Cd_2,0.0008195262775319358
Cd_3,0.001389482882983775
Cd_4,0.0014530005987076365
Cd_5,-0.004816365033768514
Cd_6,-0.0023986362590584075
Zn_1,-0.0043384015055954244
Zn_2,-0.01385636086919235
Zn_3,-0.015209968694885771
Zn_4,-0.013383362427966774
Zn_5,-0.010820777590348914
Zn_6,-0.010025249249110451
Cu_1,0.00793950120411623
Cu_2,0.014507957866838068
Cu_3,0.026280031445150624
Cu_4,0.026184230070039737
Cu_5,0.029454399335563257
Cu_6,0.03910269800984405
Pb_1,0.008171142531850476
Pb_2,0.016605733439629757
Pb_3,0.02165029491231092
Pb_4,0.034328815237034974
Pb_5,0.04976388182479016
Pb_6,0.06651100015714405
