,A,CsgD,RpoS,CpxR,BtsR,FliZ
R2,,0.922324252699006,0.14086141049340317,0.08086867832531541,0.04229869318990609,0.027662370408556458
xmin,,-6.009046678000001,-2.4793139040000005,-8.11516967,-4.8343927655000005,-3.0662954585000004
xmid,,-5.705090668751392,-0.7267245067786869,-3.7146379023996317,,1.9291315352280773
xmax,,3.9896274372636498,3.139938211880993,1.489093840999999,2.0558524395,7.1670466815
ystart,,-12.972376991324483,-4.968338275537388,-9.412039944779814,-6.406147813807559,-1.814155925892465
yend,,8.12886471257907,2.2074508209610753,1.6373307735552385,-0.40346471482726787,-4.578147282119107
control__wt_glc__1,-0.1345755985174948,0.17380059399999934,-0.049727751000000715,-0.016455943000000417,-0.030428714500000176,-0.12840505650000011
control__wt_glc__2,0.1345755985175184,-0.17380059400000025,0.049727751000000715,0.01645594299999864,0.030428714499999288,0.12840505650000011
fur__wt_dpd__1,1.4324092642780686,1.503557970999999,1.6503265020000004,0.4836166070000001,-0.8834644935000004,1.0272767964999998
fur__wt_dpd__2,1.3440565589807574,1.6066187659999978,1.6437026919999995,0.4819631480000002,-0.9988224215000004,1.0981969384999999
fur__wt_fe__1,-0.2065144876499551,-0.2479838170000006,-0.2294725589999995,-0.3482323360000006,-0.2289080135000008,-0.2973695505
fur__wt_fe__2,-0.4960849880014293,-0.42883168000000094,-0.2717253760000009,-0.4678698910000003,-0.3180537375000005,0.10511346150000024
fur__delfur_dpd__1,0.8246549665250038,1.4287346969999994,1.5271957219999999,0.4644351139999987,-0.5710975955000004,0.5904138854999998
fur__delfur_dpd__2,1.484060135013128,1.4847580049999989,1.2385445819999994,0.4589973650000001,-0.6268760275000007,0.6879863725000002
fur__delfur_fe2__1,-0.0096907693085358,-0.13282348000000074,0.6013075319999999,-0.2057016049999998,-0.12384482850000025,0.6539038714999998
fur__delfur_fe2__2,-0.0643094253961475,-0.2645747669999992,0.6226109219999998,-0.1691045400000002,-0.3873621985000009,0.4289630795000003
acid__wt_ph5__1,0.4308980055178968,0.3735967039999997,0.17730274899999898,-0.12207626600000054,-0.0055871365000008675,0.2596557334999998
acid__wt_ph5__2,0.8193364067485329,0.4124264169999989,0.18070148099999986,-0.09064453500000093,-0.046485210500000214,0.6502983585000002
acid__delgadx_ph5__2,-0.8727453232022786,-0.2306515150000008,0.041918445000000304,-0.03550277799999968,0.029019229499999355,0.6585149755000002
acid__delgadw_ph5__1,0.8125806892792311,0.2869455169999995,0.13294699599999935,-0.10232901400000037,0.15552945849999933,0.5825865305
acid__delgadw_ph5__2,0.7789363084691953,0.3553311849999989,0.028727889000000676,0.016478088999999585,-0.1696210985000004,0.8773572265
acid__delgade_ph5__1,1.1993153360725477,0.7253128699999989,0.245873005,0.0034160189999994373,-0.011485246500000379,0.30831335650000025
acid__delgade_ph5__2,0.9911535212670056,0.6722059249999992,0.3536770219999994,-0.023407665000000574,0.18372356049999986,0.6903257665000001
oxidative__wt_pq__1,-1.4793440979548256,0.8068567579999995,2.4493267319999994,0.16153106299999995,-0.7754807875000003,0.6379101804999999
oxidative__wt_pq__2,-1.5204236317506337,0.6581134889999998,2.150239471999999,0.2448777880000001,-0.6519271775000002,0.6319914995000002
oxidative__deloxyr_pq__1,-2.127206984712524,0.7623574329999991,1.9186836320000005,-0.10101905500000008,-0.6496301435000005,0.5573718185000001
oxidative__deloxyr_pq__2,-2.26265836729814,0.7203367129999991,1.8757188320000004,-0.11828549100000176,-0.6936894945000001,0.6224436555000001
oxidative__delsoxr_pq__1,1.0333782690797484,1.7013806969999994,2.1746498119999997,0.1309688960000006,-0.6605761675000004,0.7196819015000001
oxidative__delsoxr_pq__2,0.7425419902311478,1.5761734129999994,2.132365622,0.16416381700000038,-0.5743270965000011,0.1697800475000002
oxidative__delsoxs_pq__1,0.7044337888984217,1.775583240999998,2.4270615719999995,0.5578435850000005,-0.7462437495000005,0.6189384354999999
oxidative__delsoxs_pq__2,0.1181375833864547,1.7157113519999996,2.475274892,0.5878657159999996,-0.5246088725,0.8666765095000001
nac_ntrc__wt_csn__1,2.598659448653868,1.3600962799999987,1.849426562,0.4790759760000008,-0.7331625605000003,0.8967490334999999
nac_ntrc__wt_csn__2,3.055893526144988,1.3659564799999986,1.8262455620000004,0.4322015300000004,-0.6948758355000004,0.6943545345000001
nac_ntrc__wt_cytd__1,-3.418983038482836,-1.4245774100000004,0.9658633820000002,0.20730917799999915,-0.7579426125000008,-0.17596980350000013
nac_ntrc__wt_cytd__2,-3.060305012964008,-1.3292896450000002,0.8995555819999996,0.15735161099999928,-0.8039465935000001,0.4355141155000002
nac_ntrc__wt_gln__1,-0.2326268828553326,-0.4075208280000009,1.143877011999999,0.6617181129999992,-0.808671801500001,0.9296836405
nac_ntrc__wt_gln__2,-0.2590020203762471,-0.111068029000001,1.201356272,0.5436341450000004,-0.735601806500001,0.7808863245000001
nac_ntrc__bw_delnac_csn__1,2.8264291746035983,2.007248354999998,2.1708239119999995,0.7312337370000002,-0.05574996050000092,0.9823133014999996
nac_ntrc__bw_delnac_csn__2,0.480249234046379,1.0181110579999997,2.3634965119999998,0.8983527499999989,-0.37756620650000094,0.5109296264999998
nac_ntrc__bw_delnac_cytd__1,-1.1446494415805877,-0.4111611590000006,1.560056101999999,0.36012009299999903,-0.2824232345000004,0.4909895845000003
nac_ntrc__bw_delnac_cytd__2,-1.2471924042590434,-0.5697657510000003,1.5728261719999992,0.2821744499999994,-0.1412460985000008,0.3315756375000003
nac_ntrc__bw_delnac_gln__1,0.0785463671129796,0.3130321379999996,1.4617363419999998,0.37726644600000014,-0.6042938115000007,1.1338019695000003
nac_ntrc__bw_delnac_gln__2,0.0760555817091248,0.4530896869999994,1.4067977519999992,0.4431282119999995,-0.3686735245000001,0.8423167795000001
nac_ntrc__bw_delnac_nh4__1,-1.1526424684779744,-0.4907301270000009,0.3601772620000005,-0.045097728,0.010371337499999632,4.1206323985000015
nac_ntrc__bw_delnac_nh4__2,-2.116459913618675,-0.8451831220000008,0.3699574519999995,-0.04723138200000143,-0.2652228265000005,4.1800953755000005
misc__wt_no_te__1,3.4619044242012347,1.6426698339999994,0.924456952,0.26560557600000045,-0.30688066250000023,0.4729487655
misc__wt_no_te__2,1.8867621274136133,0.8973421549999987,0.42003344199999937,0.2146137449999994,-0.4729037855000007,0.4528387015000002
misc__bw_delcbl__1,0.1393801608911616,0.03076403099999947,0.244772523,-0.36555257100000027,0.31940149949999963,0.33305877750000024
misc__bw_delcbl__2,0.517875175226318,0.06306859499999895,0.07157739500000028,-0.2906720360000001,0.24382020949999905,0.4261567565000002
misc__bw_delfabr__1,-2.068260315124009,-1.3331455070000002,-0.2551086290000004,-0.4935052310000003,0.3845681684999995,5.0187083265
misc__bw_delfabr__2,-2.310513218068305,-1.3613574350000004,-0.16277256400000084,-0.4060639290000001,0.2867119014999995,5.066561258500001
misc__bw_delfadr__1,-0.1246701624254965,-0.13224664700000055,0.10687962199999924,-0.1312389310000004,-0.17852865050000055,2.3434754144999994
misc__bw_delfadr__2,0.3772018825061177,0.01095154699999945,0.19751071299999975,-0.08853386200000024,-0.04356737650000042,2.6874843104999995
misc__nitr_031__1,2.330743164734611,0.9546058309999994,1.1360686920000005,0.5611967260000004,-0.5931653355000002,0.27166378850000017
omics__wt_glu__1,-0.6710736516025574,0.2119378399999992,-0.23051727,1.100875521999999,-0.5825948125,0.9750987565000004
