,-0.09774325327605107,-0.06981660948289362,-0.04188996568973616,-0.013963321896578701,0.013963321896578756,0.041889965689736214,0.06981660948289367,0.09774325327605113,0.12566989706920859,0.15359654086236604,0.1815231846555235,0.20944982844868096,0.23737647224183842,0.2653031160349959,0.29322975982815336,0.3211564036213108,0.3490830474144683,0.37700969120762573,0.4049363350007832,0.43286297879394064
thresh,-0.1117065751726298,0.1117065751726298,11,,,,,,,,,,,,,,,,,
unreg,0,0,35,1964,1821,41,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CpxR,0,0,2,23,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FliZ,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CsgD,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoS,0,0,2,134,144,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BtsR,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CpxR and RpoS,0,0,0,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FliZ and RpoS,0,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CsgD and RpoS,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoS and BtsR,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CpxR, FliZ, CsgD, RpoS, and BtsR",0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,2,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
CpxR_genes,[],[],['dsbA' 'spy'],"['aroG' 'ldtD' 'yqaE' 'motA' 'sbmA' 'efeU' 'ung' 'tsr' 'mscM' 'dgcZ'
 'acrD' 'cheW' 'yaiW' 'srkA' 'motB' 'hha' 'skp' 'yidQ' 'dsbC' 'yccA'
 'lpxA' 'bamE' 'psd']","['marR' 'mzrA' 'degP' 'lpxD' 'ppiD' 'yqjA' 'cheA' 'yebE' 'fabZ' 'ppiA'
 'ftnB' 'ldtC' 'marB' 'bacA' 'cpxP' 'tomB' 'marA' 'slt']",['yjfN'],['ompC'],[],[],[],[],[],[],[],[],[],[],[],[],[]
FliZ_genes,[],[],['yjbJ'],[],['flhD' 'flhC'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
CsgD_genes,[],[],[],['fliF' 'fliH' 'tcyJ' 'fliJ' 'fliK' 'yhbT' 'pepD' 'flgM' 'fliG' 'yhbS'],['fliE' 'iraP' 'nlpA' 'fliI' 'flgN' 'fliA' 'fliZ' 'yccT'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
