,0
name,Curli-1
TF,RpoS+FliZ+CpxR+CsgD+BtsR
regulator,"<a href=""http://regulondb.ccg.unam.mx/sigmulon?term=ECK125110294&organism=ECK12&format=jsp&type=sigmulon"" target=""_blank"">RpoS</a> and <a href=""http://regulondb.ccg.unam.mx/regulon?term=ECK125141939&organism=ECK12&format=jsp&type=regulon"" target=""_blank"">FliZ</a> and <a href=""http://regulondb.ccg.unam.mx/regulon?term=ECK120011210&organism=ECK12&format=jsp&type=regulon"" target=""_blank"">CpxR</a> and <a href=""http://regulondb.ccg.unam.mx/regulon?term=ECK120013342&organism=ECK12&format=jsp&type=regulon"" target=""_blank"">CsgD</a> and <a href=""http://regulondb.ccg.unam.mx/regulon?term=ECK125145850&organism=ECK12&format=jsp&type=regulon"" target=""_blank"">BtsR</a>"
function,Curli secretion and assembly
category,Extracellular Structures
has_venn,True
scatter,5
exp_var,0.0038668913830923746
precision,1.0
recall,0.8571428571428571
