,dps
Cr_1,0.005508518292658375
Cr_2,0.012188046162318623
Cr_3,0.01933693508957227
Cr_4,0.027369102412175737
Cr_5,0.03263359067078015
Cr_6,0.03437575032108207
Fe_1,-0.009460358588678332
Fe_2,-0.014382388676495862
Fe_3,-0.012435772111928487
Fe_4,-0.012923064028743684
Fe_5,-0.0029746563475814398
Fe_6,0.011702086005607166
Cd_1,0.0022843255869305326
Cd_2,0.0071018332127612315
Cd_3,0.011390332915339856
Cd_4,0.016681771392096516
Cd_5,0.017729130066122024
Cd_6,0.022719607855984068
Zn_1,0.0011670745177944945
Zn_2,0.004676236272627205
Zn_3,0.02185986864277507
Zn_4,0.03975945971008324
Zn_5,0.056728336076412006
Zn_6,0.06967687732762219
Cu_1,0.002766053014490107
Cu_2,0.008732620350859945
Cu_3,0.01307474474165017
Cu_4,0.01740156027498799
Cu_5,0.02043952149979077
Cu_6,0.029074750395710818
Pb_1,0.005115076703096379
Pb_2,0.008944905267265987
Pb_3,0.017196588231531664
Pb_4,0.023763093997497656
Pb_5,0.03136607459373543
Pb_6,0.03927577327887431
