,A,GacA
R2,,0.15125935228358056
xmin,,-1.8997885585
xmid,,1.2038890551701364
xmax,,3.6428422906
ystart,,3.1449770849893657
yend,,-22.87721577289535
AB0057_PGcoculture__PGAB__1.0,3.3780807532,0.4573935193
AB0057_PGcoculture__PGAB__2.0,1.9168559359000001,0.3390989216
AB0057_PGcoculture__PGAB__3.0,4.2497129165,0.2222311707
AB0057_PGcoculture__AB __1.0,0.1636063314,0.0810181074
AB0057_PGcoculture__AB __2.0,-0.47781866510000004,-0.0588276669
AB0057_PGcoculture__AB __3.0,-0.10451039100000001,0.0067155417
AB0057_PGcoculture__AB __4.0,0.4187227247,-0.0289059822
AB0057_PGcoculture__ABPG__1.0,1.3461995859,-1.0644788912
AB0057_PGcoculture__ABPG__2.0,0.9081786118,-1.0121398278
AB0057_PGcoculture__ABPG__3.0,-0.8983802143,-0.1445232014
AB0057_PGcoculture__ABPG__4.0,0.5145158753,-0.9336943131000001
AB5075_AZI__AZI_000__1.0,0.0523037088,-0.0762510644
AB5075_AZI__preculture__1.0,-14.773157319,0.4753234859
AB5075_AZI__preculture__2.0,-14.9232062287,0.4982916874
AB5075_AZI__AZI_040__1.0,-19.3169158899,-0.4420083308
AB5075_AZI__AZI_028__1.0,0.4738138684,0.3361617387
AB5075_AZI__AZI_003__1.0,0.1622793066,-0.0129487675
AB5075_AZI__AZI_000__2.0,-0.0523037088,0.0762510644
AB5075_AZI__AZI_040__2.0,-22.2029310672,-0.5234691777
AB5075_AZI__AZI_028__2.0,-0.6470723546,0.3694559189
AB5075_AZI__AZI_003__2.0,0.4174278161,0.0597582719
AB5075_VIR-O_AV-T__AV-T/vector__1.0,-0.2980601774,0.0945789815
AB5075_VIR-O_AV-T__VIR-O/vector__1.0,1.2017069707,-0.5628426677
AB5075_VIR-O_AV-T__VIR-O/vector__2.0,-1.8820046865000002,0.1858060761
AB5075_VIR-O_AV-T__VIR-O/vector__3.0,0.6802977158,0.3770365916
AB5075_VIR-O_AV-T__VIR-O/1645__1.0,8.6343986756,-0.6300795194000001
AB5075_VIR-O_AV-T__VIR-O/1645__2.0,9.8364362573,-0.0728253138
AB5075_VIR-O_AV-T__VIR-O/1645__3.0,12.0287404688,-0.2177394833
AB5075_VIR-O_AV-T__AV-T/vector__2.0,2.5719347184,-0.4307157485
AB5075_VIR-O_AV-T__AV-T/vector__3.0,3.2829877143,-0.2856666297
AB5075_VIR-O_LSO__VIR-O__1.0,1.5338361988,-0.0317344026
AB5075_VIR-O_LSO__LSO__1.0,-1.9144382493,-0.1479488474
AB5075_VIR-O_LSO__VIR-O__2.0,0.31000066670000004,-0.1465568183
AB5075_VIR-O_LSO__LSO__2.0,-2.7736598986,-0.6570265664
AB5075_VIR-O_LSO__VIR-O__3.0,-1.8438368655000001,0.17829122090000002
AB5075_VIR-O_LSO__LSO__3.0,-2.374864692,0.1585877775
AB5075_Zinc__Control__1.0,-1.3527501872,0.2840663147
AB5075_Zinc__Control__2.0,2.9329660212,-0.4780313671
AB5075_Zinc__Control__3.0,-1.580215834,0.1939650524
AB5075_Zinc__Zinc__1.0,8.9194827547,1.0403568261
AB5075_Zinc__Zinc__2.0,8.3754708531,0.6439680493000001
AB5075_biofilm+abx__planktonic__1.0,2.6483571913,0.5865595275000001
AB5075_biofilm+abx__planktonic__2.0,-6.0008418889,-0.3245515087
AB5075_biofilm+abx__biofilm__1.0,-15.9804215633,2.5832848564
AB5075_biofilm+abx__planktonic__3.0,3.3524846976,-0.2620080188
AB5075_biofilm+abx__biofilm__2.0,-8.3538311098,1.9538708677
AB5075_biofilm+abx__biofilm__3.0,-9.8217002815,2.1984123648000002
AB5075_biofilm+abx__cip_biofilm__1.0,-15.9445847867,3.6428422906
AB5075_biofilm+abx__cip_biofilm__2.0,-14.3730478572,2.825127349
AB5075_biofilm+abx__tet_biofilm__1.0,-14.8378445127,1.7148697686
AB5075_biofilm+abx__cip_biofilm__3.0,-14.2176495941,3.1609235526
AB5075_biofilm+abx__tet_biofilm__2.0,-12.9711459844,1.7646826663000001
AB5075_biofilm+abx__tet_biofilm__3.0,-16.0086854196,2.7703863783
AB5075_gigAB__kan_gigB__1.0,19.9058592777,-0.2501734603
AB5075_gigAB__kan_gigB__2.0,18.3250983721,-0.41463338920000004
AB5075_gigAB__kan_gigB__3.0,17.6391438447,0.2038805487
AB5075_gigAB__gigB__1.0,7.4691728502,0.701141435
AB5075_gigAB__gigB__2.0,11.6770946187,0.5686996615000001
AB5075_gigAB__gigB__3.0,12.6864624579,0.3141967358
AB5075_gigAB__kan_gigA__1.0,14.1284497701,0.8238433077
AB5075_gigAB__kan_gigA__2.0,12.577089548,0.3555617333
AB5075_gigAB__kan_gigA__3.0,19.4038308416,-0.5193514673
AB5075_gigAB__gigA__1.0,11.4463580901,0.0625027851
AB5075_gigAB__gigA__2.0,4.1366675825,0.0684458703
AB5075_gigAB__gigA__3.0,8.1663378265,-0.0111601188
AB5075_gigAB__kan_WT__1.0,16.141290691,1.2038906581
AB5075_gigAB__kan_WT__2.0,16.0208989966,1.0753103062
AB5075_gigAB__kan_WT__3.0,15.1506305171,1.2240355576
AB5075_gigAB__WT__1.0,-2.853161963,0.5876856758
AB5075_gigAB__WT__2.0,3.0497779675,0.6922424272000001
AB5075_gigAB__WT__3.0,-0.1966160045,-1.279928103
AB5075_med__CA-MHB__1.0,1.48943366,0.4420900983
AB5075_med__CA-MHB__2.0,2.6286805865,-0.0587607287
AB5075_med__CA-MHB_pH6__1.0,3.8682773927,-0.2236562632
AB5075_med__CA-MHB_pH6__2.0,5.3548780966,-0.0119727705
AB5075_med__RPMI+_pH7__1.0,12.0860103787,-0.2077461073
AB5075_med__RPMI+_pH7__2.0,15.7562610563,0.5583076606
