,fruL
Cr_1,0.005077553924176491
Cr_2,0.006570689799623582
Cr_3,0.00875139784887875
Cr_4,0.015226321687870725
Cr_5,0.02065776225382346
Cr_6,0.022967450736314177
Fe_1,-0.014221088671072604
Fe_2,-0.02499486441761007
Fe_3,-0.022502330421008077
Fe_4,-0.014872079761718709
Fe_5,-0.009682686175994524
Fe_6,0.0034587202245976657
Cd_1,0.007221099615323091
Cd_2,0.01358228734874658
Cd_3,0.021653068818543002
Cd_4,0.025523342764589646
Cd_5,0.02167698943560186
Cd_6,0.025362016415254204
Zn_1,-0.009494159621357388
Zn_2,-0.00507827370179771
Zn_3,0.012745243658055464
Zn_4,0.030427040277831875
Zn_5,0.048364075016467986
Zn_6,0.05718871313334677
Cu_1,0.003927538307903411
Cu_2,-0.00032096126792222453
Cu_3,0.004192118477821586
Cu_4,0.008858808450659589
Cu_5,0.018241944194516867
Cu_6,0.023831502101420408
Pb_1,-0.007917948031795753
Pb_2,-0.007164385664749262
Pb_3,0.0004067393580953314
Pb_4,-0.0007688029185107495
Pb_5,0.012090936450640471
Pb_6,0.019633276982446515
