,ygeI
Cr_1,0.004066800039131929
Cr_2,0.00871760819298652
Cr_3,0.014172471727178691
Cr_4,0.024120049701809424
Cr_5,0.030079426210355805
Cr_6,0.034361529169732154
Fe_1,-0.003879170933455836
Fe_2,0.001002306411200447
Fe_3,2.631127881673575e-06
Fe_4,-0.001774180704360125
Fe_5,-0.011147097063233257
Fe_6,-0.024009291806155117
Cd_1,0.008914333984050508
Cd_2,0.013432834254723604
Cd_3,0.01893677613394104
Cd_4,0.022780993997692355
Cd_5,0.0274977502763126
Cd_6,0.03895729038510955
Zn_1,-0.004935761517067654
Zn_2,-0.0057500126839353
Zn_3,0.0015097981963105435
Zn_4,0.0006329954853113036
Zn_5,-0.0006759560523089233
Zn_6,-0.00915395381020569
Cu_1,0.009585293845195344
Cu_2,0.02815140725154202
Cu_3,0.045995308577433267
Cu_4,0.0617558753093608
Cu_5,0.07547130940681107
Cu_6,0.09258694956620862
Pb_1,0.007644331425639438
Pb_2,0.01427616545997834
Pb_3,0.02300636249939416
Pb_4,0.033854773964579185
Pb_5,0.047486906675365384
Pb_6,0.061394077113040166
