,A,PhoB
R2,,0.08125471719162847
xmin,,-5.282633958
xmid,,-0.08631371227261984
xmax,,6.6003753077
ystart,,0.28053806583647445
yend,,9.365355201751887
aat__00m_00s__1,2.8393919951,0.3736209963
aat__00m_30s__1,-0.4101073697,0.3092767386
aat__01m_00s__1,-0.3870714368,0.1071695153
aat__02m_00s__1,0.0464704921,-0.0354846045
aat__05m_00s__1,0.2407521525,-0.004834169100000001
aat__10m_00s__1,0.1557021748,-0.2768318768
aat__00m_00s__2,-1.0209149507,0.1209835694
aat__00m_30s__2,-1.6291881332,-0.3438789714
aat__01m_00s__2,1.5327574443,0.045306833000000005
aat__02m_00s__2,-0.1569141607,0.0237810422
aat__05m_00s__2,0.4163999161,0.1683480255
aat__10m_00s__2,2.9933215942,0.48406726390000004
aat__00m_00s__3,-1.8184770444,-0.4946045657
aat__00m_30s__3,1.5398783215,0.2967492266
aat__01m_00s__3,0.0751143429,0.37314838110000004
aat__02m_00s__3,-0.0522696847,0.21336745340000002
aat__05m_00s__3,2.2543838166,0.2474174562
aat__10m_00s__3,2.3201500023,0.414768939
abx_mega__dmso-2__1,2.8429559272000002,0.5690507049
abx_mega__ery_dmso__1,8.3996056181,0.2523477458
abx_mega__nal_naoh__1,2.0139895473,0.2758994782
abx_mega__dmso-5__1,5.8745459795,0.0245192425
abx_mega__rif_dmso__1,11.7306035212,0.9713270068000001
abx_mega__novo_h2o__1,7.4276732952,0.0085838434
abx_mega__rach_dmso__1,0.2700481898,0.0307001067
abx_mega__metro_dmso__1,1.6423818878,0.1898039424
abx_mega__dmso-6__1,0.9395535412,0.340787811
abx_mega__chl_h2o__1,1.9913773075,-0.2040500074
abx_mega__cst_h2o__1,-0.1222969213,0.2741072185
abx_mega__tec_h2o__1,6.9046224476999996,0.8370211807
abx_mega__str_h2o__1,5.3541790733,-0.5995836873
abx_mega__ctx_h2o__1,0.0769779579,0.058267324200000005
abx_mega__nal_naoh__2,0.24709153660000002,-0.0433894549
abx_mega__phos_h2o__1,-0.3044839981,-0.2616926122
abx_mega__dmso-5__2,6.1983886007,0.173810756
abx_mega__polmyx_h2o__1,-0.1534749558,-0.22045426610000002
abx_mega__h2o-8b__1,0.22612855440000001,-0.22763794780000002
abx_mega__h2o-6__1,-0.0569425413,0.10388259130000001
abx_mega__thio_dmso__1,0.9499848232,-0.7833564989
abx_mega__phos_h2o__2,-0.3781588225,-0.5554870417000001
abx_mega__ctx_h2o__2,0.592127846,-0.9835943254
abx_mega__lzd_dmso__1,5.2103301539,-0.4632936776
abx_mega__naoh-9__1,-0.9951084602,0.0722413033
abx_mega__dox_dmso__1,-0.0300394005,-0.7511979774
abx_mega__phos_ethanol__1,-1.1851420664,-0.6149121879
