,cobU
Cr_1,0.0014604486037572493
Cr_2,0.006475861930563998
Cr_3,0.01841616186727705
Cr_4,0.012711260893603644
Cr_5,0.007463457298664792
Cr_6,0.008618179907819995
Fe_1,-0.02126477857629581
Fe_2,-0.04258371423717247
Fe_3,-0.0739816906570434
Fe_4,-0.0970668963325184
Fe_5,-0.11133906106080184
Fe_6,-0.12927723261036514
Cd_1,0.007331453367323365
Cd_2,0.007660494555115763
Cd_3,0.02590972395733381
Cd_4,0.040458117909827916
Cd_5,0.030200762134501975
Cd_6,0.052282962720694486
Zn_1,0.0017317472865923033
Zn_2,0.0033402282850714467
Zn_3,0.06728681119057754
Zn_4,0.12218117642666795
Zn_5,0.12981028943751846
Zn_6,0.15261093021747238
Cu_1,0.012713005332234502
Cu_2,0.021198389994481204
Cu_3,0.028941233644322294
Cu_4,0.03739229766290278
Cu_5,0.03815820062138425
Cu_6,0.04651964347515301
Pb_1,0.004976728271334593
Pb_2,0.012753711689877906
Pb_3,0.016955109431557803
Pb_4,0.016592850966621414
Pb_5,0.020704087984573388
Pb_6,0.023238670798018567
