,-0.1341976241111111,-0.11840966833333333,-0.10262171255555555,-0.08683375677777777,-0.07104580099999999,-0.05525784522222221,-0.039469889444444434,-0.023681933666666655,-0.007893977888888876,0.007893977888888903,0.023681933666666682,0.03946988944444446,0.05525784522222224,0.07104580100000002,0.0868337567777778,0.10262171255555558,0.11840966833333336,0.13419762411111116,0.14998557988888891,0.16577353566666667
thresh,-0.14209160199999998,0.14209160199999998,1,,,,,,,,,,,,,,,,,
unreg,0,2,0,2,3,15,49,305,2572,2543,324,39,6,11,1,0,0,2,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['S1210'],[]
