,yfgA
Cr_1,0.005350962827612437
Cr_2,0.011419217379187364
Cr_3,0.014783952322797906
Cr_4,0.02275547111829806
Cr_5,0.01620250167331572
Cr_6,0.009184159419834444
Fe_1,-0.01959827588060199
Fe_2,-0.048759788436865265
Fe_3,-0.07569245376892049
Fe_4,-0.11517838702046715
Fe_5,-0.16037515023143373
Fe_6,-0.20316381567410405
Cd_1,0.0016817072955077658
Cd_2,0.0053293244369881825
Cd_3,0.007189093943987325
Cd_4,0.01075253810856197
Cd_5,0.007333150386701511
Cd_6,0.0056368788268907405
Zn_1,0.029227073792773225
Zn_2,-0.026754725993005428
Zn_3,-0.053390628099996326
Zn_4,0.02489350380862184
Zn_5,0.06324363394542941
Zn_6,0.0898900559049342
Cu_1,0.0040155723982902
Cu_2,0.010773423074530487
Cu_3,0.015914301359939896
Cu_4,0.022019008108738882
Cu_5,0.031248871397852963
Cu_6,0.038440386739795836
Pb_1,0.003928155636435376
Pb_2,0.005565469277996701
Pb_3,0.01656970743068568
Pb_4,0.02263126731700845
Pb_5,0.039771607925663664
Pb_6,0.06343558680766236
