,-0.11003711823471823,-0.07335807882314549,-0.036679039411572745,0.0,0.036679039411572745,0.07335807882314549,0.11003711823471823,0.14671615764629098,0.18339519705786372,0.22007423646943647,0.2567532758810092,0.29343231529258196,0.3301113547041547,0.36679039411572745,0.4034694335273002,0.4401484729388729,0.4768275123504457,0.5135065517620185,0.5501855911735911,0.5868646305851639
thresh,-0.1283766379405046,0.1283766379405046,9,,,,,,,,,,,,,,,,,
unreg,0,0,31,3699,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PdhR,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF,0,0,2,181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArcA,0,0,7,170,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PdhR and ArcA,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GlcC and ArcA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF and ArcA,0,0,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PdhR, IHF, and ArcA",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PdhR, GlcC, IHF, and ArcA",0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
PdhR_genes,[],[],['tomB'],"['fecE' 'hha' 'mraZ' 'lpxC' 'ftsA' 'pdhR' 'mraY' 'ftsW' 'ftsZ' 'ftsL'
 'murF' 'fecC' 'ftsQ' 'fecD' 'rsmH' 'fecB' 'murE' 'murD' 'ddlB' 'ftsI'
 'murG' 'fecA' 'hemL' 'murC']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
IHF_genes,[],[],['flhD' 'paaH'],"['ulaC' 'paaI' 'glpQ' 'pstA' 'proX' 'ilvD' 'fliA' 'dcuD' 'plaR' 'paaD'
 'pspE' 'ulaA' 'sodB' 'hycI' 'flhC' 'phoU' 'ilvA' 'dppC' 'glnP' 'hycH'
 'pstB' 'ulaG' 'dppB' 'ssuB' 'tdcF' 'mtr' 'fhlA' 'tdcE' 'ihfA' 'ilvE'
 'nirD' 'paaG' 'paaZ' 'tdcD' 'narG' 'uspB' 'yiaM' 'narH' 'yeiL' 'rpoE'
 'ulaD' 'tdcG' 'hycA' 'ompR' 'fimC' 'hypD' 'tcyJ' 'yadV' 'nrfA' 'fimI'
 'fliZ' 'proW' 'hemF' 'pstC' 'pspA' 'ulaE' 'csgF' 'ilvM' 'ulaF' 'rseB'
 'paaF' 'ompC' 'yjbF' 'gltD' 'yiaK' 'hipA' 'nrfC' 'gltF' 'rtcB' 'rpoH'
 'norV' 'gcd' 'yiaL' 'rseD' 'hycE' 'yjbH' 'sgbE' 'hipB' 'paaE' 'rtcA'
 'fimA' 'ssuE' 'glpT' 'dppD' 'envZ' 'nrfE' 'pspG' 'amiA' 'narI' 'proV'
 'dmsA' 'glnQ' 'sufA' 'dps' 'hypB' 'hypE' 'paaB' 'pspC' 'sufB' 'lyxK'
 'folA' 'sufS' 'glnH' 'cysG' 'htrE' 'atoE' 'atoB' 'yiaO' 'nrfD' 'sgbU'
 'ulaB' 'hycD' 'patA' 'hycC' 'nirC' 'osmE' 'gltB' 'rseA' 'tyrP' 'nrfB'
 'adiA' 'dusB' 'fimF' 'rseC' 'fimH' 'csgE' 'pspD' 'tdcA' 'hycF' 'atoD'
 'dmsC' 'fimG' 'dppF' 'fis' 'csgD' 'yjbG' 'hypC' 'sufE' 'nrfF' 'dmsB'
 'sufD' 'sufC' 'ompF' 'yjbE' 'yiaN' 'atoA' 'pspB' 'ibpB' 'acs' 'norW'
 'uspA' 'carB' 'csgG' 'hpt' 'paaC' 'fimD' 'cysJ' 'hypA' 'sgbH' 'narJ'
 'hycG' 'tdcC' 'ssuA' 'paaA' 'fimB' 'ssuD' 'yjcH' 'nrfG' 'paaJ' 'ihfB'
 'sra' 'hycB' 'cysI' 'tdcB' 'cysH' 'nirB' 'ssuC' 'narK' 'pstS' 'actP'
 'paaK']",['ilvG'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
ArcA_genes,[],[],['dcuC' 'ptsG' 'citE' 'puuD' 'hyaD' 'hybG' 'sdhC'],"['citD' 'mqo' 'yigI' 'dpiA' 'aldA' 'lldD' 'hybF' 'argT' 'hyaF' 'hybB'
 'oppA' 'cadB' 'hybE' 'rplP' 'puuR' 'citG' 'glpD' 'rpmC' 'citC' 'folE'
 'ydeA' 'rpsQ' 'rpsC' 'rutG' 'dcuB' 'caiA' 'hyaA' 'kdpA' 'hybC' 'gadX'
 'tpx' 'yejG' 'dcuA' 'rutA' 'cydA' 'citF' 'rho' 'rplB' 'fadI' 'caiB'
 'rutE' 'sdhA' 'ynaJ' 'pntA' 'dsbB' 'rplV' 'mdh' 'ybfA' 'hyaB' 'rstA'
 'nudE' 'fumB' 'hybD' 'cydC' 'gadE' 'ypdA' 'thiC' 'citX' 'appC' 'moeA'
 'cadA' 'caiC' 'putA' 'gatZ' 'nupC' 'gatA' 'cydD' 'acpP' 'sdhB' 'gatD'
 'puuE' 'glpC' 'yhjE' 'gatY' 'uvrA' 'yhgE' 'ackA' 'cydB' 'ompW' 'ybdN'
 'ydgC' 'rplC' 'ndk' 'oppB' 'puuC' 'rplD' 'glpB' 'rpsS' 'rplW' 'glpA'
 'arcA' 'rutB' 'sdhD' 'rmf' 'fadJ' 'xylR' 'hyaE' 'moeB' 'rutC' 'glpE'
 'caiE' 'dpiB' 'yieE' 'caiT' 'dctA' 'yncD' 'yfiF' 'appA' 'puuP' 'fadH'
 'caiD' 'xthA' 'gatC' 'argR' 'rhaT' 'yeiQ' 'betB' 'puuB' 'manA' 'gadA'
 'thrA' 'hybA' 'ymjE' 'betI' 'betA' 'oppC' 'pncB' 'fadE' 'rpsJ' 'ybiU'
 'ssb' 'fumA' 'hyaC' 'rutF' 'yjiR' 'pepN' 'fumC' 'iraM' 'hybO' 'appB'
 'msrB' 'lldR' 'gatB' 'kgtP' 'oppF' 'csiD' 'oppD' 'cycA' 'rpoS' 'acnA'
 'betT' 'appY' 'feoA' 'puuA' 'rutD' 'lldP' 'pldA' 'yncE' 'sstT' 'fadB'
 'icd' 'treC' 'igaA' 'fadL' 'sthA' 'treB' 'acnB' 'putP' 'fadD' 'fadA']",['potF' 'phoH' 'rsd'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
PdhR and ArcA_genes,[],[],[],['aceF' 'cyoA' 'cyoB' 'cyoE' 'aceE' 'cyoD' 'lpd' 'cyoC' 'grcA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
GlcC and ArcA_genes,[],[],['glcC'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
IHF and ArcA_genes,[],[],[],"['sodA' 'nuoJ' 'ubiC' 'dppA' 'fnr' 'hemA' 'osmY' 'nuoK' 'nuoH' 'nuoL'
 'prfA' 'sucB' 'nuoI' 'pflB' 'sucA' 'nuoN' 'prmC' 'sucC' 'nuoM' 'sucD'
 'nuoG' 'gltA' 'nuoA' 'nuoB' 'focA' 'ubiA' 'nuoC' 'nuoF' 'carA' 'nuoE']",['aceB' 'aceK' 'aceA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"PdhR, IHF, and ArcA_genes",[],[],[],['ndh'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"PdhR, GlcC, IHF, and ArcA_genes",[],[],[],[],[],[],[],[],[],['glcA'],[],['glcB'],['glcF' 'glcG'],[],[],['glcE' 'glcD'],[],[],[],[]
