,folA
Cr_1,0.007871960334392112
Cr_2,0.02032671962985624
Cr_3,0.032396413922637673
Cr_4,0.04371077413563648
Cr_5,0.05480897301357074
Cr_6,0.06189264911964771
Fe_1,-0.005743777174575243
Fe_2,-0.01778410463229204
Fe_3,-0.03528872911653405
Fe_4,-0.058330032126145535
Fe_5,-0.07499709396664303
Fe_6,-0.08617526522084616
Cd_1,-0.001396410029966604
Cd_2,-0.0012882502396151887
Cd_3,-0.00116938311107084
Cd_4,-0.002538671111096005
Cd_5,-0.008229823931972597
Cd_6,-0.0062088080658684475
Zn_1,-0.0010059446588649118
Zn_2,-0.0011981434187301227
Zn_3,0.0016067891453363664
Zn_4,0.007068097475737697
Zn_5,0.012362967251504509
Zn_6,0.017198680501947047
Cu_1,0.0004976666194724043
Cu_2,0.00036913242335878855
Cu_3,-0.00032186711761321933
Cu_4,-0.003224356399281794
Cu_5,-0.004774460675975388
Cu_6,-0.005399681071104707
Pb_1,0.003339803709092311
Pb_2,0.007407568066070408
Pb_3,0.01309801395763633
Pb_4,0.020666995214890387
Pb_5,0.030136125389137812
Pb_6,0.04021425030892308
