,rne
Cr_1,-0.005066261251040061
Cr_2,0.0018871848975675718
Cr_3,-0.0009019302941603881
Cr_4,-0.006245191590901707
Cr_5,0.0002958457571432843
Cr_6,0.0009645572829445323
Fe_1,-0.02178862694350657
Fe_2,-0.06053605496291349
Fe_3,-0.07084489221811444
Fe_4,-0.08301210555412449
Fe_5,-0.08274001401346237
Fe_6,-0.06939223701691914
Cd_1,0.0006723032413302282
Cd_2,-0.0007240796052015159
Cd_3,0.007466584926218833
Cd_4,0.007402610700928891
Cd_5,-0.00031123882036996036
Cd_6,-0.0025532297377295144
Zn_1,-0.03317378036309625
Zn_2,-0.02633935549867953
Zn_3,-0.0018262886319101558
Zn_4,0.04189159895724563
Zn_5,0.3476722721144404
Zn_6,1.7431209261334828
Cu_1,0.0018782112935985106
Cu_2,0.003771381793631836
Cu_3,0.007750257255937577
Cu_4,0.015204451126895622
Cu_5,0.02558891022942332
Cu_6,0.03850113463868916
Pb_1,-0.003682270906070653
Pb_2,0.015596618303254775
Pb_3,0.029207403961188882
Pb_4,0.02951377482566607
Pb_5,0.046876303799786384
Pb_6,0.05388096790338474
