,-0.1213023505909091,-0.10782431163636365,-0.0943462726818182,-0.08086823372727274,-0.06739019477272729,-0.05391215581818183,-0.04043411686363638,-0.026956077909090922,-0.013478038954545468,-1.3877787807814457e-17,0.01347803895454544,0.02695607790909088,0.04043411686363635,0.05391215581818182,0.06739019477272726,0.0808682337272727,0.09434627268181817,0.10782431163636363,0.12130235059090907,0.13478038954545452
thresh,-0.07412921425,0.07412921425,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,1,1,10,21,195,1288,2923,1216,205,22,7,8,5,2,1,0,0
unreg_genes,['PSPTO_0679'],[],[],['PSPTO_RS21030'],[],[],[],[],[],[],[],[],[],[],[],['katB' 'fdx' 'PSPTO_RS12050' 'sodA' 'iscX'],['fumC-2' 'PSPTO_4460'],['PSPTO_4462'],[],[]
