,yijF
Cr_1,-0.0035779481837738478
Cr_2,0.003738556318534551
Cr_3,0.0028782412227520405
Cr_4,-0.0009754079108839815
Cr_5,0.004908416888119199
Cr_6,0.0074230978939556205
Fe_1,-0.013685807227600854
Fe_2,-0.03977310091723061
Fe_3,-0.051723843994042014
Fe_4,-0.06348023229724953
Fe_5,-0.0633409700099766
Fe_6,-0.05333399597919297
Cd_1,-1.674716698741802e-05
Cd_2,0.0062228826302586525
Cd_3,0.007475912217918238
Cd_4,0.01083335719152364
Cd_5,0.012159864190751749
Cd_6,0.021118707387232642
Zn_1,-0.007810992217299813
Zn_2,-0.016608720071215142
Zn_3,-0.009085412481848585
Zn_4,0.0031082645371451672
Zn_5,0.016460465573955554
Zn_6,0.028674476655590107
Cu_1,-0.0013670551457072562
Cu_2,0.008679794289713003
Cu_3,0.02830947469563175
Cu_4,0.03697340731374175
Cu_5,0.04521002002392503
Cu_6,0.05618541199882346
Pb_1,0.00026685430299693745
Pb_2,0.0013412885983362054
Pb_3,-0.006422076928710638
Pb_4,0.002639197197940805
Pb_5,0.0053888687528826605
Pb_6,0.006996837773284422
